CatalogEntryAssociation
PartNumber,AssociationType,TargetPartNumber,Sequence,Quantity
Y9001,QUICK,CMF02,0,1
Y4366,QUICK,CMF02,0,1
Y4497,SHOPPING_CART,CBN20,300,1
Y4497,YMAL,CCX57,10,1
Y4496,YMAL,CCX57,40,1
Y4496,SHOPPING_CART,CBN20,300,1
Y4496,SHOPPING_CART,BJP89,30,1
71050,YMAL,K7167,50,1
71050,YMAL,CFM97,40,1
71050,YMAL,CMY10,30,1
71050,YMAL,C5523,20,1
71050,YMAL,F3374,10,1
71050,GIFTMSG,GM,10,1
71050,GIFTWRAP,GW6_FP,10,1
B1833,QUICK,D9775,10,1
B1833,GIFTWRAP,GW6_FP,10,1
B1833,GIFTMSG,GM,10,1
BKB38,GIFTWRAP,GW6_FP,10,1
BKB38,GIFTMSG,GM,10,1
BKB38,QUICK,D9775,10,1
BKB40,GIFTWRAP,GW6_FP,10,1
BKB40,GIFTMSG,GM,10,1
BKB40,QUICK,D9775,10,1
C6327,QUICK,D9779,10,1
CBJ37,QUICK,D9775,10,1
D9775,GIFTMSG,GM,10,1
D9775,GIFTWRAP,GW6_FP,10,1
D9776,GIFTMSG,GM,10,1
D9776,GIFTWRAP,GW6_FP,10,1
D9779,GIFTMSG,GM,10,1
D9779,GIFTWRAP,GW6_FP,10,1
J0000,GIFTWRAP,GW6_FP,10,1
J0000,GIFTMSG,GM,10,1
J0000,QUICK,D9775,10,1
J0134,YMAL,BKB46,50,1
J0134,YMAL,BGN67,40,1
J0134,YMAL,BKB45,30,1
J0134,YMAL,CHF55,20,1
J0134,YMAL,DPJ16,10,1
J0134,QUICK,D9775,10,1
J9522,GIFTWRAP,GW6_FP,10,1
J9522,GIFTMSG,GM,10,1
J9522,QUICK,D9775,10,1
M6552,GIFTMSG,GM,10,1
M6552,GIFTWRAP,GW6_FP,10,1
M9523,GIFTWRAP,GW6_FP,10,1
M9523,GIFTMSG,GM,10,1
M9528,GIFTWRAP,GW6_FP,10,1
M9528,GIFTMSG,GM,10,1
N7298,QUICK,D9776,10,1
N7298,GIFTWRAP,GW6_FP,10,1
N7298,GIFTMSG,GM,10,1
R9041,GIFTWRAP,GW6_FP,10,1
R9041,GIFTMSG,GM,10,1
T5627,GIFTWRAP,GW6_FP,10,1
T5627,GIFTMSG,GM,10,1
T5634,GIFTWRAP,GW6_FP,10,1
T5634,GIFTMSG,GM,10,1
V8601,QUICK,D9775,10,1
W2866,QUICK,D9775,10,1
W2866,GIFTWRAP,GW6_FP,10,1
W2866,GIFTMSG,GM,10,1
W2869,QUICK,D9775,10,1
W2869,GIFTWRAP,GW6_FP,10,1
W2869,GIFTMSG,GM,10,1
W3542,GIFTMSG,GM,10,1
W3542,GIFTWRAP,GW6_FP,10,1
W3542,QUICK,D9775,10,1
W6085,GIFTMSG,GM,10,1
W6085,GIFTWRAP,GW6_FP,10,1
W6146,GIFTMSG,GM,10,1
W6146,GIFTWRAP,GW6_FP,10,1
W6147,GIFTMSG,GM,10,1
W6147,GIFTWRAP,GW6_FP,10,1
W9554,GIFTWRAP,GW6_FP,10,1
W9554,GIFTMSG,GM,10,1
W9554,QUICK,D9775,10,1
W9859,GIFTWRAP,GW6_FP,10,1
W9859,GIFTMSG,GM,10,1
X4681,GIFTWRAP,GW6_FP,10,1
X4681,GIFTMSG,GM,10,1
X6172,GIFTMSG,GM,10,1
X6172,GIFTWRAP,GW6_FP,10,1
X6172,QUICK,D9775,10,1
Y3682,GIFTWRAP,GW6_FP,10,1
Y3682,GIFTMSG,GM,10,1
Y3682,QUICK,D9775,10,1
X7680,GIFTWRAP,GW6_FP,10,1
X7680,GIFTMSG,GM,10,1
BBR38,GIFTWRAP,GW6_FP,1,1
BBR38,MINI_CART,Y4471,1,1
BBR38,MINI_CART,BJP94,1,1
BBR38,SHOPPING_CART,BJP94,1,1
BBR38,SHOPPING_CART,Y4471,1,1
BBR38,MINI_CART,CBN20,1,1
BBT41,GIFTWRAP,GW6_FP,1,1
BBT41,MINI_CART,BJP94,1,1
BBT41,SHOPPING_CART,BJP94,1,1
BBT41,MINI_CART,Y4471,1,1
BBT41,SHOPPING_CART,Y4471,1,1
BBT41,MINI_CART,CBN20,1,1
BBT41,GIFTMSG,GM,100,1
BBT41,GIFTWRAP,GW6_TWR,100,1
BBT41,QUICK,CBN20,100,1
BBT41,COORD,CCX58,400,1
BBT41,COORD,BJP99,300,1
BBT41,COORD,Y4508,200,1
BBT41,SHOPPING_CART,BDG64,400,1
BBT41,SHOPPING_CART,CBN18,300,1
BBT41,SHOPPING_CART,BDG01,200,1
BBT41,SHOPPING_CART,CBN20,100,1
BCG12,GIFTWRAP,GW6_FP,1,1
BCG12,MINI_CART,BJP94,1,1
BCG12,MINI_CART,Y4471,1,1
BCG12,SHOPPING_CART,BJP94,1,1
BCG12,MINI_CART,CBN20,1,1
BCG12,GIFTMSG,GM,100,1
BCG12,GIFTWRAP,GW6_TWR,100,1
BCG12,QUICK,CBN20,100,1
BCG12,COORD,BMF69,400,1
BCG12,COORD,BGP34,300,1
BCG12,COORD,Y4473,200,1
BCG12,COORD,Y7465,100,1
BCG12,SHOPPING_CART,BDG64,500,1
BCG12,SHOPPING_CART,Y4471,1,1
BCG12,SHOPPING_CART,CBN18,300,1
BCG12,SHOPPING_CART,CBN20,200,1
BCG12,SHOPPING_CART,BDG67,100,1
BCX89,GIFTWRAP,GW6_FP,1,1
BCX89,MINI_CART,BJP94,1,1
BCX89,MINI_CART,Y4471,1,1
BCX89,SHOPPING_CART,BJP94,1,1
BCX89,SHOPPING_CART,Y4471,1,1
BCX89,MINI_CART,CBN20,1,1
BCX89,GIFTMSG,GM,100,1
BCX89,GIFTWRAP,GW6_TWR,100,1
BCX89,QUICK,CBN20,100,1
BCX89,COORD,Y4499,400,1
BCX89,COORD,Y4475,300,1
BCX89,COORD,Y4368,200,1
BCX89,COORD,BJP89,100,1
BCX89,SHOPPING_CART,BDG17,400,1
BCX89,SHOPPING_CART,BMF69,300,1
BCX89,SHOPPING_CART,CBN18,200,1
BCX89,YMAL,CCX57,20,1
BCX89,YMAL,BJP89,10,1
BCX89,SHOPPING_CART,CBN20,100,1
BCX89,YMAL,Y4499,30,1
BCX89,SHOPPING_CART,BJP99,30,1
BDF98,GIFTWRAP,GW6_FP,1,1
BDF98,YMAL,BDG01,0,1
BDF98,SHOPPING_CART,Y4369,0,1
BDF98,SHOPPING_CART,CKV34,0,1
BDF98,QUICK,CKV34,0,1
BDF98,YMAL,BDG02,0,1
BDF98,SHOPPING_CART,CBN20,0,1
BDF98,SHOPPING_CART,CBN18,0,1
BDF98,YMAL,BDG18,0,1
BDF98,YMAL,BDG17,0,1
BDF98,MINI_CART,BJP94,1,1
BDF98,SHOPPING_CART,BJP94,1,1
BDF98,SHOPPING_CART,Y4471,1,1
BDF98,MINI_CART,Y4471,1,1
BDF98,GIFTWRAP,GW6_TWR,0,1
BDF98,GIFTMSG,GM,0,1
BDG01,GIFTWRAP,GW6_FP,1,1
BDG01,MINI_CART,Y4471,1,1
BDG01,SHOPPING_CART,BJP94,1,1
BDG01,MINI_CART,BJP94,1,1
BDG01,SHOPPING_CART,Y4471,1,1
BDG01,MINI_CART,CBN20,1,1
BDG01,GIFTMSG,GM,100,1
BDG01,GIFTWRAP,GW6_TWR,100,1
BDG01,QUICK,CBN20,100,1
BDG01,COORD,CCX58,400,1
BDG01,COORD,BJP99,300,1
BDG01,COORD,BDG02,200,1
BDG01,SHOPPING_CART,BDG64,400,1
BDG01,SHOPPING_CART,CBN18,300,1
BDG01,SHOPPING_CART,Y4383,200,1
BDG01,SHOPPING_CART,CBN20,100,1
BDG02,GIFTWRAP,GW6_FP,1,1
BDG02,MINI_CART,BJP94,1,1
BDG02,SHOPPING_CART,BJP94,1,1
BDG02,MINI_CART,Y4471,1,1
BDG02,SHOPPING_CART,Y4471,1,1
BDG02,MINI_CART,CBN20,1,1
BDG02,GIFTMSG,GM,100,1
BDG02,GIFTWRAP,GW6_TWR,100,1
BDG02,QUICK,CBN20,100,1
BDG02,COORD,CCX58,400,1
BDG02,COORD,BJP99,300,1
BDG02,COORD,BDG01,200,1
BDG02,SHOPPING_CART,BDG64,400,1
BDG02,SHOPPING_CART,CBN18,300,1
BDG02,SHOPPING_CART,Y4383,200,1
BDG02,SHOPPING_CART,CBN20,100,1
BDG10,YMAL,Y4106,0,1
BDG10,YMAL,Y4083,0,1
BDG10,YMAL,CHN24,0,1
BDG10,YMAL,Y5420,0,1
BDG10,YMAL,CDR05,0,1
BDG10,GIFTWRAP,GW6_FP,1,1
BDG10,SHOPPING_CART,BJP94,1,1
BDG10,MINI_CART,BJP94,1,1
BDG10,MINI_CART,Y4471,1,1
BDG10,SHOPPING_CART,Y4471,1,1
BDG10,MINI_CART,CBN20,1,1
BDG10,QUICK,CMF02,10,1
BDG10,GIFTMSG,GM,100,1
BDG10,GIFTWRAP,GW6_TWR,100,1
BDG10,SHOPPING_CART,BDG64,400,1
BDG10,SHOPPING_CART,CBN18,300,1
BDG10,SHOPPING_CART,Y4108,200,1
BDG10,SHOPPING_CART,CBN20,100,1
BDG11,YMAL,CHN24,0,1
BDG11,YMAL,CDR05,0,1
BDG11,YMAL,BDG10,0,1
BDG11,YMAL,Y4083,0,1
BDG11,YMAL,Y5420,0,1
BDG11,YMAL,Y4106,0,1
BDG11,GIFTWRAP,GW6_FP,1,1
BDG11,MINI_CART,BJP94,1,1
BDG11,MINI_CART,Y4471,1,1
BDG11,SHOPPING_CART,BJP94,1,1
BDG11,SHOPPING_CART,Y4471,1,1
BDG11,MINI_CART,CBN20,1,1
BDG11,GIFTMSG,GM,100,1
BDG11,GIFTWRAP,GW6_TWR,100,1
