xcatentry
catentry_id,days_to_display_after_oos,enable_ntfctn_ind,enable_survey_flag,erp_prod_type,inc_in_srch_rslts,max_order_line_qty,pre_order_flag,allow_prod_review,prod_rating_bv,view_prod_detail_req,reservable,returnable,tax_code,canonical_cat,ship_alone_flag,display_if_not_avail,cust_seg_exclusive,financial_brand,ltd_qty_msg_override,new_override_flag,popularity_rating,product_status_code,sale_override_flag,find_a_retailer_flag,alt_review_sku,cogs,suppress_order_line,ship_as_complete,inc_std_shipping,optcounter,releasedate
14453,9999,,,TOY,Y,,N,,,N,1,1,,,N,Y,ALL,FP,,N,,Active,N,N,,,,,,70,
14454,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsLittlePeople,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14455,9999,Y,,TOY,N,,N,,,N,1,1,,,N,Y,ALL,FP,N,N,,Active,N,N,,,,,,70,
14456,9999,N,N,SET,Y,,N,,,N,2,1,,BrandsLittlePeople,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14457,9999,N,N,SET,Y,,N,,,N,2,1,,BrandsLittlePeople,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14458,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsLaughLearn,Y,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14459,9999,Y,,TOY,N,,N,,,N,1,1,,,N,Y,ALL,FP,N,N,,Active,N,N,,,,,,70,
14460,9999,N,N,SET,Y,,N,,,N,2,1,,BrandsPowerWheels,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14461,9999,N,N,TOY,N,,N,,,N,1,1,,,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14462,9999,N,N,TOY,N,,N,,,N,1,1,,,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14463,9999,N,N,TOY,N,,N,,,N,1,1,,,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14464,9999,N,,ADDON,N,,N,,,N,2,1,W,,N,Y,ALL,FP,N,N,,Active,N,N,,,,,,70,
14465,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsLittlePeople,N,Y,ALL,FP,N,N,,Active,,N,,,,,,71,
14466,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsLittlePeople,Y,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14467,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsSnapNStyleFriendsFashions,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14468,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsLovingFamilyDollhouse,Y,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14469,9999,N,N,TOY,Y,,N,,,N,1,1,,,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14470,9999,N,N,TOY,Y,,N,,,N,1,1,,,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14471,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsLovingFamilyDollhouse,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14472,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsDisneyMickey,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14473,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsLittlePeople,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14474,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsLittlePeople,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14475,9999,N,N,TOY,Y,,N,,,N,1,1,,,Y,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14476,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsLittlePeople,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14477,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsLittlePeople,N,N,ALL,FP,N,N,,Canceled,N,N,,,,,,70,
14478,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsThomasFriends,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14479,9999,N,N,TOY,Y,,N,,,N,2,1,,BrandsApptivity,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14480,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsLittlePeople,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14481,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsLittlePeople,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14482,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsImaginext,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14483,9999,N,N,TOY,Y,,N,,,N,1,1,,,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14484,9999,N,N,TOY,Y,,N,,,N,2,1,,BrandsBabyGear,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14485,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsPowerWheels,Y,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14486,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsPowerWheels,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14487,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsImaginext,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14488,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsLittlePeople,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14489,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsImaginext,N,N,ALL,FP,N,N,,Active,N,N,,,,,,71,
14490,9999,N,N,TOY,Y,,N,,,N,1,1,,,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14491,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsDisneyMickey,Y,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14492,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsLovingFamilyDollhouse,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14493,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsLovingFamilyDollhouse,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14494,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsDisneyMinnie,N,N,ALL,FP,N,N,,Active,N,N,,,,,,72,
14495,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsDisneyMinnie,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14496,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsSnapNStyleFriendsFashions,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14497,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsSnapNStyleFriendsFashions,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14498,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsSnapNStyleFriendsFashions,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14499,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsSnapNStyleFriendsFashions,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14500,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsSnapNStyleFriendsFashions,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14501,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsSnapNStyleFriendsFashions,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14502,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsSnapNStyleFriendsFashions,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14503,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsBabyGear,Y,Y,ALL,FP,N,N,,Active,,N,,,,,,71,
14504,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsThomasFriends,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14505,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsDoratheExplorer,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14506,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsDoratheExplorer,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14507,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsImaginext,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14508,9999,N,N,TOY,Y,,N,,,N,1,1,,,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14509,9999,N,N,TOY,Y,,N,,,N,1,1,,,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14510,9999,N,N,TOY,Y,,N,,,N,1,1,,,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14511,9999,N,N,TOY,Y,,N,,,N,1,1,,,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14512,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsImaginext,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14513,9999,N,N,TOY,Y,,N,,,N,2,1,,BrandsImaginext,N,N,ALL,FP,N,N,,Active,N,N,,,,,,71,
14514,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsPowerWheels,Y,Y,ALL,FP,N,N,,Active,,N,,,,,,70,
14515,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsImaginext,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14516,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsBabyGear,Y,Y,ALL,FP,N,N,,Active,,N,,,,,,71,
14517,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsOctonauts,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14518,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsThomasFriends,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14519,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsImaginext,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14520,9999,N,N,TOY,Y,,N,,,N,2,1,,,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14521,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsPowerWheels,Y,Y,ALL,FP,N,N,,Active,,N,,,,,,70,
14522,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsDisneyMickey,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14523,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsDisneyMinnie,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14524,9999,N,N,TOY,Y,,N,,,N,2,1,,BrandsDisneyMinnie,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14525,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsDisneyMinnie,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14526,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsJakeandtheNeverLandPirates,N,N,ALL,FP,N,N,,Active,N,N,,,,,,71,
14527,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsJakeandtheNeverLandPirates,N,N,ALL,FP,N,N,,Active,N,N,,,,,,71,
14528,9999,N,N,TOY,Y,,N,,,N,2,1,,BrandsJakeandtheNeverLandPirates,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14529,9999,N,N,TOY,Y,,N,,,N,2,1,,BrandsJakeandtheNeverLandPirates,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14530,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsPowerWheels,Y,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14531,9999,N,N,TOY,Y,,N,,,N,2,1,,BrandsLittlePeople,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14532,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsPowerWheels,Y,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14533,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsPowerWheels,Y,Y,ALL,FP,N,N,,Active,,N,,,,,,70,
14534,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsPowerWheels,Y,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14535,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsDoratheExplorer,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14536,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsDoratheExplorer,N,N,ALL,FP,N,N,,Active,N,N,,,,,,72,
14538,9999,N,N,TOY,Y,,N,,,N,2,1,,,N,N,ALL,FP,N,N,,Active,N,N,,,,,,72,
14539,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsLovingFamilyDollhouse,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14540,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsLovingFamilyDollhouse,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14541,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsLovingFamilyDollhouse,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14542,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsLovingFamilyDollhouse,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14543,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsLovingFamilyDollhouse,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14544,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsLovingFamilyDollhouse,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
14545,9999,N,N,TOY,Y,,N,,,N,1,1,,BrandsLovingFamilyDollhouse,N,N,ALL,FP,N,N,,Active,N,N,,,,,,70,
