CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
GM,ADDONSERVICES,0
GM,csrdh15inch,0
GM,csrgm,0
GM,csrservice,0
GM,exclusions,0
GM,exclusions918,0
GM,20%off,0
CREDIT,csrservice,0
CREDIT,exclusions918,0
CREDIT,20%off,0
CREDIT,exclusions,0
DEBIT_REMOVE,csrsearchableproducts,0
DEBIT,csrsearchableproducts,0
F6616-A03A,csr_rparts ,0
F6622-A02A,csr_rparts ,0
F6626-A02A,csr_rparts ,0
F6626-A03A,csr_rparts ,0
F6634-A02A,csr_rparts ,0
F6634-A03A,csr_rparts ,0
F6725-F01A,csr_rparts ,0
F6725-F02A,csr_rparts ,0
F6766-ZF1A,csr_rparts ,0
F7083-A01B,csr_rparts ,0
F7083-A02B,csr_rparts ,0
F7083-A03B,csr_rparts ,0
F7083-A04B,csr_rparts ,0
F7129-A04A,csr_rparts ,0
F7129-A05A,csr_rparts ,0
F7131-A02A,csr_rparts ,0
F7131-A03B,csr_rparts ,0
F7133-A02A,csr_rparts ,0
F7133-A03B,csr_rparts ,0
F7133-A04A,csr_rparts ,0
F7155-A12A,csr_rparts ,0
F7156-G80A,csr_rparts ,0
F7156-G81A,csr_rparts ,0
F7156-G82A,csr_rparts ,0
F7327-B02A,csr_rparts ,0
F7327-B02A,csr_nla_,0
F7327-B03A,csr_rparts ,0
F7327-B03A,csr_nla_,0
F7327-B04A,csr_rparts ,0
F7327-B04A,csr_nla_,0
F7327-B05A,csr_rparts ,0
F7327-B05A,csr_nla_,0
F7327-B06A,csr_rparts ,0
F7327-B06A,csr_nla_,0
F7332-B01A,csr_rparts ,0
F7332-B01A,csr_nla_,0
F7332-B02A,csr_rparts ,0
F7332-B02A,csr_nla_,0
F7332-B03A,csr_rparts ,0
F7332-B03A,csr_nla_,0
F7332-B04A,csr_rparts ,0
F7332-B04A,csr_nla_,0
F7334-B02A,csr_rparts ,0
F7334-B02A,csr_nla_,0
F7334-B03A,csr_rparts ,0
F7334-B03A,csr_nla_,0
F7337-B02A,csr_rparts ,0
F7337-B02A,csr_nla_,0
F7337-B03A,csr_rparts ,0
F7337-B03A,csr_nla_,0
F7337-B04A,csr_rparts ,0
F7337-B04A,csr_nla_,0
F7337-B05A,csr_rparts ,0
F7337-B05A,csr_nla_,0
F7337-B06A,csr_rparts ,0
F7337-B06A,csr_nla_,0
F7340-B01A,csr_rparts ,0
F7340-B01A,csr_nla_,0
F7340-B02A,csr_rparts ,0
F7340-B02A,csr_nla_,0
F7340-B03A,csr_rparts ,0
F7340-B03A,csr_nla_,0
F7531-B02A,csr_rparts ,0
F7531-B02A,csr_nla_,0
F7531-B04A,csr_rparts ,0
F7531-B04A,csr_nla_,0
F7531-B05A,csr_rparts ,0
F7531-B05A,csr_nla_,0
F7585-B03A,csr_rparts ,0
F7585-B04A,csr_rparts ,0
F7585-B06A,csr_rparts ,0
F7585-B07A,csr_rparts ,0
F7585-B07A,csr_nla_,0
F7613-B03A,csr_rparts ,0
F7613-B03A,csr_nla_,0
F7613-B04A,csr_rparts ,0
F7613-B04A,csr_nla_,0
F7613-B05A,csr_rparts ,0
F7613-B05A,csr_nla_,0
F7613-B06A,csr_rparts ,0
F7613-B06A,csr_nla_,0
F7615-B02A,csr_rparts ,0
F7615-B02A,csr_nla_,0
F7615-B03A,csr_rparts ,0
F7615-B03A,csr_nla_,0
F7615-B04A,csr_rparts ,0
F7615-B04A,csr_nla_,0
F7615-B05A,csr_rparts ,0
F7615-B05A,csr_nla_,0
F7615-B06A,csr_rparts ,0
F7615-B06A,csr_nla_,0
F7615-B07A,csr_rparts ,0
F7615-B07A,csr_nla_,0
F7615-B08A,csr_rparts ,0
F7615-B08A,csr_nla_,0
F7615-B09A,csr_rparts ,0
F7615-B09A,csr_nla_,0
F7615-B10A,csr_rparts ,0
F7615-B10A,csr_nla_,0
F7615-B11A,csr_rparts ,0
F7615-B11A,csr_nla_,0
F7615-B12A,csr_rparts ,0
F7615-B12A,csr_nla_,0
F7615-B13A,csr_rparts ,0
F7615-B13A,csr_nla_,0
F7615-B14A,csr_rparts ,0
F7615-B14A,csr_nla_,0
F7615-B15A,csr_rparts ,0
F7615-B15A,csr_nla_,0
F7615-B16A,csr_rparts ,0
F7615-B16A,csr_nla_,0
F2829,csr_nla_,0
F2849,csr_nla_,0
F2851,csr_nla_,0
F2853,csr_nla_,0
F2946,csr_nla_,0
F2987,csr_nla_,0
F3081,ggaward,290
F3081,bookhistfict,505
F3081,bookaward,170
F3081,SEO Books for Kids,1200
F3081,bookstorecat,1240
F3413,csr_nla_,0
F2834,bookactivity,415
F2834,SEO Books for Kids,1325
F2834,bookstorecat,1365
F2835,csr_nla_,0
F2847,csr_nla_,0
F3442,furnaccesscat,1435
F3442,furnaccesssports,235
F3442,furnaccesstm,630
F3445,csr_nla_,0
F3448,csr_nla_,0
F3448.PIN.L,csr_nla_,0
F3448.PIN.M,csr_nla_,0
F3448.PIN.S,csr_nla_,0
F3448.PIN.XL,csr_nla_,0
F3448.PIN.XS,csr_nla_,0
F3464,csr_nla_,0
F3515,csr_nla_,0
F3515.PIN.L,csr_nla_,0
F3515.PIN.M,csr_nla_,0
F3515.PIN.S,csr_nla_,0
F3515.PIN.XL,csr_nla_,0
F3518,furnaccesscat,915
F3518,dollcareproduct,420
F3518,furnaccessgirl8up,245
F3518,furnaccessstorageother,225
F3518,furnaccesstm,685
F3604,csr_nla_,0
F3611,csr_nla_,0
F3615,csr_nla_,0
F3619,csr_nla_,0
F3619.PLA.10,csr_nla_,0
F3619.PLA.12,csr_nla_,0
F3619.PLA.14,csr_nla_,0
F3619.PLA.16,csr_nla_,0
F3619.PLA.6,csr_nla_,0
F3619.PLA.7,csr_nla_,0
F3619.PLA.8,csr_nla_,0
F3621,csr_nla_,0
F3625,csr_nla_,0
F3625.CRE.10,csr_nla_,0
F3625.CRE.12,csr_nla_,0
F3625.CRE.14,csr_nla_,0
F3625.CRE.16,csr_nla_,0
F3625.CRE.6,csr_nla_,0
F3625.CRE.7,csr_nla_,0
F3625.CRE.8,csr_nla_,0
F3627,csr_nla_,0
F4055,dollcareproduct,480
F4055,furnaccesscat,320
F4055,ggcustfaves,365
F4055,furnaccesssports,240
F4055,furnaccessstorageother,480
F4055,furnaccesstm,570
F4186,20%off,570
F4186,csr_nla_,0
F4188,csr_nla_,0
F4190,csr_nla_,0
F4209-ZF1A,SET_COMPONENTS,0
F4209-ZF1A,exclusions,0
F4209-ZF1A,exclusions918,0
F4209-ZF1A,20%off,0
F4209-ZF1A,loyaltyexclusions,0
F4211-ZF1A,csr_nla_,0
F4368,bookmovie,270
F4368,bookcontemp,330
F4368,SEO Books for Kids,950
F4368,bookstorecat,990
F4638,bookadvice,110
F4638,SEO Books for Kids,955
F4638,bookstorecat,995
F4640,bookadvice,370
F4640,SEO Books for Kids,980
F4640,bookstorecat,1020
F4642,bookadvice,380
F4642,SEO Books for Kids,985
F4642,bookstorecat,1025
F4656,20%off,175
F4656,sale,2252.4
F4656,whilesupplieslast,2252.4
F4660,csr_nla_,0
F4662,whilesupplieslast,2227
F4662,bookactivity,360
F4662,sale,2227
F4664,bookactivity,370
F4664,SEO Books for Kids,1165
F4664,bookstorecat,1205
F4665,bookadvice,360
F4665,SEO Books for Kids,1030
F4665,bookstorecat,1070
F3646,csr_nla_,0
F3661,dollcareproduct,460
F3661,bookactivity,395
F3661,SEO Books for Kids,1280
F3661,bookstorecat,1320
F3661,furnaccessstorageother,460
F3673,furnaccesssports,360
F3673,furnaccesskit,230
F3673,furnaccesscat,1470
F3673,kitdollsub,310
F3673,furnaccessbf,655
F3692,csr_nla_,0
F3742,csr_nla_,0
F3746,furnaccessstorageother,135
F3746,dollcareproduct,390
F3746,furnaccessgirl8up,250
F3746,furnaccesscat,920
F4668,bookadvice,350
F4668,SEO Books for Kids,1025
F4668,bookstorecat,1065
F4670,bookadvice,340
F4670,SEO Books for Kids,1015
F4670,ggaward,240
F4670,bookaward,96
F4670,bookstorecat,1055
F4672,csr_nla_,0
F4740,furnaccesscat,1425
F4740,tmschool,390
F4740,furnaccessschoolmusic,170
F4740,trulymerecitaloffer,410
F4740,furnaccesstm,655
F7642-A01A,csr_rparts ,0
F7642-A02A,csr_rparts ,0
F7642-A04A,csr_rparts ,0
F7642-A05A,csr_rparts ,0
F7644-A01A,csr_rparts ,0
F7644-A02A,csr_rparts ,0
F7644-A03A,csr_rparts ,0
F7644-A04A,csr_rparts ,0
F7644-A05A,csr_rparts ,0
F7531-B06A,csr_rparts ,0
F7531-B06A,csr_nla_,0
F7644-A06A,csr_rparts ,0
F7644-A07A,csr_rparts ,0
F7644-A08A,csr_rparts ,0
F7644-A09A,csr_rparts ,0
F7644-A10A,csr_rparts ,0
F7644-A11A,csr_rparts ,0
F7644-A12A,csr_rparts ,0
F7648-A01A,csr_rparts ,0
F7648-A02A,csr_rparts ,0
F7648-A03A,csr_rparts ,0
F7648-A04A,csr_rparts ,0
F7648-A05A,csr_rparts ,0
F7709-A03A,csr_rparts ,0
F7709-A04A,csr_rparts ,0
F7709-A05A,csr_rparts ,0
F7717-A02A,csr_rparts ,0
F7717-A03A,csr_rparts ,0
F7717-A04A,csr_rparts ,0
F7717-A05A,csr_rparts ,0
F7717-A06A,csr_rparts ,0
F7733-R03A,csr_rparts ,0
F7733-R04A,csr_rparts ,0
F7733-R05A,csr_rparts ,0
F7735-A04A,csr_nla_,0
F7735-A04A,csr_rparts ,0
F7735-A05A,csr_rparts ,0
F7735-A06A,csr_rparts ,0
F7747-A03A,csr_rparts ,0
F7747-A04A,csr_rparts ,0
F7791-A01A,csr_rparts ,0
F7791-A02A,csr_rparts ,0
F7791-A03A,csr_rparts ,0
F7791-A04A,csr_rparts ,0
F7791-A05A,csr_rparts ,0
F7791-A06A,csr_rparts ,0
F7791-A07A,csr_rparts ,0
F7791-A08A,csr_rparts ,0
F7791-A09A,csr_rparts ,0
F7867-A02A,csr_rparts ,0
F7883-A02A,csr_rparts ,0
F7883-A03A,csr_rparts ,0
F7883-A04A,csr_rparts ,0
F7883-A05B,csr_rparts ,0
F7891-A02A,csr_rparts ,0
F7891-A03A,csr_rparts ,0
F7891-A04A,csr_rparts ,0
F7891-A05A,csr_rparts ,0
F7891-A06A,csr_rparts ,0
F7974-R01A,csr_rparts ,0
F7974-R02A,csr_rparts ,0
F7974-R03A,csr_rparts ,0
F7974-R04A,csr_rparts ,0
F7974-R05A,csr_rparts ,0
F8016-R01A,csr_rparts ,0
F8016-R02A,csr_rparts ,0
F8016-R03A,csr_rparts ,0
F8016-R04A,csr_rparts ,0
F8016-R05A,csr_rparts ,0
F8016-R06A,csr_rparts ,0
F8026-R01A,csr_rparts ,0
G2000-R23B,csr_rparts ,0
06-1181L1,csr_rparts ,0
06-1183B,csr_rparts ,0
06-1183L1,csr_rparts ,0
06-541B,csr_rparts ,0
06-541L1,csr_rparts ,0
06-552B1,csr_rparts ,0
06-553B1,csr_rparts ,0
06-731L1M,csr_rparts ,0
06-771B1M,csr_rparts ,0
06-1181B,csr_rparts ,0
06-771B2M,csr_rparts ,0
06-771B4M,csr_rparts ,0
06-773B1,csr_rparts ,0
06-883B1,csr_nla_,0
06-BBX-LM,csr_rparts ,0
06-HDL-L,csr_rparts ,0
AG1104,csr_rparts ,0
AG1106,csr_rparts ,0
AG1201,csr_rparts ,0
AG1202,csr_rparts ,0
AG1203,csr_rparts ,0
AG1205,csr_rparts ,0
AG1206,csr_rparts ,0
AG1207,csr_rparts ,0
AG1301,csr_rparts ,0
AG1302,csr_rparts ,0
AG1303,csr_rparts ,0
AG1304,csr_rparts ,0
AG1305,csr_rparts ,0
AG1306,csr_rparts ,0
AG1307,csr_rparts ,0
AG1401,csr_rparts ,0
AG1402,csr_rparts ,0
AG1403,csr_rparts ,0
AGDSGNME,csr_rparts ,0
CSDREQUEST,csrservice,0
CSSREQUEST,csrservice,0
CSSREQUEST,20%off,0
D1839-A02A,csr_rparts ,0
D2564-A01A,csr_rparts ,0
D2564-A03A,csr_rparts ,0
D5883-A02A,csr_rparts ,0
D5883-A03A,csr_rparts ,0
D5907-A01A,csr_rparts ,0
D5907-A02A,csr_rparts ,0
D5907-A03A,csr_rparts ,0
D5907-A04A,csr_rparts ,0
D5907-A06A,csr_rparts ,0
