CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
GM,csrbcservice,0
GM,FORINVENTORY_NOTFORDISPLAYBC,0
CREDIT,csrbcservice,0
DEBIT,csrbcservice,0
BCN33,vintage-looks,14
BCN33,sale-lifestyle,7
BCN33,sale-dolls,23
BCN33,barbie-fashionistas,8
BCN33,dolls,96
BCN34,vintage-looks,15
BCN34,sale-lifestyle,8
BCN34,sale-dolls,24
BCN34,barbie-fashionistas,9
BCN34,dolls,97
BCN35,vintage-looks,16
BCN35,sale-lifestyle,9
BCN35,sale-dolls,25
BCN35,barbie-fashionistas,10
BCN35,dolls,98
CCP42,csr_nla_bc,0
CCP42,vintage-looks,17
CCP42,sale-lifestyle,10
CCP42,sale-dolls,26
CCP42,barbie-fashionistas,11
CCP42,dolls,99
CCP53,value-sets,1
CCP53,sale-lifestyle,11
CCP53,sale-dolls,27
CCP53,barbie-fashionistas,12
CCP53,dolls,100
CCP53,barbie-fashionistas-new,1
CCP58,value-sets,2
CCP58,sale-lifestyle,12
CCP58,sale-dolls,28
CCP58,barbie-fashionistas,13
CCP58,dolls,101
CCP58,barbie-fashionistas-new,2
CCP70,value-sets,3
CCP70,sale-lifestyle,13
CCP70,sale-dolls,29
CCP70,barbie-fashionistas,14
CCP70,dolls,102
CCP70,barbie-fashionistas-new,3
CCP71,value-sets,4
CCP71,sale-lifestyle,14
CCP71,sale-dolls,30
CCP71,barbie-fashionistas,15
CCP71,dolls,103
CCP71,barbie-fashionistas-new,4
CCP82,value-sets,5
CCP82,sale-lifestyle,15
CCP82,sale-dolls,31
CCP82,barbie-fashionistas,16
CCP82,dolls,104
CCP82,barbie-fashionistas-new,5
CCP83,value-sets,6
CCP83,sale-lifestyle,16
CCP83,sale-dolls,32
CCP83,barbie-fashionistas,17
CCP83,dolls,105
CCP83,barbie-fashionistas-new,6
CDY61,csr_nla_bc,0
CDY61,value-sets,7
CDY61,sale-lifestyle,17
CDY61,sale-dolls,33
CDY61,career-dolls,1
CDY61,dolls,106
CDY61,barbie-fashionistas-new,7
CDY62,value-sets,8
CDY62,sale-lifestyle,18
CDY62,sale-dolls,34
CDY62,career-dolls,2
CDY62,dolls,107
CDY62,barbie-fashionistas-new,8
CDY63,value-sets,9
CDY63,collection,1
CDY63,sale-dolls,35
CDY63,career-dolls,3
CDY63,dolls,108
CDY63,barbie-fashionistas-new,9
CDY66,value-sets,10
CDY66,collection,2
CDY66,sale-dolls,36
CDY66,career-dolls,4
CDY66,dolls,109
CDY66,barbie-fashionistas-new,10
CDY67,value-sets,11
CDY67,collection,3
CDY67,sale-dolls,37
CDY67,career-dolls,5
CDY67,dolls,110
CDY67,barbie-fashionistas-new,11
CFB49,value-sets,12
CFB49,collection,4
CFB49,sale-dolls,38
CFB49,career-dolls,6
CFB49,dolls,111
CFB49,barbie-fashionistas-new,12
CFB60,value-sets,13
CFB60,collection,5
CFB60,sale-dolls,39
CFB60,career-dolls,7
CFB60,dolls,112
CFB60,barbie-fashionistas-new,13
CFB61,sale-collection,1
CFB61,collection,6
CFB61,sale-dolls,40
CFB61,career-dolls,8
CFB61,dolls,113
CFB61,barbie-fashionistas-new,14
CFB62,sale-collection,2
CFB62,collection,7
CFB62,sale-dolls,41
CFB62,career-dolls,9
CFB62,dolls,114
CFB62,barbie-fashionistas-new,15
CFF12,sale-collection,3
CFF12,collection,8
CFF12,sale-dolls,42
CFF12,career-dolls,10
CFF12,dolls,115
CFF12,barbie-fashionistas-new,16
CFF14,sale-collection,4
CFF14,collection,9
CFF14,sale-dolls,43
CFF14,career-dolls,11
CFF14,dolls,116
CFF14,barbie-fashionistas-new,17
CFF15,sale-collection,5
CFF15,collection,10
CFF15,sale-dolls,44
CFF15,career-dolls,12
CFF15,dolls,117
CFF15,barbie-fashionistas-new,18
CFF16,sale-collection,6
CFF16,collection,11
CFF16,playsets,1
CFF16,career-dolls,13
CFF16,dolls,118
CFF16,barbie-fashionistas-new,19
CFF22,sale-collection,7
CFF22,collection,12
CFF22,playsets,2
CFF22,career-dolls,14
CFF22,dolls,119
CFF22,barbie-fashionistas-new,20
CFF23,sale-collection,8
CFF23,collection,13
CFF23,playsets,3
CFF23,career-dolls,15
CFF23,dolls,120
CFF23,barbie-fashionistas-new,21
CFF25,sale-collection,9
CFF25,collection,14
CFF25,playsets,4
CFF25,career-dolls,16
CFF25,dolls,121
CFF25,barbie-fashionistas-new,22
CFF26,sale-collection,10
CFF26,collection,15
CFF26,playsets,5
CFF26,career-dolls,17
