CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
71050,FPStoreBrands,209
71050,DealoftheWeek_sale,1
71050,SET_COMPONENTS,0
71050,Age6to12Month,84
71050,Age2to3Years,118
71050,Age12to24Month,218
71050,FPStoreBMSM,499
71050,FPStoreCategory,121
71050,FPStoreGiftsForBaby,56
71050,BrandsFPToys,10
71050,CategoryStackSortRoll,24
71050,CategoryInteractive,35
71050,BrandsFPBrand,120
71050,FPStoreAge,429
71050,CategoryBabyToys,97
71050,Classic,5
71050,FPStoreGifts,655
71050,Playtime,118
71050,FPStoreGiftStuffers,4
71050,FPStoreGiftsunder50,171
W5269,csr_nla_,0
W5273,csr_nla_,0
W5540,Clearance,187
W5540,Age5Plus,261
W5540,Age3to4Years,268
W5540,Age4to5Years,268
W5540,BrandsPowerWheels,39
W5540,70upto70,610
W5540,csr_nla_,0
W6153,Age12to24Month,261
W6153,Age2to3Years,358
W6153,Age3to4Years,480
W6153,csr_nla_,0
W6209,FPStoreBrands,347
W6209,Age12to24Month,205
W6209,Age2to3Years,209
W6209,Age3to4Years,269
W6209,BrandsPowerWheels,21
W6209,FPStoreBMSM,329
W6209,FPStoreCategory,411
W6209,ExclusiveHardToFind,24
W6209,CategoryRideOn,43
W6209,Sports_Outdoor,35
W6209,FPStoreAge,439
W6209,Age4to5Years,269
W6209,Age5Plus,262
W6209,FPStoreGifts,189
W6209,CATALOGTESTING_NOTFORDISPLAY,24
W6209,FPStoreGiftsGirls,212
W6214,csr_nla_,0
W6214,Age2to3Years,176
W6214,Age4to5Years,353
W6214,Age5Plus,387
W6215,csr_nla_,0
W8448,csr_nla_,0
W8465,csr_nla_,0
W8465,CategoryFigures,177
W8777,csr_nla_,0
W8785,FPStoreBrands,79
W8785,Age5Plus,189
W8785,Age4to5Years,166
W8785,Age3to4Years,161
W8785,Furniture_Accessories,16
W8785,BrandsLovingFamily,23
W8785,CategoryPlaysets,88
W8785,FPStoreBMSM,218
W8785,FPStoreCategory,46
W8785,FPStoreGifts,529
W8785,FPEasterSale,26
W8785,FPEasterLovingFamily,21
W8785,FPStoreAge,74
W8785,FPStoreGiftsGirls,37
W8785,FPStoreGiftStuffers,2
W8785,FPStoreGiftsunder50,164
W8785,CategoryDollsPlush,28
W8786,csr_nla_,0
W8787,FPStoreBrands,62
W8787,Age5Plus,187
W8787,Age4to5Years,164
W8787,Age3to4Years,159
W8787,Furniture_Accessories,4
W8787,BrandsLovingFamily,11
W8787,SET_COMPONENTS,0
W8787,CategoryPlaysets,73
W8787,FPStoreBMSM,219
W8787,FPStoreCategory,52
W8787,topsellers,17
W8787,CategoryPlaysetsSub,65
W8787,CategoryFigsPlaysets,58
W8787,TodaySales,140
W8787,FPStoreAge,49
W8787,FPEasterSale,18
W8787,FPEasterLovingFamily,10
W8787,FPStoreGifts,372
W8787,FPStoreHotGifts,29
W8787,FPStoreGiftsunder50,22
W8787,CategoryDollsPlush,21
W8790,csr_nla_,0
W8791,csr_nla_,0
W8795,csr_nla_,0
W8797,csr_nla_,0
W8798,csr_nla_,0
W8799,csr_nla_,0
W8800,Clearance,92
W8800,FPStoreSale,84
W8800,FPStoreBrands,474
W8800,Age5Plus,315
W8800,Age3to4Years,312
W8800,Age4to5Years,351
W8800,BrandsLovingFamily,27
W8800,Dolls,16
W8800,CategoryFigures,169
W8800,FPStoreBMSM,233
W8800,FPStoreCategory,80
W8800,ClearancePlaysetsFigures,38
W8800,CategoryFigsSub,137
W8800,CategoryFigsPlaysets,72
W8800,FPStoreAge,68
W8800,Sale,84
W8800,FPStoreGifts,654
W8800,FPStoreGiftsGirls,54
W8800,FPStoreGiftsunder50,437
W8800,CategoryDollsPlush,44
W8801,Clearance,93
W8801,FPStoreBrands,473
W8801,FPStoreSale,120
W8801,Age5Plus,314
W8801,Age3to4Years,311
W8801,Age4to5Years,350
W8801,BrandsLovingFamily,26
W8801,Dolls,15
W8801,CategoryFigures,168
W8801,FPStoreBMSM,232
W8801,FPStoreCategory,81
W8801,ClearancePlaysetsFigures,39
W8801,CategoryFigsSub,136
W8801,CategoryFigsPlaysets,71
W8801,FPStoreAge,67
W8801,Sale,120
W8801,FPStoreGifts,653
W8801,FPStoreGiftsGirls,53
W8801,FPStoreGiftsunder50,260
W8801,CategoryDollsPlush,43
W9257,csr_nla_,0
W9425,csr_nla_,0
W9458,Clearance,18
W9458,AgeBirth6Month,106
W9458,AgeBabyOnWay,81
W9458,Age6to12Month,92
W9458,Age12to24Month,235
W9458,BabyGear,24
W9458,csr_nla_,0
W9458,BrandsBabyGear,39
W9458,Cat_Seats_Bouncers,26
W9462,csr_nla_,0
W9481,csr_nla_,0
W9507,csr_nla_,0
W9537,csr_nla_,0
W9538,10-toys-for-20,130
W9538,csr_nla_,0
W9538,CategoryFigures,18
W9542,csr_nla_,0
W9547,csr_nla_,0
W9547,CategoryFigures,36
W9548,csr_nla_,0
B1833,FPStoreBrands,31
