CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
CREDIT,csrhwcservice,0
DEBIT,csrhwcservice,0
L7866,placeholder_hwc,0
L7870,placeholder_hwc,0
L7871,placeholder_hwc,0
L7872,placeholder_hwc,0
L7873,placeholder_hwc,0
L7874,placeholder_hwc,0
L8676,placeholder_hwc,0
L8677,placeholder_hwc,0
L8678,placeholder_hwc,0
L8679,placeholder_hwc,0
L8680,placeholder_hwc,0
L8681,placeholder_hwc,0
L8685,placeholder_hwc,0
L8686,placeholder_hwc,0
L8687,placeholder_hwc,0
L8688,placeholder_hwc,0
L8689,placeholder_hwc,0
L8690,placeholder_hwc,0
L8694,placeholder_hwc,0
L8694,pop-culture-garage,12
L8702,placeholder_hwc,0
L8703,placeholder_hwc,0
L8704,placeholder_hwc,0
L8705,placeholder_hwc,0
L8706,placeholder_hwc,0
L8707,placeholder_hwc,0
L8718,placeholder_hwc,0
L8721-a,placeholder_hwc,0
L8721-b,placeholder_hwc,0
L8721-set,placeholder_hwc,0
L8729,placeholder_hwc,0
M5364,placeholder_hwc,0
M5365,placeholder_hwc,0
M5366,placeholder_hwc,0
M5367,placeholder_hwc,0
N3824,placeholder_hwc,0
N4656,placeholder_hwc,0
N5564,placeholder_hwc,0
P0159,placeholder_hwc,0
P0159,pop-culture-garage,11
P1802,placeholder_hwc,0
P2127,placeholder_hwc,0
P2128,placeholder_hwc,0
P2129,placeholder_hwc,0
P2130,placeholder_hwc,0
P2135,placeholder_hwc,0
P2137,placeholder_hwc,0
P2143,placeholder_hwc,0
P2201,placeholder_hwc,0
P2204,placeholder_hwc,0
P3112,placeholder_hwc,0
P9091,placeholder_hwc,0
P9093,placeholder_hwc,0
P9094,placeholder_hwc,0
P9095,placeholder_hwc,0
P9096,placeholder_hwc,0
P9098,placeholder_hwc,0
P9100,placeholder_hwc,0
P9103,placeholder_hwc,0
P9108,placeholder_hwc,0
R2596,placeholder_hwc,0
R2596,pop-culture-garage,9
R8384,placeholder_hwc,0
R8385,placeholder_hwc,0
R8386,placeholder_hwc,0
R8387,placeholder_hwc,0
R8391,placeholder_hwc,0
