CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
W4702,HWVehicles,0
W4702,HWMatchbox,0
W4702,HWCategory,0
W4702,HWBrand,0
W4702,HWBoys,0
W4702,HWAges,0
W4702,HW4to5,0
W4703,HWVehicles,0
W4703,HWHotWheels,0
W4703,HWGirls,0
W4703,HWCategory,0
W4703,HWBrand,0
W4703,HWAges,0
W4703,HW8plus,0
CDC07,HWMatchbox,0
CDC07,HWCategory,0
CDC07,HWBrand,0
CDC07,HWBoys,0
CDC07,HWAges,0
CDC07,HWActionFigues,0
CDC07,HW8plus,0
CDC25,HWMatchbox,0
CDC25,HWDolls,0
CDC25,HWCategory,0
CDC25,HWBrand,0
CDC25,HWBoys,0
CDC25,HWAges,0
CDC25,HW8plus,0
CDC26,HWGirls,0
CDC26,HWDisneyCars,0
CDC26,HWCategory,0
CDC26,HWBrand,0
CDC26,HWAges,0
CDC26,HWActionFigues,0
CDC26,HW8plus,0
CDC28,HWVehicles,0
CDC28,HWGirls,0
CDC28,HWDisneyCars,0
CDC28,HWCategory,0
CDC28,HWBrand,0
CDC28,HWAges,0
CDC28,HW6to7,0
CDC32,HWEverAfterHigh,0
CDC32,HWDolls,0
CDC32,HWCategory,0
CDC32,HWBrand,0
CDC32,HWBoys,0
CDC32,HWAges,0
CDC32,HW6to7,0
CDC33,HWGirls,0
CDC33,HWEverAfterHigh,0
CDC33,HWCategory,0
CDC33,HWBrand,0
CDC33,HWAges,0
CDC33,HWActionFigues,0
CDC33,HW6to7,0
CDC36,HWVehicles,0
CDC36,HWMonsterHigh,0
CDC36,HWGirls,0
CDC36,HWCategory,0
CDC36,HWBrand,0
CDC36,HWAges,0
CDC36,HW8plus,0
CDC37,HWMatchbox,0
CDC37,HWGirls,0
CDC37,HWDolls,0
CDC37,HWCategory,0
CDC37,HWBrand,0
CDC37,HWAges,0
CDC37,HW8plus,0
CDC38,HWDolls,0
CDC38,HWCategory,0
CDC38,HWBrand,0
CDC38,HWBoys,0
CDC38,HWBarbie,0
CDC38,HWAges,0
CDC38,HW4to5,0
CFC61,HWVehicles,0
CFC61,HWMatchbox,0
CFC61,HWCategory,0
CFC61,HWBrand,0
CFC61,HWBoys,0
CFC61,HWAges,0
CFC61,HW3plus,0
CFC65,HWVehicles,0
CFC65,HWMatchbox,0
CFC65,HWCategory,0
CFC65,HWBrand,0
CFC65,HWBoys,0
CFC65,HWAges,0
CFC65,HW6to7,0
CFC75,HWVehicles,0
CFC75,HWMatchbox,0
CFC75,HWCategory,0
CFC75,HWBrand,0
CFC75,HWBoys,0
CFC75,HWAges,0
CFC75,HW3plus,0
CFC76,HWMonsterHigh,0
CFC76,HWGirls,0
