CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
W4702,SMVehicles,0
W4702,SMMatchbox,0
W4702,SMCategory,0
W4702,SMBrand,0
W4702,SMBoys,0
W4702,SMAges,0
W4702,SM4to5,0
W4703,SMVehicles,0
W4703,SMHotWheels,0
W4703,SMGirls,0
W4703,SMCategory,0
W4703,SMBrand,0
W4703,SMAges,0
W4703,SM8plus,0
CDC07,SMMatchbox,0
CDC07,SMCategory,0
CDC07,SMBrand,0
CDC07,SMBoys,0
CDC07,SMAges,0
CDC07,SMActionFigues,0
CDC07,SM8plus,0
CDC25,SMMatchbox,0
CDC25,SMDolls,0
CDC25,SMCategory,0
CDC25,SMBrand,0
CDC25,SMBoys,0
CDC25,SMAges,0
CDC25,SM8plus,0
CDC26,SMGirls,0
CDC26,SMDisneyCars,0
CDC26,SMCategory,0
CDC26,SMBrand,0
CDC26,SMAges,0
CDC26,SMActionFigues,0
CDC26,SM8plus,0
CDC28,SMVehicles,0
CDC28,SMGirls,0
CDC28,SMDisneyCars,0
CDC28,SMCategory,0
CDC28,SMBrand,0
CDC28,SMAges,0
CDC28,SM6to7,0
CDC32,SMEverAfterHigh,0
CDC32,SMDolls,0
CDC32,SMCategory,0
CDC32,SMBrand,0
CDC32,SMBoys,0
CDC32,SMAges,0
CDC32,SM6to7,0
CDC33,SMGirls,0
CDC33,SMEverAfterHigh,0
CDC33,SMCategory,0
CDC33,SMBrand,0
CDC33,SMAges,0
CDC33,SMActionFigues,0
CDC33,SM6to7,0
CDC36,SMVehicles,0
CDC36,SMMonsterHigh,0
CDC36,SMGirls,0
CDC36,SMCategory,0
CDC36,SMBrand,0
CDC36,SMAges,0
CDC36,SM8plus,0
CDC37,SMMatchbox,0
CDC37,SMGirls,0
CDC37,SMDolls,0
CDC37,SMCategory,0
CDC37,SMBrand,0
CDC37,SMAges,0
CDC37,SM8plus,0
CDC38,SMDolls,0
CDC38,SMCategory,0
CDC38,SMBrand,0
CDC38,SMBoys,0
CDC38,SMBarbie,0
CDC38,SMAges,0
CDC38,SM4to5,0
CFC61,SMVehicles,0
CFC61,SMMatchbox,0
CFC61,SMCategory,0
CFC61,SMBrand,0
CFC61,SMBoys,0
CFC61,SMAges,0
CFC61,SM3plus,0
CFC65,SMVehicles,0
CFC65,SMMatchbox,0
CFC65,SMCategory,0
CFC65,SMBrand,0
CFC65,SMBoys,0
CFC65,SMAges,0
CFC65,SM6to7,0
CFC75,SMVehicles,0
CFC75,SMMatchbox,0
CFC75,SMCategory,0
CFC75,SMBrand,0
CFC75,SMBoys,0
CFC75,SMAges,0
CFC75,SM3plus,0
CFC76,SMMonsterHigh,0
CFC76,SMGirls,0
CFC76,SMDolls,0
CFC76,SMCategory,0
CFC76,SMBrand,0
CFC76,SMAges,0
CFC76,SM4to5,0
CFC85,SMGirls,0
CFC85,SMDolls,0
CFC85,SMCategory,0
CFC85,SMBrand,0
CFC85,SMBarbie,0
CFC85,SMAges,0
CFC85,SM4to5,0
CFC86,SMWWE,0
CFC86,SMDolls,0
CFC86,SMCategory,0
CFC86,SMBrand,0
CFC86,SMBoys,0
CFC86,SMAges,0
CFC86,SM6to7,0
CFC87,SMHotWheels,0
CFC87,SMGirls,0
CFC87,SMDolls,0
CFC87,SMCategory,0
CFC87,SMBrand,0
CFC87,SMAges,0
CFC87,SM4to5,0
CFC89,SMWWE,0
CFC89,SMGirls,0
CFC89,SMDolls,0
CFC89,SMCategory,0
CFC89,SMBrand,0
CFC89,SMAges,0
CFC89,SM3plus,0
CGG93,SMVehicles,0
CGG93,SMCategory,0
CGG93,SMBrand,0
CGG93,SMBoys,0
CGG93,SMBarbie,0
CGG93,SMAges,0
CGG93,SM8plus,0
CGG94,SMWWE,0
CGG94,SMGirls,0
CGG94,SMCategory,0
CGG94,SMBrand,0
CGG94,SMAges,0
CGG94,SMActionFigues,0
CGG94,SM8plus,0
CGH18,SMVehicles,0
CGH18,SMMonsterHigh,0
CGH18,SMGirls,0
CGH18,SMCategory,0
CGH18,SMBrand,0
CGH18,SMAges,0
CGH18,SM4to5,0
CGH94,SMEverAfterHigh,0
CGH94,SMCategory,0
CGH94,SMBrand,0
CGH94,SMBoys,0
CGH94,SMAges,0
CGH94,SMActionFigues,0
CGH94,SM3plus,0
CGH95,SMWWE,0
CGH95,SMClearance,0
CGH95,SMCategory,0
CGH95,SMBrand,0
CGH95,SMBoys,0
CGH95,SMAges,0
CGH95,SMActionFigues,0
CGH95,SM6to7,0
CGV19,SMHotWheels,0
CGV19,SMCategory,0
CGV19,SMBrand,0
CGV19,SMBoys,0
CGV19,SMAges,0
CGV19,SMActionFigues,0
CGV19,SM4to5,0
CKP50,SMVehicles,0
CKP50,SMMatchbox,0
CKP50,SMGirls,0
CKP50,SMClearance,0
CKP50,SMCategory,0
CKP50,SMBrand,0
CKP50,SMAges,0
CKP50,SM4to5,0
C1817,SMWWE,0
C1817,SMGirls,0
C1817,SMDolls,0
C1817,SMCategory,0
C1817,SMBrand,0
C1817,SMAges,0
C1817,SM8plus,0
CCW27,SMMonsterHigh,0
CCW27,SMGirls,0
CCW27,SMCategory,0
CCW27,SMBrand,0
CCW27,SMAges,0
CCW27,SMActionFigues,0
CCW27,SM6to7,0
CDC73,SMHotWheels,0
CDC73,SMGirls,0
CDC73,SMCategory,0
CDC73,SMBrand,0
CDC73,SMAges,0
CDC73,SMActionFigues,0
CDC73,SM6to7,0
CFM57,SMMatchbox,0
CFM57,SMGirls,0
CFM57,SMCategory,0
CFM57,SMBrand,0
CFM57,SMAges,0
CFM57,SMActionFigues,0
CFM57,SM3plus,0
BCN33,sale-lifestyle,7
BCN33,SMWWE,0
BCN33,SMVehicles,0
BCN33,SMGirls,0
BCN33,SMClearance,0
BCN33,SMCategory,0
BCN33,SMBrand,0
BCN33,SMAges,0
BCN33,SM4to5,0
BCN34,sale-lifestyle,8
BCN34,SMDolls,0
BCN34,SMCategory,0
BCN34,SMBrand,0
BCN34,SMBoys,0
BCN34,SMBarbie,0
BCN34,SMAges,0
BCN34,SM4to5,0
BCN35,sale-lifestyle,9
BCN35,SMHotWheels,0
BCN35,SMCategory,0
BCN35,SMBrand,0
BCN35,SMBoys,0
BCN35,SMAges,0
BCN35,SMActionFigues,0
BCN35,SM6to7,0
CCP42,sale-lifestyle,10
CCP42,SMGirls,0
CCP42,SMCategory,0
CCP42,SMBrand,0
CCP42,SMBarbie,0
CCP42,SMAges,0
CCP42,SMActionFigues,0
CCP42,SM3plus,0
CCP53,barbie-fashionistas-new,1
CCP53,sale-lifestyle,11
CCP53,SMWWE,0
CCP53,SMGirls,0
CCP53,SMDolls,0
CCP53,SMClearance,0
CCP53,SMCategory,0
CCP53,SMBrand,0
CCP53,SMAges,0
CCP53,SM6to7,0
CCP58,barbie-fashionistas-new,2
CCP58,sale-lifestyle,12
CCP58,SMWWE,0
CCP58,SMGirls,0
CCP58,SMCategory,0
CCP58,SMBrand,0
CCP58,SMAges,0
CCP58,SMActionFigues,0
CCP58,SM8plus,0
CCP70,barbie-fashionistas-new,3
CCP70,sale-lifestyle,13
CCP70,SMGirls,0
CCP70,SMDolls,0
CCP70,SMDisneyCars,0
CCP70,SMCategory,0
CCP70,SMBrand,0
CCP70,SMAges,0
CCP70,SM6to7,0
CCP71,barbie-fashionistas-new,4
CCP71,sale-lifestyle,14
CCP71,SMWWE,0
CCP71,SMVehicles,0
CCP71,SMGirls,0
CCP71,SMCategory,0
CCP71,SMBrand,0
CCP71,SMAges,0
CCP71,SM3plus,0
CCP82,barbie-fashionistas-new,5
CCP82,sale-lifestyle,15
CCP82,SMDolls,0
CCP82,SMDisneyCars,0
CCP82,SMCategory,0
CCP82,SMBrand,0
CCP82,SMBoys,0
CCP82,SMAges,0
CCP82,SM3plus,0
CCP83,barbie-fashionistas-new,6
CCP83,sale-lifestyle,16
CCP83,SMMonsterHigh,0
CCP83,SMGirls,0
CCP83,SMClearance,0
CCP83,SMCategory,0
CCP83,SMBrand,0
CCP83,SMAges,0
CCP83,SMActionFigues,0
CCP83,SM8plus,0
CDY61,barbie-fashionistas-new,7
CDY61,sale-lifestyle,17
CDY61,SMVehicles,0
CDY61,SMCategory,0
CDY61,SMBrand,0
CDY61,SMBoys,0
CDY61,SMBarbie,0
CDY61,SMAges,0
CDY61,SM6to7,0
CDY62,barbie-fashionistas-new,8
CDY62,sale-lifestyle,18
CDY62,SMHotWheels,0
CDY62,SMGirls,0
CDY62,SMDolls,0
CDY62,SMCategory,0
CDY62,SMBrand,0
CDY62,SMAges,0
CDY62,SM6to7,0
CDY63,barbie-fashionistas-new,9
CDY63,SMVehicles,0
CDY63,SMMatchbox,0
CDY63,SMGifts,0
CDY63,SMCategory,0
CDY63,SMBrand,0
CDY63,SMBoys,0
CDY63,SMAges,0
CDY63,SM4to5,0
CDY66,barbie-fashionistas-new,10
CDY66,SMGirls,0
CDY66,SMCategory,0
CDY66,SMBrand,0
CDY66,SMBarbie,0
CDY66,SMAges,0
CDY66,SMActionFigues,0
CDY66,SM8plus,0
CDY67,barbie-fashionistas-new,11
CDY67,SMMonsterHigh,0
CDY67,SMGirls,0
CDY67,SMDolls,0
CDY67,SMCategory,0
CDY67,SMBrand,0
CDY67,SMAges,0
CDY67,SM4to5,0
CFB49,barbie-fashionistas-new,12
CFB49,SMGirls,0
CFB49,SMEverAfterHigh,0
CFB49,SMCategory,0
CFB49,SMBrand,0
CFB49,SMAges,0
CFB49,SMActionFigues,0
CFB49,SM8plus,0
CFB60,barbie-fashionistas-new,13
CFB60,SMGirls,0
CFB60,SMDisneyCars,0
CFB60,SMClearance,0
CFB60,SMCategory,0
CFB60,SMBrand,0
CFB60,SMAges,0
CFB60,SMActionFigues,0
CFB60,SM4to5,0
CFB61,barbie-fashionistas-new,14
CFB61,SMMatchbox,0
CFB61,SMGirls,0
CFB61,SMCategory,0
CFB61,SMBrand,0
CFB61,SMAges,0
CFB61,SMActionFigues,0
CFB61,SM8plus,0
CFB62,barbie-fashionistas-new,15
CFB62,SMCategory,0
CFB62,SMBrand,0
CFB62,SMBoys,0
CFB62,SMBarbie,0
CFB62,SMAges,0
CFB62,SMActionFigues,0
CFB62,SM3plus,0
CFF12,barbie-fashionistas-new,16
CFF12,SMGirls,0
CFF12,SMCategory,0
CFF12,SMBrand,0
CFF12,SMBarbie,0
CFF12,SMAges,0
CFF12,SMActionFigues,0
CFF12,SM3plus,0
CFF14,barbie-fashionistas-new,17
CFF14,SMEverAfterHigh,0
CFF14,SMDolls,0
CFF14,SMCategory,0
CFF14,SMBrand,0
CFF14,SMBoys,0
CFF14,SMAges,0
CFF14,SM3plus,0
CFF15,barbie-fashionistas-new,18
CFF15,SMGirls,0
CFF15,SMEverAfterHigh,0
CFF15,SMCategory,0
CFF15,SMBrand,0
CFF15,SMAges,0
CFF15,SMActionFigues,0
CFF15,SM3plus,0
CFF16,barbie-fashionistas-new,19
CFF16,SMWWE,0
CFF16,SMCategory,0
CFF16,SMBrand,0
CFF16,SMBoys,0
CFF16,SMAges,0
CFF16,SMActionFigues,0
CFF16,SM6to7,0
CFF22,barbie-fashionistas-new,20
CFF22,SMGirls,0
CFF22,SMDolls,0
CFF22,SMDisneyCars,0
CFF22,SMCategory,0
CFF22,SMBrand,0
CFF22,SMAges,0
CFF22,SM4to5,0
CFF23,barbie-fashionistas-new,21
CFF23,SMHotWheels,0
CFF23,SMDolls,0
CFF23,SMCategory,0
CFF23,SMBrand,0
CFF23,SMBoys,0
CFF23,SMAges,0
CFF23,SM6to7,0
CFF25,barbie-fashionistas-new,22
CFF25,SMVehicles,0
CFF25,SMGirls,0
CFF25,SMDisneyCars,0
CFF25,SMCategory,0
CFF25,SMBrand,0
CFF25,SMAges,0
CFF25,SM8plus,0
CFF26,barbie-fashionistas-new,23
CFF26,SMVehicles,0
CFF26,SMCategory,0
CFF26,SMBrand,0
CFF26,SMBoys,0
CFF26,SMBarbie,0
CFF26,SMAges,0
CFF26,SM8plus,0
CFF27,barbie-fashionistas-new,24
CFF27,SMHotWheels,0
CFF27,SMDolls,0
CFF27,SMCategory,0
CFF27,SMBrand,0
CFF27,SMBoys,0
CFF27,SMAges,0
CFF27,SM3plus,0
CFF29,barbie-fashionistas-new,25
CFF29,SMVehicles,0
CFF29,SMGirls,0
CFF29,SMCategory,0
CFF29,SMBrand,0
CFF29,SMBarbie,0
CFF29,SMAges,0
CFF29,SM6to7,0
CFF33,barbie-fashionistas-new,26
CFF33,SMVehicles,0
CFF33,SMMonsterHigh,0
CFF33,SMGirls,0
CFF33,SMCategory,0
CFF33,SMBrand,0
CFF33,SMAges,0
CFF33,SM4to5,0
CFF34,SMHotWheels,0
CFF34,SMDolls,0
CFF34,SMCategory,0
CFF34,SMBrand,0
CFF34,SMBoys,0
CFF34,SMAges,0
CFF34,SM4to5,0
CFF35,SMGirls,0
CFF35,SMDisneyCars,0
CFF35,SMCategory,0
CFF35,SMBrand,0
CFF35,SMAges,0
CFF35,SMActionFigues,0
CFF35,SM3plus,0
CFF37,SMMatchbox,0
CFF37,SMDolls,0
CFF37,SMCategory,0
CFF37,SMBrand,0
CFF37,SMBoys,0
CFF37,SMAges,0
CFF37,SM8plus,0
CFF40,SMGirls,0
CFF40,SMDolls,0
CFF40,SMClearance,0
CFF40,SMCategory,0
CFF40,SMBrand,0
CFF40,SMBarbie,0
CFF40,SMAges,0
CFF40,SM3plus,0
CFF43,SMGirls,0
CFF43,SMDolls,0
CFF43,SMDisneyCars,0
CFF43,SMCategory,0
CFF43,SMBrand,0
CFF43,SMAges,0
CFF43,SM3plus,0
CFF44,SMWWE,0
CFF44,SMGirls,0
CFF44,SMDolls,0
CFF44,SMCategory,0
CFF44,SMBrand,0
CFF44,SMAges,0
CFF44,SM4to5,0
CFF45,SMHotWheels,0
CFF45,SMGirls,0
CFF45,SMGifts,0
CFF45,SMDolls,0
CFF45,SMCategory,0
CFF45,SMBrand,0
CFF45,SMAges,0
CFF45,SM3plus,0
CFF46,SMHotWheels,0
CFF46,SMGirls,0
CFF46,SMDolls,0
CFF46,SMCategory,0
CFF46,SMBrand,0
CFF46,SMAges,0
CFF46,SM3plus,0
CFF48,SMGirls,0
CFF48,SMDisneyCars,0
CFF48,SMCategory,0
CFF48,SMBrand,0
CFF48,SMAges,0
CFF48,SMActionFigues,0
CFF48,SM3plus,0
CFF49,SMMatchbox,0
CFF49,SMCategory,0
CFF49,SMBrand,0
CFF49,SMBoys,0
CFF49,SMAges,0
CFF49,SMActionFigues,0
CFF49,SM6to7,0
CFG03,SMGirls,0
CFG03,SMClearance,0
CFG03,SMCategory,0
CFG03,SMBrand,0
CFG03,SMBarbie,0
CFG03,SMAges,0
CFG03,SMActionFigues,0
CFG03,SM4to5,0
CFG12,SMVehicles,0
CFG12,SMMonsterHigh,0
CFG12,SMCategory,0
CFG12,SMBrand,0
CFG12,SMBoys,0
CFG12,SMAges,0
CFG12,SM6to7,0
CFG13,SMEverAfterHigh,0
CFG13,SMDolls,0
CFG13,SMCategory,0
CFG13,SMBrand,0
CFG13,SMBoys,0
CFG13,SMAges,0
CFG13,SM6to7,0
CFG14,SMVehicles,0
CFG14,SMEverAfterHigh,0
CFG14,SMCategory,0
CFG14,SMBrand,0
CFG14,SMBoys,0
CFG14,SMAges,0
CFG14,SM4to5,0
CFG15,SMVehicles,0
CFG15,SMHotWheels,0
CFG15,SMCategory,0
CFG15,SMBrand,0
CFG15,SMBoys,0
CFG15,SMAges,0
CFG15,SM3plus,0
CFG16,SMGifts,0
CFG16,SMDolls,0
CFG16,SMDisneyCars,0
CFG16,SMCategory,0
CFG16,SMBrand,0
CFG16,SMBoys,0
CFG16,SMAges,0
CFG16,SM4to5,0
W6908,SMEverAfterHigh,0
W6908,SMCategory,0
W6908,SMBrand,0
W6908,SMBoys,0
W6908,SMAges,0
W6908,SMActionFigues,0
W6908,SM3plus,0
W6910,SMWWE,0
W6910,SMVehicles,0
W6910,SMCategory,0
W6910,SMBrand,0
W6910,SMBoys,0
W6910,SMAges,0
W6910,SM4to5,0
W3767,campers-cars,7
W3767,SMGirls,0
W3767,SMCategory,0
W3767,SMBrand,0
W3767,SMBarbie,0
W3767,SMAges,0
W3767,SMActionFigues,0
W3767,SM8plus,0
Y5570,campers-cars,8
Y5570,SMWWE,0
Y5570,SMGirls,0
Y5570,SMGifts,0
Y5570,SMDolls,0
Y5570,SMCategory,0
Y5570,SMBrand,0
Y5570,SMAges,0
Y5570,SM8plus,0
T7498,SMVehicles,0
T7498,SMHotWheels,0
T7498,SMGirls,0
T7498,SMCategory,0
T7498,SMBrand,0
T7498,SMAges,0
T7498,SM6to7,0
X2269,campers-cars,9
X2269,SMHotWheels,0
X2269,SMGirls,0
X2269,SMGifts,0
X2269,SMDolls,0
X2269,SMCategory,0
X2269,SMBrand,0
X2269,SMAges,0
X2269,SM8plus,0
X6999,SMDisneyCars,0
X6999,SMCategory,0
X6999,SMBrand,0
X6999,SMBoys,0
X6999,SMAges,0
X6999,SMActionFigues,0
X6999,SM8plus,0
X5450,SMWWE,0
X5450,SMGirls,0
X5450,SMCategory,0
X5450,SMBrand,0
X5450,SMAges,0
X5450,SMActionFigues,0
X5450,SM4to5,0
X7738,SMVehicles,0
X7738,SMMonsterHigh,0
X7738,SMGirls,0
X7738,SMCategory,0
X7738,SMBrand,0
X7738,SMAges,0
X7738,SM6to7,0
X9352,SMEverAfterHigh,0
X9352,SMCategory,0
X9352,SMBrand,0
X9352,SMBoys,0
X9352,SMAges,0
X9352,SMActionFigues,0
X9352,SM6to7,0
BCN02,SMMonsterHigh,0
BCN02,SMDolls,0
BCN02,SMCategory,0
BCN02,SMBrand,0
BCN02,SMBoys,0
BCN02,SMAges,0
BCN02,SM8plus,0
Y0013,SMWWE,0
Y0013,SMCategory,0
Y0013,SMBrand,0
Y0013,SMBoys,0
Y0013,SMAges,0
Y0013,SMActionFigues,0
Y0013,SM6to7,0
Y0177,SMWWE,0
Y0177,SMGirls,0
Y0177,SMDolls,0
Y0177,SMCategory,0
Y0177,SMBrand,0
Y0177,SMAges,0
Y0177,SM3plus,0
Y1869,SMVehicles,0
Y1869,SMMatchbox,0
Y1869,SMCategory,0
Y1869,SMBrand,0
Y1869,SMBoys,0
Y1869,SMAges,0
Y1869,SM4to5,0
BCD81,SMMonsterHigh,0
BCD81,SMCategory,0
BCD81,SMBrand,0
BCD81,SMBoys,0
BCD81,SMAges,0
BCD81,SMActionFigues,0
BCD81,SM4to5,0
Y0423,SMGirls,0
Y0423,SMEverAfterHigh,0
Y0423,SMDolls,0
Y0423,SMClearance,0
Y0423,SMCategory,0
Y0423,SMBrand,0
Y0423,SMAges,0
Y0423,SM8plus,0
Y4307,SMMonsterHigh,0
Y4307,SMGirls,0
Y4307,SMDolls,0
Y4307,SMCategory,0
Y4307,SMBrand,0
Y4307,SMAges,0
Y4307,SM3plus,0
Y2569,SMMonsterHigh,0
Y2569,SMGirls,0
Y2569,SMCategory,0
Y2569,SMBrand,0
Y2569,SMAges,0
Y2569,SMActionFigues,0
Y2569,SM3plus,0
Y7506,SMGifts,0
Y7506,SMDolls,0
Y7506,SMDisneyCars,0
Y7506,SMCategory,0
Y7506,SMBrand,0
Y7506,SMBoys,0
Y7506,SMAges,0
Y7506,SM8plus,0
X9287,SMMonsterHigh,0
X9287,SMGirls,0
X9287,SMDolls,0
X9287,SMCategory,0
X9287,SMBrand,0
X9287,SMAges,0
X9287,SM4to5,0
X7945,SMWWE,0
X7945,SMVehicles,0
X7945,SMGirls,0
X7945,SMCategory,0
X7945,SMBrand,0
X7945,SMAges,0
X7945,SM6to7,0
Y0011,SMGirls,0
Y0011,SMDolls,0
Y0011,SMDisneyCars,0
Y0011,SMCategory,0
Y0011,SMBrand,0
Y0011,SMAges,0
Y0011,SM3plus,0
Y0057,SMVehicles,0
Y0057,SMMonsterHigh,0
Y0057,SMGirls,0
Y0057,SMCategory,0
Y0057,SMBrand,0
Y0057,SMAges,0
Y0057,SM6to7,0
Y1863,SMWWE,0
Y1863,SMVehicles,0
Y1863,SMCategory,0
Y1863,SMBrand,0
Y1863,SMBoys,0
Y1863,SMAges,0
Y1863,SM8plus,0
Y1867,SMMatchbox,0
Y1867,SMDolls,0
Y1867,SMCategory,0
Y1867,SMBrand,0
Y1867,SMBoys,0
Y1867,SMAges,0
Y1867,SM6to7,0
X8620,SMVehicles,0
X8620,SMHotWheels,0
X8620,SMCategory,0
X8620,SMBrand,0
X8620,SMBoys,0
X8620,SMAges,0
X8620,SM6to7,0
X8626,SMMatchbox,0
X8626,SMDolls,0
X8626,SMCategory,0
X8626,SMBrand,0
X8626,SMBoys,0
X8626,SMAges,0
X8626,SM8plus,0
Y4973,SMWWE,0
Y4973,SMVehicles,0
Y4973,SMCategory,0
Y4973,SMBrand,0
Y4973,SMBoys,0
Y4973,SMAges,0
Y4973,SM4to5,0
Y1329,SMEverAfterHigh,0
Y1329,SMDolls,0
Y1329,SMCategory,0
Y1329,SMBrand,0
Y1329,SMBoys,0
Y1329,SMAges,0
Y1329,SM6to7,0
Y0416,SMGirls,0
Y0416,SMDolls,0
Y0416,SMCategory,0
Y0416,SMBrand,0
Y0416,SMBarbie,0
Y0416,SMAges,0
Y0416,SM8plus,0
X8623,SMVehicles,0
X8623,SMDisneyCars,0
X8623,SMCategory,0
X8623,SMBrand,0
X8623,SMBoys,0
X8623,SMAges,0
X8623,SM8plus,0
Y0020,SMGirls,0
Y0020,SMDolls,0
Y0020,SMDisneyCars,0
Y0020,SMCategory,0
Y0020,SMBrand,0
Y0020,SMAges,0
Y0020,SM6to7,0
BBY75,SMMonsterHigh,0
BBY75,SMGirls,0
BBY75,SMCategory,0
BBY75,SMBrand,0
BBY75,SMAges,0
BBY75,SMActionFigues,0
