CatalogEntryParentProductRelationship
PartNumber,ParentPartNumber,Sequence
CCR57.WHI.5,CCR57,0
CCR57.WHI.4,CCR57,0
CCR57.WHI.3T,CCR57,0
CCR57.WHI.2T,CCR57,0
CCR57.WHI.18M,CCR57,0
DWL11.BLU.5,DWL11,0
DWL11.BLU.4,DWL11,0
DWL11.BLU.3T,DWL11,0
DWL11.BLU.2T,DWL11,0
DFR31.BLU.5,DFR31,0
DFR31.BLU.4,DFR31,0
DFR31.BLU.3T,DFR31,0
DFR31.BLU.2T,DFR31,0
DFR31.BLU.18M,DFR31,0
DLL24.RED.5,DLL24,0
DLL24.RED.4,DLL24,0
DLL24.RED.3T,DLL24,0
DLL24.RED.2T,DLL24,0
DLM52.NAV.5,DLM52,0
DLM52.NAV.4,DLM52,0
DLM52.NAV.3T,DLM52,0
DLM52.NAV.2T,DLM52,0
F3448.PIN.XS,F3448,0
F3448.PIN.XL,F3448,0
F3448.PIN.S,F3448,0
F3448.PIN.M,F3448,0
F3448.PIN.L,F3448,0
F3515.PIN.XL,F3515,0
F3515.PIN.S,F3515,0
F3515.PIN.M,F3515,0
F3515.PIN.L,F3515,0
F3619.PLA.8,F3619,0
F3619.PLA.7,F3619,0
F3619.PLA.6,F3619,0
F3619.PLA.16,F3619,0
F3619.PLA.14,F3619,0
F3619.PLA.12,F3619,0
F3619.PLA.10,F3619,0
F3625.CRE.8,F3625,0
F3625.CRE.7,F3625,0
F3625.CRE.6,F3625,0
F3625.CRE.16,F3625,0
F3625.CRE.14,F3625,0
F3625.CRE.12,F3625,0
F3625.CRE.10,F3625,0
F5523,CLH49,0
F5519,CLH49,0
F5513,CLH49,0
F5500,CLH49,0
F5496,CLH49,0
F5460,CLH50,0
F5455,CLH50,0
F5451,CLH50,0
F5419,CLH50,0
F5415,CLH50,0
CLH51-OC,CLH51,0
G0630,CLH51,0
G0628,CLH51,0
G0626,CLH51,0
G0624,CLH51,0
G0622,CLH51,0
CLR09.GRA.XS,CLR09,0
CLR09.GRA.XL,CLR09,0
CLR09.GRA.S,CLR09,0
CLR09.GRA.M,CLR09,0
CLR09.GRA.L,CLR09,0
F5129.BER.XS,F5129,0
F5129.BER.XL,F5129,0
F5129.BER.S,F5129,0
F5129.BER.M,F5129,0
F5129.BER.L,F5129,0
F5227.RED.XS,F5227,0
F5227.RED.S,F5227,0
F5227.RED.M,F5227,0
F5227.RED.L,F5227,0
F5229.PRI.8,F5229,0
F5229.PRI.7,F5229,0
F5229.PRI.6,F5229,0
F5229.PRI.16,F5229,0
F5229.PRI.14,F5229,0
F5229.PRI.12,F5229,0
F5229.PRI.10,F5229,0
F5249.AQU.XS,F5249,0
F5249.AQU.S,F5249,0
F5249.AQU.M,F5249,0
F5249.AQU.L,F5249,0
F5253.IND.XS,F5253,0
F5253.IND.S,F5253,0
F5253.IND.M,F5253,0
F5253.IND.L,F5253,0
F5341.PUR.XS,F5341,0
F5341.PUR.XL,F5341,0
F5341.PUR.S,F5341,0
F5341.PUR.M,F5341,0
F5341.PUR.L,F5341,0
F5343.AQU.XL,F5343,0
F5343.AQU.S,F5343,0
F5343.AQU.M,F5343,0
F5343.AQU.L,F5343,0
F5586.DEN.XL,F5586,0
F5586.DEN.S,F5586,0
F5586.DEN.M,F5586,0
F5586.DEN.L,F5586,0
F5588.MUL.S/M,F5588,0
F5588.MUL.L/XL,F5588,0
F5798.WHI.XS,F5798,0
F5798.WHI.S,F5798,0
F5798.WHI.M,F5798,0
F5798.WHI.L,F5798,0
F6136.BLU.XS,F6136,0
F6136.BLU.XL,F6136,0
F6136.BLU.S,F6136,0
F6136.BLU.M,F6136,0
F6136.BLU.L,F6136,0
F6165.RED.8,F6165,0
F6165.RED.7,F6165,0
F6165.RED.6,F6165,0
F6165.RED.16,F6165,0
F6165.RED.14,F6165,0
F6165.RED.12,F6165,0
F6165.RED.10,F6165,0
F6171.CRE.8,F6171,0
F6171.CRE.7,F6171,0
F6171.CRE.6,F6171,0
F6171.CRE.16,F6171,0
F6171.CRE.14,F6171,0
F6171.CRE.12,F6171,0
F6171.CRE.10,F6171,0
F6298.WHI.M,F6298,0
F6298.WHI.XL,F6298,0
F6298.WHI.S,F6298,0
F6298.WHI.L,F6298,0
D2708.WHI.XS,D2708,0
D2708.WHI.S,D2708,0
D2708.WHI.M,D2708,0
D2708.WHI.L,D2708,0
W0981.BER.XS,W0981,0
W0981.BER.XL,W0981,0
W0981.BER.S,W0981,0
W0981.BER.M,W0981,0
W0981.BER.L,W0981,0
F0723.PIN.XS,F0723,0
F0723.PIN.XL,F0723,0
F0723.PIN.S,F0723,0
F0723.PIN.M,F0723,0
F0723.PIN.L,F0723,0
F0725.GRA.XS,F0725,0
F0725.GRA.S,F0725,0
F0725.GRA.M,F0725,0
F0725.GRA.L,F0725,0
F0989.LIL.XS,F0989,0
F0989.LIL.S,F0989,0
