MemberGroup
memberGroupName,usage,shortDescription,longDescription,delete
FP Promo Segment,GeneralPurpose,FP Promo Segment,,0
BA Promo Segment,GeneralPurpose,BA Promo Segment,,0
SM Promo Segment,GeneralPurpose,SM Promo Segment,,0
HW Promo Segment,GeneralPurpose,HW Promo Segment,,0
MattelEmployees,GeneralPurpose,MattelEmployees,,0
FISHER TEST,GeneralPurpose,FISHER TEST,,0
HWC Limit Test 091517 CHROME,GeneralPurpose,HWC Limit Test 091517 CHROME,,0
Hot Wheels Collector- Chrome,GeneralPurpose,Hot Wheels Collector- Chrome,,0
Hot Wheels Collector- Stock,GeneralPurpose,Hot Wheels Collector- Stock,,0
Hot Wheels Collector- Subscription,GeneralPurpose,Hot Wheels Collector- Subscription,,0
