MemberGroupDescription
memberGroupName,shortDescription,longDescription,langId,delete
FP Promo Segment,FP Promo Segment,,-1,0
BA Promo Segment,BA Promo Segment,,-1,0
SM Promo Segment,SM Promo Segment,,-1,0
HW Promo Segment,HW Promo Segment,,-1,0
MattelEmployees,MattelEmployees,,-1,0
FISHER TEST,FISHER TEST,,-1,0
HWC Limit Test 091517 CHROME,HWC Limit Test 091517 CHROME,,-1,0
Hot Wheels Collector- Chrome,Hot Wheels Collector- Chrome,,-1,0
Hot Wheels Collector- Stock,Hot Wheels Collector- Stock,,-1,0
Hot Wheels Collector- Subscription,Hot Wheels Collector- Subscription,,-1,0
