MarketingElementNVP
activityName,elementName,name,value,sequence,triggerMatch,properties,delete
FP Product SKU Page - Slot 24_0,12487,numberOfTimes,4,,0,,0
FP Product SKU Page - Slot 24_0,1,widgetEspot,1,,0,,0
FP Product SKU Page - Slot 24_0,1,widgetType,RecommendCatentry,,0,,0
DynamicSalesCategoryActivity_12101,productSearchAction,dynamicSalesCategory,true,,0,,0
DynamicSalesCategoryActivity_12101,productSearchAction,excludeCurrentCategory,false,,0,,0
DynamicSalesCategoryActivity_12101,productSearchAction,includeCategories,false,,0,,0
DynamicSalesCategoryActivity_12101,productSearchAction,includeFacets,false,,0,,0
DynamicSalesCategoryActivity_12101,productSearchAction,recommendationMethod,createSearchConditions,,0,,0
DynamicSalesCategoryActivity_12101,productSearchAction,useUserSearchTerm,false,,0,,0
DynamicSalesCategoryActivity_12101,13453,emsId,IBM_ESPOT_RuleBasedCategory_12101|MARKETING,,1,,0
FPShippingPromoMessage,18952,collateralIdList,FPFreeShippingProximity,1,0,,0
FPShippingPromoMessage,18953,emsId,FPFreeShippingProximityeSpot|MARKETING,,1,,0
FPShippingPromoMessage,18953,widgetEspot,0,,0,,0
DynamicSalesCategoryActivity_14101,productSearchAction,dynamicSalesCategory,true,,0,,0
DynamicSalesCategoryActivity_14101,productSearchAction,excludeCurrentCategory,false,,0,,0
DynamicSalesCategoryActivity_14101,productSearchAction,includeCategories,false,,0,,0
DynamicSalesCategoryActivity_14101,productSearchAction,includeFacets,false,,0,,0
DynamicSalesCategoryActivity_14101,productSearchAction,recommendationMethod,createSearchConditions,,0,,0
DynamicSalesCategoryActivity_14101,productSearchAction,useUserSearchTerm,false,,0,,0
DynamicSalesCategoryActivity_14101,19453,emsId,IBM_ESPOT_RuleBasedCategory_14101|MARKETING,,1,,0
DynamicSalesCategoryActivity_14102,productSearchAction,dynamicSalesCategory,true,,0,,0
DynamicSalesCategoryActivity_14102,productSearchAction,excludeCurrentCategory,false,,0,,0
DynamicSalesCategoryActivity_14102,productSearchAction,includeCategories,false,,0,,0
DynamicSalesCategoryActivity_14102,productSearchAction,includeFacets,false,,0,,0
DynamicSalesCategoryActivity_14102,productSearchAction,recommendationMethod,createSearchConditions,,0,,0
DynamicSalesCategoryActivity_14102,productSearchAction,useUserSearchTerm,false,,0,,0
DynamicSalesCategoryActivity_14102,19456,emsId,IBM_ESPOT_RuleBasedCategory_14102|MARKETING,,1,,0
DynamicSalesCategoryActivity_17601,productSearchAction,dynamicSalesCategory,true,,0,,0
DynamicSalesCategoryActivity_17601,productSearchAction,excludeCurrentCategory,false,,0,,0
DynamicSalesCategoryActivity_17601,productSearchAction,includeCategories,false,,0,,0
DynamicSalesCategoryActivity_17601,productSearchAction,includeFacets,false,,0,,0
DynamicSalesCategoryActivity_17601,productSearchAction,recommendationMethod,createSearchConditions,,0,,0
DynamicSalesCategoryActivity_17601,productSearchAction,useUserSearchTerm,false,,0,,0
DynamicSalesCategoryActivity_17601,32953,emsId,IBM_ESPOT_RuleBasedCategory_17601|MARKETING,,1,,0
DynamicSalesCategoryActivity_17602,productSearchAction,dynamicSalesCategory,true,,0,,0
DynamicSalesCategoryActivity_17602,productSearchAction,excludeCurrentCategory,false,,0,,0
DynamicSalesCategoryActivity_17602,productSearchAction,includeCategories,false,,0,,0
DynamicSalesCategoryActivity_17602,productSearchAction,includeFacets,false,,0,,0
DynamicSalesCategoryActivity_17602,productSearchAction,recommendationMethod,createSearchConditions,,0,,0
DynamicSalesCategoryActivity_17602,productSearchAction,useUserSearchTerm,false,,0,,0
DynamicSalesCategoryActivity_17602,32956,emsId,IBM_ESPOT_RuleBasedCategory_17602|MARKETING,,1,,0
DynamicSalesCategoryActivity_17603,productSearchAction,dynamicSalesCategory,true,,0,,0
DynamicSalesCategoryActivity_17603,productSearchAction,excludeCurrentCategory,false,,0,,0
DynamicSalesCategoryActivity_17603,productSearchAction,includeCategories,false,,0,,0
DynamicSalesCategoryActivity_17603,productSearchAction,includeFacets,false,,0,,0
DynamicSalesCategoryActivity_17603,productSearchAction,recommendationMethod,createSearchConditions,,0,,0
DynamicSalesCategoryActivity_17603,productSearchAction,useUserSearchTerm,false,,0,,0
DynamicSalesCategoryActivity_17603,32959,emsId,IBM_ESPOT_RuleBasedCategory_17603|MARKETING,,1,,0
