MarketingSpot
spotName,description,supportedTypes,usageType,uiDisplable,managingTool,delete
IBM_ESPOT_RuleBasedCategory_15601,,,MARKETING,0,,0
IBM_ESPOT_RuleBasedCategory_15602,,,MARKETING,0,,0
IBM_ESPOT_RuleBasedCategory_15603,,,MARKETING,0,,0
IBM_ESPOT_RuleBasedCategory_15604,,,MARKETING,0,,0
Category_15603_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_15604_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_15602_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_15601_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_16605,,,LAYOUTMARKETINGSPOT,,1,0
Category_16612,,,LAYOUTMARKETINGSPOT,,1,0
Category_16617,,,LAYOUTMARKETINGSPOT,,1,0
Category_16602,,,LAYOUTMARKETINGSPOT,,1,0
Category_16622,,,LAYOUTMARKETINGSPOT,,1,0
Category_16601,,,LAYOUTMARKETINGSPOT,,1,0
Category_16604,,,LAYOUTMARKETINGSPOT,,1,0
Category_16603,,,LAYOUTMARKETINGSPOT,,1,0
Category_16607,,,LAYOUTMARKETINGSPOT,,1,0
Category_16618,,,LAYOUTMARKETINGSPOT,,1,0
Category_16601_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_16604_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_16603_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_16622_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_16619_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_16602_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_16607_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_16620_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_16606_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_16605_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_16621_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_16618_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_16610_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_16609_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_16604_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_16611_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_16610_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_16613_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_16620_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_16616_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_16618_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_16617_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_16621_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_16603_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_16608_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_16612_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_16607_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_16622_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_16614_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_16606_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_16602_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_16619_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_16605_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_16601_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_16615_Product,,,LAYOUTMARKETINGSPOT,,1,0
Widget_TextEditor_701_25453,,,MARKETING,0,,0
Category_16606,,,LAYOUTMARKETINGSPOT,,1,0
AGGiftGuideEspot1,,A,MARKETING,,,0
AGGiftGuideEspot2,,A,MARKETING,,,0
AGGiftGuideEspot3,,A,MARKETING,,,0
Widget_IBMProductRecommendations_701_28455,,,MARKETING,0,,0
Widget_CatalogEntryRecommendation_701_28456,,,MARKETING,0,,0
Category_16605_Bundle,,,LAYOUTMARKETINGSPOT,,1,0
Category_16606_Bundle,,,LAYOUTMARKETINGSPOT,,1,0
Category_16607_Bundle,,,LAYOUTMARKETINGSPOT,,1,0
Category_16618_Bundle,,,LAYOUTMARKETINGSPOT,,1,0
Category_16620_Bundle,,,LAYOUTMARKETINGSPOT,,1,0
Category_16621_Bundle,,,LAYOUTMARKETINGSPOT,,1,0
Category_16610_Bundle,,,LAYOUTMARKETINGSPOT,,1,0
Category_16622_Bundle,,,LAYOUTMARKETINGSPOT,,1,0
Category_16603_Bundle,,,LAYOUTMARKETINGSPOT,,1,0
Category_16604_Bundle,,,LAYOUTMARKETINGSPOT,,1,0
Category_16602_Bundle,,,LAYOUTMARKETINGSPOT,,1,0
Category_16601_Bundle,,,LAYOUTMARKETINGSPOT,,1,0
AGMyAccountSummaryFeatureEspot,,,MARKETING,,,0
ShopCart_Guarantee_Espot,,A,MARKETING,,,0
AGMyOrderEspot,,A,MARKETING,,,0
