MarketingSpot
spotName,description,supportedTypes,usageType,uiDisplable,managingTool,delete
Widget_CatalogEntryRecommendation_701_1951,,,MARKETING,0,,0
FP_PDP_Espot1,,A,MARKETING,,,0
FP_PDP_Espot2,,A,MARKETING,,,0
Category_11106_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_11116_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_11105_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_11108_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_11104_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_11109_Product,,,LAYOUTMARKETINGSPOT,,1,0
Category_11103_Product,,,LAYOUTMARKETINGSPOT,,1,0
FP Emarketing Spot,,,MARKETING,,,0
RecentlyViewedItemsEspot,Displays recently viewed items,,MARKETING,,,0
Category_11106_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_11105_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_11103_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_11108_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_11109_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_11104_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_11116_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_11106_Kit,,,LAYOUTMARKETINGSPOT,,1,0
Category_11116_Kit,,,LAYOUTMARKETINGSPOT,,1,0
Category_11105_Kit,,,LAYOUTMARKETINGSPOT,,1,0
Category_11109_Kit,,,LAYOUTMARKETINGSPOT,,1,0
Category_11108_Kit,,,LAYOUTMARKETINGSPOT,,1,0
Category_11103_Kit,,,LAYOUTMARKETINGSPOT,,1,0
Category_11104_Kit,,,LAYOUTMARKETINGSPOT,,1,0
IBM_ESPOT_RuleBasedCategory_12101,,,MARKETING,0,,0
Category_11610,,,LAYOUTMARKETINGSPOT,,1,0
Category_11609,,,LAYOUTMARKETINGSPOT,,1,0
Category_11612,,,LAYOUTMARKETINGSPOT,,1,0
Category_11614,,,LAYOUTMARKETINGSPOT,,1,0
Category_11611,,,LAYOUTMARKETINGSPOT,,1,0
Category_11613,,,LAYOUTMARKETINGSPOT,,1,0
Search_%,,,LAYOUTMARKETINGSPOT,,1,0
Widget_CategoryRecommendation_701_10451,,,MARKETING,0,,0
FPO Espot Content,Generic FPO Espot Content Example,A,MARKETING,,,0
Widget_CatalogEntryList_701_10984,,,MARKETING,0,,0
Widget_CatalogEntryList_701_10988,,,MARKETING,0,,0
Test,,A,MARKETING,,,0
Widget_CatalogEntryList_701_13951,,,MARKETING,0,,0
Widget_CatalogEntryRecommendation_701_15466,,,MARKETING,0,,0
FPFreeShippingProximityeSpot,,A,MARKETING,,,0
IBM_ESPOT_RuleBasedCategory_14101,,,MARKETING,0,,0
IBM_ESPOT_RuleBasedCategory_14102,,,MARKETING,0,,0
Widget_CatalogEntryRecommendation_701_17452,,,MARKETING,0,,0
Widget_CatalogEntryList_701_17458,,,MARKETING,0,,0
Category_13608,,,LAYOUTMARKETINGSPOT,,1,0
Category_13613,,,LAYOUTMARKETINGSPOT,,1,0
Category_13601,,,LAYOUTMARKETINGSPOT,,1,0
Category_11150,,,LAYOUTMARKETINGSPOT,,1,0
Category_11182,,,LAYOUTMARKETINGSPOT,,1,0
Category_11647,,,LAYOUTMARKETINGSPOT,,1,0
Category_11174,,,LAYOUTMARKETINGSPOT,,1,0
Category_11648,,,LAYOUTMARKETINGSPOT,,1,0
Category_11137,,,LAYOUTMARKETINGSPOT,,1,0
Category_11629,,,LAYOUTMARKETINGSPOT,,1,0
Category_11639,,,LAYOUTMARKETINGSPOT,,1,0
Category_11178,,,LAYOUTMARKETINGSPOT,,1,0
Category_11652,,,LAYOUTMARKETINGSPOT,,1,0
Category_11175,,,LAYOUTMARKETINGSPOT,,1,0
Category_11646,,,LAYOUTMARKETINGSPOT,,1,0
Category_11630,,,LAYOUTMARKETINGSPOT,,1,0
Category_11650,,,LAYOUTMARKETINGSPOT,,1,0
Category_11651,,,LAYOUTMARKETINGSPOT,,1,0
Category_11130,,,LAYOUTMARKETINGSPOT,,1,0
Category_11621,,,LAYOUTMARKETINGSPOT,,1,0
Category_11154,,,LAYOUTMARKETINGSPOT,,1,0
Category_11632,,,LAYOUTMARKETINGSPOT,,1,0
Category_11129,,,LAYOUTMARKETINGSPOT,,1,0
Category_11125,,,LAYOUTMARKETINGSPOT,,1,0
Category_11128,,,LAYOUTMARKETINGSPOT,,1,0
Category_11131,,,LAYOUTMARKETINGSPOT,,1,0
Category_11135,,,LAYOUTMARKETINGSPOT,,1,0
Category_11149,,,LAYOUTMARKETINGSPOT,,1,0
Category_11127,,,LAYOUTMARKETINGSPOT,,1,0
Category_11183,,,LAYOUTMARKETINGSPOT,,1,0
BAStoreLogo,,A,MARKETING,,,0
SMStoreLogo,,A,MARKETING,,,0
HWStoreLogo,,A,MARKETING,,,0
FPStoreLogo,,A,MARKETING,,,0
FPEmailSignupModal,,A,MARKETING,,,0
Widget_TextEditor_701_25455,,,MARKETING,0,,0
IBM_ESPOT_RuleBasedCategory_17601,,,MARKETING,0,,0
IBM_ESPOT_RuleBasedCategory_17602,,,MARKETING,0,,0
IBM_ESPOT_RuleBasedCategory_17603,,,MARKETING,0,,0
Category_13649_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_13629_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_13644_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_13655_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_13655,,,LAYOUTMARKETINGSPOT,,1,0
Category_11116,,,LAYOUTMARKETINGSPOT,,1,0
Category_13117,,,LAYOUTMARKETINGSPOT,,1,0
Category_13121,,,LAYOUTMARKETINGSPOT,,1,0
Category_13607,,,LAYOUTMARKETINGSPOT,,1,0
Category_13120,,,LAYOUTMARKETINGSPOT,,1,0
Category_17103,,,LAYOUTMARKETINGSPOT,,1,0
Category_11108,,,LAYOUTMARKETINGSPOT,,1,0
Category_11103,,,LAYOUTMARKETINGSPOT,,1,0
Category_13644,,,LAYOUTMARKETINGSPOT,,1,0
Category_13123,,,LAYOUTMARKETINGSPOT,,1,0
Category_13604,,,LAYOUTMARKETINGSPOT,,1,0
Category_11106,,,LAYOUTMARKETINGSPOT,,1,0
Category_13606,,,LAYOUTMARKETINGSPOT,,1,0
Category_13122,,,LAYOUTMARKETINGSPOT,,1,0
Category_13605,,,LAYOUTMARKETINGSPOT,,1,0
Category_13649,,,LAYOUTMARKETINGSPOT,,1,0
Category_11109,,,LAYOUTMARKETINGSPOT,,1,0
Category_11105,,,LAYOUTMARKETINGSPOT,,1,0
Category_11104,,,LAYOUTMARKETINGSPOT,,1,0
Category_13629,,,LAYOUTMARKETINGSPOT,,1,0
Category_13607_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_13120_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_13601_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_13605_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_13121_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_13604_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_13123_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_13122_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_13606_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_13117_Item,,,LAYOUTMARKETINGSPOT,,1,0
Category_11132,,,LAYOUTMARKETINGSPOT,,1,0
Category_11601,,,LAYOUTMARKETINGSPOT,,1,0
Category_11114,,,LAYOUTMARKETINGSPOT,,1,0
Category_11113,,,LAYOUTMARKETINGSPOT,,1,0
Category_17102,,,LAYOUTMARKETINGSPOT,,1,0
