MarketingSpotDefaultContent
spotName,usageType,contentType,content,sequence,delete
FP_PDP_Espot2,MARKETING,MarketingContent,FPProductEspot2,1,0
Widget_CategoryRecommendation_701_10451,MARKETING,CatalogGroup,Cat_Seats_Bouncers,3,0
Widget_CategoryRecommendation_701_10451,MARKETING,CatalogGroup,Cat_HighChairs_Boosters,4,0
Widget_CategoryRecommendation_701_10451,MARKETING,CatalogGroup,Cat_Sleepers,2,0
Widget_CategoryRecommendation_701_10451,MARKETING,CatalogGroup,Cat_Entertainers,5,0
Widget_CategoryRecommendation_701_10451,MARKETING,CatalogGroup,Cat_Bath_Potty,6,0
Widget_CategoryRecommendation_701_10451,MARKETING,CatalogGroup,Cat_Swings,1,0
FPO Espot Content,MARKETING,MarketingContent,FPO Image,1,0
Widget_CatalogEntryList_CategoryPage,MARKETING,MarketingContent,Test,1,0
Widget_CatalogEntryRecommendation_701_17452,MARKETING,CatalogEntry,CFB49,4,0
Widget_CatalogEntryRecommendation_701_17452,MARKETING,CatalogEntry,CFF14,9,0
Widget_CatalogEntryRecommendation_701_17452,MARKETING,CatalogEntry,CFB62,7,0
Widget_CatalogEntryRecommendation_701_17452,MARKETING,CatalogEntry,CDY63,1,0
Widget_CatalogEntryRecommendation_701_17452,MARKETING,CatalogEntry,CFF15,10,0
Widget_CatalogEntryRecommendation_701_17452,MARKETING,CatalogEntry,CFF12,8,0
Widget_CatalogEntryRecommendation_701_17452,MARKETING,CatalogEntry,CFB60,5,0
Widget_CatalogEntryRecommendation_701_17452,MARKETING,CatalogEntry,CDY67,3,0
Widget_CatalogEntryRecommendation_701_17452,MARKETING,CatalogEntry,CFB61,6,0
Widget_CatalogEntryRecommendation_701_17452,MARKETING,CatalogEntry,CDY66,2,0
Widget_CatalogEntryList_701_17458,MARKETING,MarketingContent,Test,3,0
BAStoreLogo,MARKETING,MarketingContent,BAStoreLogoContent,1,0
SMStoreLogo,MARKETING,MarketingContent,SMStoreLogoContent,1,0
HWStoreLogo,MARKETING,MarketingContent,HWStoreLogoContent,1,0
FPStoreLogo,MARKETING,MarketingContent,FPStoreLogoContent,1,0
FPEmailSignupModal,MARKETING,MarketingContent,FPEmailSignupModal,1,0
Widget_TextEditor_701_25455,MARKETING,MarketingContent,Widget_25455_01_31_2017_16_12_09_916_7978,0,0
