AttributeDictionaryAttributeAndAllowedValues
Identifier,Type,AttributeType,Name,UnitOfMeasure,sequence,Displayable,Comparable,StoreDisplay,LanguageId
Girl2HairSkinTone,STRING,1,Girl 2,,0,1,0,,-1
Carsinseries,STRING,2,Cars In Series,,0,1,0,,-1
MEMBERSHIP_ONLY,STRING,2,MEMBERSHIP ONLY,,0,1,0,,-1
MEMBERSHIP_PRODUCT,STRING,1,MEMBERSHIP_PRODUCT,,0,1,0,,-1
Releasenum,STRING,2,HWC/RLC Release #,,0,1,0,,-1
SHOWROOM,STRING,2,SHOWROOM,,0,1,0,,-1
PLUCK_REFERENCE_PRODUCT_ID,STRING,2,Pluck Reference Product ID,,0,1,0,,-1
agcategory,STRING,1,Category,,0,1,0,,-1
CATENTRY.AVAILABILITYDATE,STRING,2,CATENTRY.AVAILABILITYDATE,,0,1,0,,-1
AVAILABILITYDATE,STRING,2,AVAILABILITYDATE,,0,1,0,,-1
ClothingCategory,STRING,1,Category,,0,1,0,,-1
PLAgooglebrand,STRING,2,Google Brand,,0,1,0,,-1
PLAgoogleprodtype,STRING,2,Google Product Type,,0,1,0,,-1
PLAgoogleprice,FLOAT,2,Google Price for Bundles,,0,1,0,,-1
PLAgoogleexclude,STRING,2,Google Exclude ,,0,1,0,,-1
PLAgooglesubcat,STRING,2,Google Sub Category,,0,1,0,,-1
PLAgooglecustom_label_0,STRING,2,Google Custom Label 0,,0,1,0,,-1
PLAgooglecustom_label_1,STRING,2,Google Custom Label 1,,0,1,0,,-1
PLAgooglecustom_label_2,STRING,2,Google Custom Label 2,,0,1,0,,-1
PLAgooglecustom_label_3,STRING,2,Google Custom Label 3,,0,1,0,,-1
PLAgooglecustom_label_4,STRING,2,Google Custom Label 4,,0,1,0,,-1
EXCLUDE_FANFAV_COMPCOLL,STRING,1,Exclude from Fan Faves & Complete Collection,,0,1,0,,-1
Gross_Motor,STRING,2,Gross Motor Skills,,0,1,0,,-1
Sensory,STRING,2,Sensory Skills,,0,1,0,,-1
Self-expr_Confidence,STRING,2,Self-Expression & Confidence,,0,1,0,,-1
Academics,STRING,2,Academics,,0,1,0,,-1
Curiosity_Discovery,STRING,2,Curiosity & Discovery,,0,1,0,,-1
Imagination_Curiosity,STRING,2,Imagination & Creativity,,0,1,0,,-1
Thinking_ProblemSolving,STRING,2,Problem Solving,,0,1,0,,-1
Security_Happiness,STRING,2,Security & Happiness,,0,1,0,,-1
Listening_Communication,STRING,2,Listening,,0,1,0,,-1
Fine_Motor,STRING,2,Fine Motor Skills,,0,1,0,,-1
Balance_Coordination,STRING,2,Balance & Coordination,,0,1,0,,-1
Sharing_Cooperation,STRING,2,Sharing & Cooperation,,0,1,0,,-1
SearchAge,STRING,1,Age,,0,1,0,,-1
RibbonAd_AwardWinner,STRING,1,RibbonAd_AwardWinner,,0,1,0,,-1
RibbonAd_Exclusive,STRING,1,RibbonAd_Exclusive,,0,1,0,,-1
RibbonAd_New,STRING,1,RibbonAd_New,,0,1,0,,-1
RibbonAd_Sale,STRING,1,RibbonAd_Sale,,0,1,0,,-1
RibbonAd_TopSeller,STRING,1,RibbonAd_TopSeller,,0,1,0,,-1
Brand,STRING,1,Brand,,0,1,0,,-1
excludeShippingStates,STRING,2,Exclude US Shipping States,,0,1,0,,-1
excludeInternationalShipping,STRING,2,Exclude International Shipping,,0,1,0,,-1
excludeShippingCountries,STRING,2,Exclude Shipping Countries,,0,1,0,,-1
excludePoBox,STRING,2,Exclude Po Box,,0,1,0,,-1
excludeRushShipping,STRING,2,Exclude Rush Shipping,,0,1,0,,-1
includeShippingCountries,STRING,2,Include Shipping Countries,,0,1,0,,-1
Bullet1,STRING,2,Bullet List 1,,0,1,0,,-1
Bullet2,STRING,2,Bullet List 2,,0,1,0,,-1
Bullet3,STRING,2,Bullet List 3,,0,1,0,0,-1
Bullet4,STRING,2,Bullet List 4,,0,1,0,0,-1
Bullet5,STRING,2,Bullet List 5,,0,1,0,0,-1
Bullet6,STRING,2,Bullet List 6,,0,1,0,0,-1
Bullet7,STRING,2,Bullet List 7,,0,1,0,0,-1
Bullet8,STRING,2,Bullet List 8,,0,1,0,0,-1
Bullet9,STRING,2,Bullet List 9,,0,1,0,0,-1
CSRAttr,STRING,1,CSRAttr,,0,1,0,,-1
SensorySkills,STRING,2,Sensory Skills,,0,1,0,,-1
GrossMotorSkills,STRING,2,Gross Motor Skills,,0,1,0,,-1
CuriosityDiscovery,STRING,2,Curiosity Discovery,,0,1,0,,-1
Warranty,STRING,1,Warranty,,0,1,0,,-1
VideoPoster,STRING,2,Video Poster,,0,1,0,,-1
custSegExcl,STRING,1,custSegExcl,,0,1,0,,-1
CSR_SOLDOUT,STRING,1,CSR_SoldOut,,0,0,0,0,-1
itemType,STRING,2,itemType,,0,1,0,0,-1
OneStoreProduct,STRING,1,OneStoreProduct,,0,1,0,0,-1
Bullet10,STRING,2,Bullet List 10,,0,1,0,0,-1
DisableQuickView,STRING,1,DisableQuickView,,0,1,0,0,-1
DisplayComponents,STRING,1,DisplayComponents,,0,1,0,0,-1
ADDITIONAL_LEAD_TIME,INTEGER,2,ADDITIONAL_LEAD_TIME,DAY,0,1,0,0,-1
MEMBERSHIP_CUSTOMER_SEGMENT,STRING,1,MEMBERSHIP_CUSTOMER_SEGMENT,,0,1,0,0,-1
MEMBERSHIP_YEAR,STRING,1,MEMBERSHIP_YEAR,,0,1,0,0,-1
MEMBERSHIP_DURATION,STRING,2,MEMBERSHIP_DURATION,,0,1,0,0,-1
AddToCartEnable,STRING,2,AddToCartEnable,,0,1,0,0,-1
altCanadaSKU,STRING,2,altCanadaSKU,,0,0,0,0,-1
ACCOUNT_PURCHASE_LIMIT,STRING,2,ACCOUNT_PURCHASE_LIMIT,,0,1,0,0,-1
ACCOUNT_PURCHASE_LIMIT_SEGMENT,STRING,2,ACCOUNT_PURCHASE_LIMIT_SEGMENT,,0,1,0,0,-1
ACCOUNT_LIMIT_QTY,INTEGER,2,ACCOUNT_LIMIT_QTY,,0,1,0,0,-1
member exclusive-Ribbon Badge,STRING,1,member exclusive-Ribbon Badge,,0,1,0,0,-1
grs_1,STRING,2,grs_1,,0,1,0,0,-1
grs_2,STRING,2,grs_2,,0,1,0,0,-1
grs_3,STRING,2,grs_3,,0,1,0,0,-1
grs_4,STRING,2,grs_4,,0,1,0,0,-1
grs_5,STRING,2,grs_5,,0,1,0,0,-1
grs_6,STRING,2,grs_6,,0,1,0,0,-1
grs_7,STRING,2,grs_7,,0,1,0,0,-1
Collections,STRING,2,Collection/Series,,0,1,0,0,-1
DollBodySig,STRING,2,DollBodyType (BA Sig),,0,1,0,0,-1
