AttributeDictionaryAttributeAllowedValues
Identifier,ValueIdentifier,ValueUsage,Value,UnitOfMeasure,Image1,Image2,LanguageId
hardware_fasteners_screwsBarrel length,"1/2""",1,"1/2""",C62,,,-1
hardware_fasteners_screwsShoulder diameter,"3/8""",1,"3/8""",C62,,,-1
hardware_fasteners_screwsShoulder diameter,"1/2""",1,"1/2""",C62,,,-1
hardware_fasteners_screwsLength,"1 1/4""",1,"1 1/4""",C62,,,-1
hardware_fasteners_screwsLength,"1 1/2""",1,"1 1/2""",C62,,,-1
hardware_fasteners_screwsLength,"1""",1,"1""",C62,,,-1
hardware_fasteners_screwsLength,"2 1/4""",1,"2 1/4""",C62,,,-1
hardware_fasteners_screwsLength,"2 3/8""",1,"2 3/8""",C62,,,-1
hardware_fasteners_screwsLength,"3""",1,"3""",C62,,,-1
hardware_fasteners_screwsLength,"2""",1,"2""",C62,,,-1
hardware_fasteners_screwsThread length,"7/16""",1,"7/16""",C62,,,-1
hardware_fasteners_screwsThread length,"9/16""",1,"9/16""",C62,,,-1
hardware_fasteners_screwsShoulder length,"1 7/16""",1,"1 7/16""",C62,,,-1
hardware_fasteners_screwsShoulder length,"1 7/8""",1,"1 7/8""",C62,,,-1
hardware_fasteners_screwsMaterial,Stainless steel,1,Stainless steel,C62,,,-1
hardware_fasteners_screwsMaterial,Alloy steel,1,Alloy steel,C62,,,-1
hardware_fasteners_screwsMaterial,Brass,1,Brass,C62,,,-1
hardware_fasteners_screwsHead diameter,"9/16""",1,"9/16""",C62,,,-1
hardware_fasteners_screwsHead diameter,"3/4""",1,"3/4""",C62,,,-1
hardware_fasteners_screwsFinish,Uncoated,1,Uncoated,C62,,,-1
hardware_fasteners_screwsFinish,Zinc,1,Zinc,C62,,,-1
hardware_fasteners_screwsFinish,Black oxide,1,Black oxide,C62,,,-1
hardware_fasteners_screwsFinish,Nickel,1,Nickel,C62,,,-1
hardware_fasteners_screwsFinish,Passivated,1,Passivated,C62,,,-1
hardware_fasteners_screwsSocket depth,"1/8""",1,"1/8""",C62,,,-1
hardware_fasteners_screwsSocket depth,"3/16""",1,"3/16""",C62,,,-1
hardware_fasteners_screwsThread size,"1/4""-20",1,"1/4""-20",C62,,,-1
hardware_fasteners_screwsThread size,"1/4""-28",1,"1/4""-28",C62,,,-1
hardware_fasteners_screwsThread size,"5/16""-18",1,"5/16""-18",C62,,,-1
hardware_fasteners_screwsThread size,"3/8""-16",1,"3/8""-16",C62,,,-1
hardware_fasteners_screwsThread size,"7/16""-14",1,"7/16""-14",C62,,,-1
hardware_fasteners_screwsThread size,"5/16""-24",1,"5/16""-24",C62,,,-1
hardware_fasteners_screwsKnurled,Yes,1,Yes,C62,,,-1
hardware_fasteners_screwsKnurled,No,1,No,C62,,,-1
hardware_fasteners_screwsBarrel length,"7/8""",1,"7/8""",C62,,,-1
hardware_lightingLength,2',1,2',C62,,,-1
hardware_lightingLength,4',1,4',C62,,,-1
hardware_lightingLength,8',1,8',C62,,,-1
hardware_lightingLength,"1 1/2""",1,"1 1/2""",C62,,,-1
hardware_lightingVolts,12,1,12,C62,,,-1
hardware_lightingVolts,24,1,24,C62,,,-1
hardware_lightingVolts,120,1,120,C62,,,-1
hardware_lightingVolts,130,1,130,C62,,,-1
hardware_lightingVolts,240,1,240,C62,,,-1
hardware_lightingWatts,14,1,14,C62,,,-1
hardware_lightingWatts,18,1,18,C62,,,-1
hardware_lightingWatts,20,1,20,C62,,,-1
