CatalogEntry
PartNumber,Type,ParentGroupIdentifier,CurrencyCode,ListPrice,Name,ShortDescription,LongDescription,Thumbnail,FullImage,Buyable,Published,Delete
01110,ItemBean,71,USD,,,,,,,,1,0
01249,ItemBean,71,USD,,,,,,,,1,0
01364,ItemBean,71,USD,,,,,,,,1,0
01429,ItemBean,71,USD,,,,,,,,1,0
01521,ItemBean,71,USD,,,,,,,,1,0
01553,ItemBean,71,USD,,,,,,,,1,0
01600,ItemBean,71,USD,,,,,,,,1,0
01601,ItemBean,71,USD,,,,,,,,1,0
01648,ItemBean,71,USD,,,,,,,,1,0
01650,ItemBean,FP_Products,USD,,,,,,,,1,0
01682,ItemBean,71,USD,,,,,,,,1,0
01694,ItemBean,FP_Products,USD,,,,,,,,1,0
01696,ItemBean,FP_Products,USD,,,,,,,,1,0
01697,ItemBean,FP_Products,USD,,,,,,,,1,0
01702,ItemBean,FP_Products,USD,,,,,,,,1,0
01703,ItemBean,71,USD,,,,,,,,1,0
01753,ItemBean,71,USD,,,,,,,,1,0
01871,ItemBean,71,USD,,,,,,,,1,0
01916,ItemBean,71,USD,,,,,,,,1,0
01917,ItemBean,71,USD,,,,,,,,1,0
02070,ItemBean,FP_Products,USD,,,,,,,,1,0
02256,ItemBean,71,USD,,,,,,,,1,0
02396,ItemBean,71,USD,,,,,,,,1,0
02641,ItemBean,71,USD,,,,,,,,1,0
02696,ItemBean,71,USD,,,,,,,,1,0
02703,ItemBean,71,USD,,,,,,,,1,0
02704,ItemBean,71,USD,,,,,,,,1,0
02995,ItemBean,71,USD,,,,,,,,1,0
02997,ItemBean,71,USD,,,,,,,,1,0
02BUN03,BundleBean,02,USD,,,,,,,,1,0
02BUN04,BundleBean,02,USD,,,,,,,,1,0
02BUN05,BundleBean,02,USD,,,,,,,,1,0
02BUN06,BundleBean,02,USD,,,,,,,,1,0
02BUN08,BundleBean,02,USD,,,,,,,,1,0
02BUN09,BundleBean,02,USD,,,,,,,,1,0
02BUN10,BundleBean,02,USD,,,,,,,,1,0
02BUN11,BundleBean,02,USD,,,,,,,,1,0
02BUN12,BundleBean,02,USD,,,,,,,,1,0
02BUN14,BundleBean,02,USD,,,,,,,,1,0
02BUN15,BundleBean,02,USD,,,,,,,,1,0
02BUN16,BundleBean,02,USD,,,,,,,,1,0
02BUN17,BundleBean,02,USD,,,,,,,,1,0
02BUN18,BundleBean,02,USD,,,,,,,,1,0
02BUN29,BundleBean,02,USD,,,,,,,,1,0
02BUN37,BundleBean,02,USD,,,,,,,,1,0
02BUN38,BundleBean,02,USD,,,,,,,,1,0
02BUN40,BundleBean,02,USD,,,,,,,,1,0
02BUN41,BundleBean,02,USD,,,,,,,,1,0
02BUN42,BundleBean,02,USD,,,,,,,,1,0
