CatalogEntryAssociation
PartNumber,AssociationType,TargetPartNumber,Sequence,Quantity
BHV77,COORD,BDG67,200,1
BHV77,COORD,BHV86,100,1
BHV78,COORD,CCR57,400,1
BHV78,COORD,BDG67,200,1
BHV78,COORD,BHV86,100,1
BHV79,COORD,CCR57,400,1
BHV79,COORD,BDG67,200,1
BHV79,COORD,BHV86,100,1
BHV80,COORD,CCR57,400,1
BHV80,COORD,BDG67,200,1
BHV80,COORD,BHV86,100,1
BHV81,COORD,CCR57,400,1
BHV81,COORD,BDG67,200,1
BHV81,COORD,BHV86,100,1
BHV82,COORD,CCR57,400,1
BHV82,COORD,BDG67,200,1
BHV82,COORD,BHV86,100,1
BHV83,COORD,CCR57,400,1
BHV83,COORD,BDG67,200,1
BHV83,COORD,BHV86,100,1
BHV84,COORD,CCR57,400,1
BHV84,COORD,BDG67,200,1
BHV84,COORD,BHV86,100,1
BHV85,COORD,CCR57,400,1
BHV85,COORD,BDG67,200,1
BHV85,COORD,BHV86,100,1
BHV86,COORD,CCR57,400,1
BHV86,COORD,BDG67,200,1
BHV86,COORD,BHV86,100,1
BHV87,COORD,CCR57,400,1
BHV87,COORD,BDG67,200,1
BHV87,COORD,BHV86,100,1
BHV88,COORD,CCR57,400,1
BHV88,COORD,BDG67,200,1
BHV88,COORD,BHV86,100,1
BHV89,COORD,CCR57,400,1
BHV89,COORD,BDG67,200,1
BHV89,COORD,BHV86,100,1
BHV90,COORD,CCR57,400,1
BHV90,COORD,BDG67,200,1
BHV91,COORD,CCR57,400,1
BHV91,COORD,BDG67,200,1
BHV91,COORD,BHV86,100,1
BHV92,COORD,CCR57,400,1
BHV92,COORD,BDG67,200,1
BHV92,COORD,BHV86,100,1
BHV93,COORD,CCR57,400,1
BHV93,COORD,BDG67,200,1
BHV93,COORD,BHV86,100,1
BHV94,COORD,CCR57,400,1
BHV94,COORD,BDG67,200,1
BHV94,COORD,BHV86,100,1
BJD36,COORD,CCR57,400,1
BJD36,COORD,BDG67,200,1
BJD36,COORD,BHV86,100,1
BJP48,MINI_CART,Y4471,1,1
BJP48,MINI_CART,BJP94,1,1
BJP48,MINI_CART,CBN20,1,1
BJP88,COORD,CCR57,400,1
BJP88,COORD,CCX61,300,1
BJP88,COORD,CCX59,200,1
BJP89,COORD,BDG18,300,1
BJP89,COORD,BDG19,100,1
BJP89,COORD,BJP99,400,1
BJP93,COORD,Y4422,130,1
BJP93,COORD,CCX58,200,1
BJP93,COORD,CCX57,100,1
BJP93,YMAL,CCR57,400,1
BJP94,COORD,Y4474,0,1
BJP94,COORD,Y4412,0,1
BJP94,COORD,BLN06,100,1
BJP94,COORD,BJP99,200,1
BLN06,COORD,Y4412,40,1
BLN06,COORD,Y4471,0,1
BLN06,COORD,BJP99,200,1
BLN06,COORD,BJP94,100,1
BMF69,COORD,CBN20,400,1
BMF69,COORD,BMF71,200,1
BMF69,COORD,CCX59,100,1
BMF71,COORD,CBN20,300,1
BMF71,COORD,BMF69,200,1
BMF71,YMAL,CCR57,400,1
BMF71,COORD,CCX59,100,1
BMF72,COORD,CCX61,1,1
BMF72,COORD,CBN20,4,1
BMF72,COORD,CCX62,2,1
BMF72,YMAL,CCR57,40,1
CBN17,COORD,Y4073,40,1
CBN18,COORD,DFR31,0,1
CBN18,MINI_CART,DFR31,0,1
CBN18,COORD,CJH32,300,1
CBN18,MINI_CART,CCR57,100,1
CBN18,COORD,CCR57,100,1
CCX57,REPLACEMENT,BKJ77,200,1
CCX57,COORD,Y4412,30,1
CCX57,COORD,CBN20,20,1
CCX57,COORD,CCX58,100,1
CCX57,COORD,BJP93,1,1
CCX58,REPLACEMENT,BKJ77,200,1
CCX58,COORD,BMF71,0,1
CCX58,COORD,CCX57,0,1
CCX58,COORD,CBN20,0,1
CCX58,COORD,BJP93,200,1
CCX59,REPLACEMENT,BKJ78,200,1
CCX59,COORD,Y4412,400,1
CCX59,COORD,BMF69,200,1
CCX59,COORD,BMF71,1,1
CCX59,YMAL,CCR57,400,1
CCX61,REPLACEMENT,BKJ79,200,1
CCX61,COORD,CBN20,3,1
CCX61,COORD,BMF72,10,1
CCX61,COORD,Y4412,4,1
CCX61,COORD,CCX62,2,1
CCX61,YMAL,CCR57,400,1
CCX62,REPLACEMENT,BKJ79,200,1
CCX62,COORD,CBN20,0,1
CCX62,COORD,BMF72,100,1
CCX62,YMAL,CCR57,400,1
CCX62,COORD,CCX61,300,1
CCX63,REPLACEMENT,BKJ80,200,1
CCX63,COORD,Y4412,4,1
CCX63,COORD,Y4073,40,1
CCX64,REPLACEMENT,BKJ80,200,1
CCX64,COORD,Y4073,40,1
CJH28,COORD,CJH30,200,1
CJH28,COORD,CCR57,300,1
CJH29,COORD,CJH30,200,1
CJH29,COORD,CCR57,300,1
CJH30,COORD,CJH28,200,1
CJH30,COORD,CCR57,300,1
CJH31,COORD,CJH28,200,1
CJH31,COORD,CCR57,300,1
CJH32,MINI_CART,CCR57,100,1
CJH32,COORD,CCR57,100,1
CJH32,COORD,CBN18,200,1
CKV18,MINI_CART,CKV34,0,1
CKV18,MINI_CART,CKV19,0,1
CKV18,MINI_CART,CKV20,0,1
CKV18,MINI_CART,CKV36,0,1
CKV18,YMAL,CKV19,1,1
CKV18,YMAL,CKV34,1,1
CKV18,YMAL,CKV20,1,1
CKV18,YMAL,CKV36,1,1
CKV18,MINI_CART,Y4471,1,1
CKV18,MINI_CART,BJP94,1,1
CKV18,MINI_CART,CBN20,1,1
CKV18,QUICK,CKV34,100,1
CKV20,MINI_CART,CKV34,0,1
CKV20,MINI_CART,CKV36,0,1
CKV20,MINI_CART,CKV19,0,1
CKV20,YMAL,CKV34,0,1
CKV20,YMAL,CKV19,0,1
CKV20,YMAL,CKV36,0,1
CKV20,COORD,Y4482,500,1
CKV20,COORD,Y4486,150,1
CKV20,COORD,Y4475,100,1
CKV20,MINI_CART,Y4471,1,1
CKV20,MINI_CART,BJP94,1,1
CKV20,MINI_CART,CBN20,1,1
CKV20,COORD,Y4485,200,1
CKV20,COORD,Y5018,400,1
CKV20,COORD,Y5022,300,1
CKV34,COORD,Y4369,100,1
CKV34,COORD,Y4072,200,1
CKV34,COORD,BDG57,100,1
CKV34,COORD,BDG18,300,1
CKV34,COORD,BDG19,300,1
Y3782,COORD,CCX58,400,1
Y3782,COORD,BJP99,300,1
Y3782,COORD,Y4508,200,1
Y4071,COORD,Y4508,200,1
Y4071,COORD,CCX58,400,1
Y4071,COORD,BJP99,300,1
Y4073,COORD,Y4508,200,1
Y4073,COORD,CCX58,400,1
Y4073,COORD,BJP99,300,1
Y4074,COORD,CCX58,400,1
Y4074,COORD,BJP99,300,1
Y4074,COORD,Y4508,200,1
Y4076,COORD,CCX58,400,1
Y4076,COORD,BJP99,300,1
Y4076,COORD,Y4508,200,1
Y4077,COORD,Y4508,200,1
Y4077,COORD,CCX58,400,1
Y4077,COORD,BJP99,300,1
Y4079,COORD,Y4508,200,1
Y4079,COORD,CCX58,400,1
Y4079,COORD,BJP99,300,1
Y4080,COORD,CCX58,400,1
Y4080,COORD,BJP99,300,1
Y4080,COORD,Y4508,200,1
Y4081,COORD,BDG10,1,1
Y4081,COORD,CCX58,400,1
Y4081,COORD,BJP99,300,1
Y4081,COORD,Y4508,200,1
Y4082,COORD,Y4083,1,1
Y4082,COORD,Y4070,4,1
Y4082,COORD,CBN20,2,1
Y4082,COORD,Y4508,200,1
Y4082,COORD,CCX58,400,1
Y4082,COORD,BJP99,300,1
Y4085,MINI_CART,BJP94,1,1
Y4085,MINI_CART,Y4471,1,1
Y4085,MINI_CART,CBN20,1,1
Y4085,QUICK,CBN20,100,1
Y4085,COORD,CCX58,400,1
Y4085,COORD,BJP99,300,1
Y4085,COORD,Y4508,200,1
Y4086,MINI_CART,BJP94,1,1
Y4086,MINI_CART,Y4471,1,1
Y4086,MINI_CART,CBN20,1,1
Y4086,COORD,CCX58,400,1
Y4086,COORD,BJP99,300,1
Y4086,COORD,Y4508,200,1
