CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
DHV62,csr_nla_,0
11005-50275,csr_rparts ,0
11005-50304,csr_rparts ,0
11005-50272,csr_rparts ,0
11005-50308,csr_rparts ,0
DWW15,csr_nla_,0
11012-78823,csr_rparts ,0
11003-32486,csr_rparts ,0
CCKK11,csr_canada_active,1
CCKK12,csr_canada_active,1
CDGT38,csr_nla_canada,0
CDHT96,csr_nla_canada,0
CDNJ89,csr_canada_active,1
DYD88,csr_nla_,0
CDKH82,csr_canada_active,1
CDKH84,csr_canada_active,1
CDKH85,csr_canada_active,1
11011-79901,csr_rparts ,0
11011-79916,csr_rparts ,0
11011-91366,csr_rparts ,0
11011-79918,csr_rparts ,0
11011-79909,csr_rparts ,0
11011-79907,csr_rparts ,0
11011-79904,csr_rparts ,0
11011-79906,csr_rparts ,0
DVM05,eastergifts,140
DVM05,agfairwayplace,1850
DVM05,conversanttmfurniture,5225
DVM05,conversantwwfurniture,5225
DVM05,ggcustfaves,150
DVM05,furnaccesscat,225
DVM05,dolltenneysub,140
DVM05,furnaccessschoolmusic,120
DVM05,furnaccesstenney,180
DVM05,conversantccfurniture,225
DVM05,conversantbffurniture,5225
DVM05,conversantbbfurniture,5225
11012-78793,csr_rparts ,0
DLK02.WHI.XL,csr_nla_backup,0
DLK02.WHI.XL,csr_canada_active,1
DLK02.WHI.XL,csr_nla_,0
CDMW64,csr_canada_active,1
CDMW67,csr_canada_active,1
CDNX70,csr_canada_active,1
DWW28,clothingcat,535
DWW28,clothing18inch,640
DWW28,clothingtm,691
DWW28,clothingbed,300
DWW28,clothingpj,215
DWW28,tmsleep,95
DWW28,clothingmatch,340
DWW28,clothingwinterpj,410
DWW28,conversanttmclothing,615
DWW28,conversantccclothing,3615
DWW28,conversantbbclothing,3615
DWW28,conversantbfclothing,3615
DWW28,conversantwwclothing,3615
CDND49,csr_nla_canada,0
DYP28,conversantbbclothing,3260
DYP28,conversantccclothing,3260
DYP28,clothing18inch,645
DYP28,sportsactivities,168
DYP28,clothingactive,350
DYP28,clothingtm,5130
DYP28,ggunder30,305
DYP28,clothingcat,215
DYP28,conversantbfclothing,3260
DYP28,conversanttmclothing,540
DYP28,conversantwwclothing,3260
CDNG43,csr_canada_active,1
FBC64,SEO Books for Kids,590
FBC64,conversantbfbooks,590
FBC64,bookhistfict,1020
FBC64,bookbf,210
FBC64,bookfelicity,130
FBC64,felicitydollsub,180
FBC64,bookstorecat,590
FBC64,conversantwwbooks,7590
FBC64,conversantccbooks,7590
FBC64,booksummerreading,390
FBC65,conversantccbooks,7560
FBC65,bookhistfict,1030
FBC65,bookbf,195
FBC65,bookfelicity,100
FBC65,felicitydollsub,150
FBC65,conversantbfbooks,560
FBC65,bookstorecat,560
FBC65,SEO Books for Kids,560
FBC65,conversantwwbooks,7560
FFD24,SEO Books for Kids,2100
FFD24,conversantccbooks,9100
FFD24,Valentinegifts,175
FFD24,bookstorecat,2100
FFD24,conversantbfbooks,10100
FFD24,conversantwwbooks,10100
FFD24,bookadviceactivity,190
FFD24,booksummerreading,200
BKG93.TEA.5,csr_nla_,0
CKH98,csr_nla_,0
FBT57,SEO Books for Kids,3500
FBT57,bookstorecat,3500
FBT57,conversantbfbooks,11500
FBT57,conversantwwbooks,11500
FBT57,ggconfidence,150
FBT57,conversantccbooks,9500
FBT57,eastergifts,208
FBT57,bookadviceactivity,400
FHL13,SEO Books for Kids,1100
FHL13,bookadviceactivity,600
FHL13,conversantccbooks,8100
FHL13,conversantbfbooks,9100
FHL13,bookstorecat,1100
FHL13,stem,120
FHL13,conversantwwbooks,8100
F7732,ggcustfaves,290
F7732,furnaccesscat,295
F7732,conversantwwfurniture,5295
F7732,furnaccesssports,465
F7732,tmsports,180
F7732,furnaccesstm,1125
F7732,conversantbbfurniture,5295
F7732,conversantccfurniture,5295
F7732,sportsactivities,155
F7732,conversantbffurniture,5295
F7732,conversanttmfurniture,305
F8301,csr_nla_,0
F8293,csr_nla_,0
CLD38,csr_nla_,0
FMP26,new8up,1015
FMP26,furnaccessforgirls,210
FMP26,furnaccessfashion,250
FMP26,Valentinegifts,140
FMP26,logoshop,90
FMP26,furnaccessgirl8up,220
FMP26,eastergifts,164
FMP26,furnaccesscat,505
FMP26,furnaccessnew,520
FMP26,new,950
FMP26,conversantccfurniture,505
FMP26,ggunder30,420
FMP26,conversantwwfurniture,5505
FMP26,conversanttmfurniture,505
FMP26,conversantbffurniture,5505
FMP26,conversantbbfurniture,5505
FMP27,eastergifts,166
FMP27,new8up,1020
FMP27,furnaccessgirl8up,221
FMP27,conversantbbfurniture,5510
FMP27,gg8up,420
