CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
DRW81,moschino-barbie-dolls,0
DRW81,barbie-signature-gallery,0
DRW81,barbie-signature-dolls,0
DRW81,all-signature-dolls,0
DRW81,all-barbie-dolls,0
DRW81,fashion-dolls,0
DRW81,designer-barbie-dolls,0
DRW81,barbie-dolls,0
DRW81,carlyle-nuera,0
DRW81,gold-label,0
DRW81,dolls-collection,0
DRW81,barbie-promo5,0
MPL003280,barbie-birthday,0
MPL003280,birthday,0
MPL003280,clothing-accessories,0
MPL003321,barbie-birthday,0
MPL003321,birthday,0
MPL003321,clothing-accessories,0
MPL003295,barbie-birthday,0
MPL003295,birthday,0
MPL003295,clothing-accessories,0
MPL003320,barbie-birthday,0
MPL003320,birthday,0
MPL003320,clothing-accessories,0
MPL003330,barbie-birthday,0
MPL003330,birthday,0
MPL003330,clothing-accessories,0
MPL003309,books-magazines,0
MPL003412,books-magazines,0
MPL003303,books-magazines,0
MPL003402,books-magazines,0
MPL003380,books-magazines,0
MPL003405,books-magazines,0
MPL003458,books-magazines,0
MPL003393,books-magazines,0
MPL003395,books-magazines,0
MPL003394,books-magazines,0
MPL003403,books-magazines,0
MPL003305,books-magazines,0
MPL003422,books-magazines,0
MPL003370,books-magazines,0
MPL003368,books-magazines,0
MPL003345,books-magazines,0
MPL003376,books-magazines,0
MPL003363,books-magazines,0
MPL003399,books-magazines,0
MPL003414,books-magazines,0
MPL003373,books-magazines,0
MPL003420,books-magazines,0
MPL003418,csr_ba_nla_,0
MPL003383,books-magazines,0
MPL003389,books-magazines,0
MPL003408,books-magazines,0
MPL003396,books-magazines,0
MPL003409,books-magazines,0
MPL003375,books-magazines,0
MPL003387,books-magazines,0
MPL003390,books-magazines,0
MPL003372,books-magazines,0
MPL003307,books-magazines,0
MPL003400,books-magazines,0
MPL003392,books-magazines,0
MPL003350,books-magazines,0
MPL003388,books-magazines,0
MPL003306,books-magazines,0
MPL003301,books-magazines,0
MPL003304,books-magazines,0
MPL003302,books-magazines,0
MPL003308,books-magazines,0
MPL003298,books-magazines,0
MPL003374,books-magazines,0
MPL003424,books-magazines,0
MPL003358,books-magazines,0
MPL003348,books-magazines,0
MPL003435,books-magazines,0
MPL003300,books-magazines,0
MPL003391,books-magazines,0
MPL003384,books-magazines,0
MPL003377,books-magazines,0
MPL003385,books-magazines,0
MPL003397,books-magazines,0
MPL003381,books-magazines,0
MPL003434,books-magazines,0
MPL003426,books-magazines,0
MPL003326,books-magazines,0
MPL003327,books-magazines,0
MPL003332,books-magazines,0
MPL003351,books-magazines,0
MPL003427,books-magazines,0
MPL003349,books-magazines,0
MPL003406,books-magazines,0
T2356,bill-greening,0
T2356,barbie-basics-collection-0015,0
T2356,barbie-basics-collection,0
T2356,all-signature-gallery,0
T2356,black-label,0
T2359,bill-greening,0
T2359,barbie-basics-collection-0015,0
T2359,barbie-basics-collection,0
T2359,all-signature-gallery,0
T2359,black-label,0
T2150,barbie-fan-club-dolls,0
T2150,pop-culture-barbie-dolls,0
T2150,barbie-club-dolls,0
T2150,all-signature-gallery,0
T2150,black-label,0
R9524,bill-greening,0
R9524,my-favorite-barbie-doll-series,0
R9524,all-signature-gallery,0
R9524,vintage-looks,0
DVP50,barbie-signature-gallery,0
DVP50,barbie-signature-dolls,0
DVP50,all-signature-dolls,0
DVP50,carlyle-nuera,0
DVP50,all-barbie-dolls,0
DVP50,holiday-special-occasion-dolls,0
DVP50,pink-label,0
28372,all-signature-gallery,0
28372,barbie-dolls-of-the-world-princess-collection,0
28372,barbie-dolls-of-the-world,0
28372,2000s-barbie-dolls,0
28372,collector-edition,0
28799,all-signature-gallery,0
28799,signature-fantasy-dolls,0
28799,2000s-barbie-dolls,0
28799,collector-edition,0
52899,all-signature-gallery,0
52899,storybook-favorites,0
52899,signature-childrens-dolls,0
52899,2000s-barbie-dolls,0
52899,collector-edition,0
57577,all-signature-gallery,0
57577,storybook-favorites,0
57577,signature-childrens-dolls,0
57577,2000s-barbie-dolls,0
57577,sharon-zuckerman,0
57577,collector-edition,0
B1319,all-signature-gallery,0
B1319,silkstone-barbie-dolls,0
B1319,barbie-fashion-model-collection-silkstone,0
B1319,limited-edition,0
B1319,2000s-barbie-dolls,0
B3455,signature-fashion-dolls,0
B3455,limited-edition,0
B3455,all-signature-gallery,0
B3455,2000s-barbie-dolls,0
B2509,all-signature-gallery,0
B2509,pop-culture-barbie-dolls,0
B2509,hard-rock-cafe-barbie-dolls,0
B2509,collector-edition,0
B2509,2000s-barbie-dolls,0
B5731,collector-edition,0
B5731,all-signature-gallery,0
B5731,2000s-barbie-dolls,0
B5731,barbie-dolls-of-the-world-princess-collection,0
B3450,barbie-loves-pop-culture,0
B3450,all-signature-gallery,0
B3450,2000s-barbie-dolls,0
B3450,sharon-zuckerman,0
B3450,collector-edition,0
B8946,barbie-special-occasion-dolls,0
B8946,gold-label,0
B8946,designer-brides-barbie-dolls,0
B8946,all-signature-gallery,0
B8946,2000s-barbie-dolls,0
C3825,barbie-zodiac-dolls,0
C3825,barbie-special-occasion-dolls,0
C3825,pink-label,0
C3825,all-signature-gallery,0
C3825,2000s-barbie-dolls,0
C2589,silkstone-barbie-dolls,0
C2589,barbie-fashion-model-collection-silkstone,0
C2589,robert-best,0
C2589,limited-edition,0
C2589,all-signature-gallery,0
C2589,2000s-barbie-dolls,0
C3823,barbie-zodiac-dolls,0
C3823,barbie-special-occasion-dolls,0
C3823,pink-label,0
C3823,all-signature-gallery,0
C3823,2000s-barbie-dolls,0
C6256,barbie-zodiac-dolls,0
C6256,barbie-special-occasion-dolls,0
C6256,pink-label,0
C6256,all-signature-gallery,0
C6256,2000s-barbie-dolls,0
C6260,silkstone-barbie-dolls,0
C6260,barbie-fashion-model-collection-silkstone,0
C6260,robert-best,0
C6260,barbie-fan-club-dolls,0
C6260,barbie-club-dolls,0
C6260,gold-label,0
C6260,all-signature-gallery,0
C6260,2000s-barbie-dolls,0
C6248,barbie-zodiac-dolls,0
C6248,barbie-special-occasion-dolls,0
C6248,pink-label,0
C6248,all-signature-gallery,0
C6248,2000s-barbie-dolls,0
G7917,all-signature-gallery,0
G7917,vintage-reproductions,0
G7917,vintage-looks,0
G7917,2000s-barbie-dolls,0
G7216,silkstone-barbie-dolls,0
G7216,barbie-fashion-model-collection-silkstone,0
G7216,all-signature-gallery,0
G7216,2000s-barbie-dolls,0
G7216,robert-best,0
G7216,limited-edition,0
G8081,barbie-model-of-moment,0
G8081,signature-fashion-dolls,0
G8081,robert-best,0
G8081,gold-label,0
G8081,all-signature-gallery,0
G8081,2000s-barbie-dolls,0
G8057,barbie-loves-lucy,0
G8057,barbie-hollywood-dolls,0
G8057,all-signature-gallery,0
G8057,2000s-barbie-dolls,0
H1192,barbie-hollywood-dolls,0
H1192,all-signature-gallery,0
H1192,2000s-barbie-dolls,0
H7548,barbie-special-occasion-dolls,0
H7548,silver-label,0
H7548,davids-bridal-barbie-dolls,0
H7548,all-signature-gallery,0
H7548,2000s-barbie-dolls,0
H8153,barbie-special-occasion-dolls,0
H8153,silver-label,0
H8153,davids-bridal-barbie-dolls,0
H8153,all-signature-gallery,0
H8153,2000s-barbie-dolls,0
J0956,silkstone-barbie-dolls,0
J0956,barbie-fashion-model-collection-silkstone,0
J0956,robert-best,0
J0956,gold-label,0
J0956,all-signature-gallery,0
J0956,2000s-barbie-dolls,0
K5870,silkstone-barbie-dolls,0
K5870,barbie-fashion-model-collection-silkstone,0
K5870,robert-best,0
K5870,barbie-fan-club-dolls,0
K5870,barbie-club-dolls,0
K5870,platinum-label,0
K5870,all-signature-gallery,0
K5870,2000s-barbie-dolls,0
K7946,pop-culture-barbie-dolls,0
K7946,hard-rock-cafe-barbie-dolls,0
K7946,all-signature-gallery,0
K7946,2000s-barbie-dolls,0
K7958,barbie-special-occasion-dolls,0
