CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
BGW23,clearance-toys-gear,0
CJG95,toy-cars-trucks-buses,0
CJG95,toys-for-5-year-olds,0
CJG95,toys-for-3-year-olds,0
CJG95,bob-the-builder-toys,0
CJG95,toy-cars-trains-train-sets,0
CJG95,toys-for-4-year-olds,0
CJG95,fisherprice-promo5,0
CJG96,csr_fp_nla_,0
DWR11,clearance-toys-gear,0
DXN56,csr_fp_nla_,0
DXN77,clearance-toys-gear,0
FFN85,clearance-toys-gear,0
FFN84,clearance-toys-gear,0
DPH75,fisherprice-promo5,0
DPH75,toy-cars-trucks-buses,0
DPH75,toy-cars-trains-train-sets,0
DPH75,mega-bloks-preschool,0
DPH75,building-toys,0
DPH75,blaze-monster-machine-toys,0
FFN86,clearance-toys-gear,0
K9875,csr_fp_nla_,0
DPH74,csr_fp_nla_,0
DPW08,everything-baby,0
DPW08,baby-gear,0
DPW08,new-parents-must-haves,0
DPW08,baby-bouncers-floor-seats,0
DPW08,for-baby,0
DPW08,toys-for-5-year-olds,0
DPW08,toys-for-4-year-olds,0
DPW08,toys-for-3-year-olds,0
DPW08,baby-bouncers-rockers,0
DGF72,clearance-toys-gear,0
CHN35,csr_fp_nla_,0
FDP04,fisherprice-promo4-PRR,0
FDP04,baby-sleepers,0
FDP04,for-baby,0
FDP04,baby-bouncers-rockers,0
FDP04,baby-swings-rockers,0
FDP04,baby-gear,0
FDP04,baby-bouncers-floor-seats,0
FDP04,everything-baby,0
DXH57,building-toys,0
DXH57,mega-bloks-preschool,0
DXH57,thomas-friends,0
DXH57,thomas-friends-mega-bloks,0
DXH57,toys-for-4-year-olds,0
DXH57,toys-for-3-year-olds,0
DXH57,toys-for-2-year-olds,0
DXH57,toys-for-1-year-olds,0
DXH57,toys-12-18-months,0
DXH56,building-toys,0
DXH56,mega-bloks-preschool,0
DXH56,thomas-friends,0
DXH56,toys-for-4-year-olds,0
DXH56,toys-for-3-year-olds,0
DXH56,toys-for-2-year-olds,0
DXH56,toys-for-1-year-olds,0
DXH56,toys-12-18-months,0
DXH56,thomas-friends-mega-bloks,0
DXH56,fan-favorites,0
DRG34,csr_fp_nla_,0
DXH35,toys-for-4-year-olds,0
DXH35,toys-for-3-year-olds,0
DXH35,toys-for-2-year-olds,0
DXH35,toys-for-1-year-olds,0
DXH35,toys-12-18-months,0
FBC09,csr_fp_nla_,0
BKB47,clearance-toys-gear,0
F4765,csr_fp_nla_,0
BKB40,playsets-action-figures,0
BKB40,playsets,0
BKB40,little-people,0
BKB40,little-people-holiday-seasonal,0
BKB40,csr_fp_nla_,0
BKB40,toys-for-4-year-olds,0
BKB40,toys-for-3-year-olds,0
