CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
DLB45F,csr_nla_hwc,0
85527,racing-gallery,0
85527,hwc-gallery,0
85527,hwc-rlc-vehicles-gallery,0
85518,real-vehicles-gallery,0
85518,hwc-gallery,0
85518,hwc-rlc-vehicles-gallery,0
B9883,real-vehicles-gallery,0
B9883,hwc-gallery,0
B9883,hwc-rlc-vehicles-gallery,0
C0700,hwc-rlc-vehicles-gallery,0
C0700,hwc-gallery,0
C1549,trucks-vans-wagons-gallery,0
C1549,hwc-gallery,0
C1549,hwc-rlc-vehicles-gallery,0
C4703,real-vehicles-gallery,0
C4703,hwc-gallery,0
C4703,hwc-rlc-vehicles-gallery,0
C6039,trucks-vans-wagons-gallery,0
C6039,hwc-gallery,0
C6039,hwc-rlc-vehicles-gallery,0
G5551,real-vehicles-gallery,0
G5551,hwc-gallery,0
G5551,hwc-rlc-vehicles-gallery,0
G7192,hwc-rlc-vehicles-gallery,0
G7192,hwc-gallery,0
G6081,trucks-vans-wagons-gallery,0
G6081,hwc-gallery,0
G6081,hwc-rlc-vehicles-gallery,0
G7194,hwc-rlc-vehicles-gallery,0
G7194,hwc-gallery,0
G7200,racing-gallery,0
G7200,hwc-gallery,0
G7200,hwc-rlc-vehicles-gallery,0
H1525,racing-gallery,0
H1525,hwc-gallery,0
H1525,hwc-rlc-vehicles-gallery,0
H2935,real-vehicles-gallery,0
H2935,hwc-gallery,0
H2935,hwc-rlc-vehicles-gallery,0
J4230,trucks-vans-wagons-gallery,0
J4230,hwc-gallery,0
J4230,hwc-rlc-vehicles-gallery,0
J4228,hwc-rlc-vehicles-gallery,0
J4228,hwc-gallery,0
K3817,real-vehicles-gallery,0
K3817,hwc-gallery,0
K3817,hwc-rlc-vehicles-gallery,0
K3824,hwc-rlc-vehicles-gallery,0
K3824,hwc-gallery,0
L2099,hwc-rlc-vehicles-gallery,0
L2099,hwc-gallery,0
L2112,hwc-rlc-vehicles-gallery,0
L2112,hwc-gallery,0
L2101,hwc-rlc-vehicles-gallery,0
L2101,hwc-gallery,0
L7866,hwc-rlc-vehicles-gallery,0
L7866,hwc-gallery,0
L7874,real-vehicles-gallery,0
L7874,hwc-gallery,0
L7874,hwc-rlc-vehicles-gallery,0
L8684,release-series-gallery,0
L8684,collector-series-seven,0
L8684,hwc-gallery,0
BLR47,pop-culture-gallery,0
BLR47,hwc-gallery,0
BLR47,hwc-rlc-vehicles-gallery,0
R8394,trucks-vans-wagons-gallery,0
R8394,hwc-gallery,0
R8394,hwc-rlc-vehicles-gallery,0
R8393,hwc-gallery,0
R8402,release-series-gallery,0
R8402,collector-series-nine,0
R8402,hwc-gallery,0
R8403,release-series-gallery,0
R8403,collector-series-nine,0
R8403,hwc-gallery,0
