CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
BGH23,ages-3-5,0
BHR21,hot-wheels-sale,0
BHR21,themes,0
BHR21,shop-all-categories,0
BHR21,feature-vehicles,0
BHR21,color-shifters-cars,0
BHR21,ages-5-7,0
BHR21,ages-3-5,0
BHR21,cars-vehicles,0
BHR21,cars-tracks,0
BHR21,cars-themes,0
CCR63,ages-3-5,0
CDL85,csr_hw_nla_,0
CDL86,csr_hw_nla_,0
CFY44,ages-3-5,0
CFY47,ages-3-5,0
CFY54,ages-3-5,0
CFY56,ages-3-5,0
CGW61,star-wars-starships,0
CGW61,ages-3-5,0
CGW70,star-wars-starships,0
CGW70,ages-3-5,0
CKJ65,star-wars-starships,0
CKJ65,ages-3-5,0
CKJ68,star-wars-starships,0
CKJ68,ages-3-5,0
CKJ69,star-wars-starships,0
CKJ69,ages-3-5,0
CKJ70,star-wars-starships,0
CKJ70,ages-3-5,0
CKJ72,csr_hw_nla_,0
CMP58,hot-wheels-sale,0
CMP58,sale,0
CMP58,track-sets-packs,0
CMP58,themes,0
CMP58,star-wars-starships,0
CMP58,star-wars,0
CMP58,new-star-wars-toys,0
CMP58,new-arrivals,0
CMP58,ages-3-5,0
CMP58,star-wars-cars,59
CNB53,ages-3-5,0
DGC96,hotwheels-promo5,0
DGC96,sale,0
DGC96,track-sets-all,0
DGC96,hotwheels-promo1,0
DGC96,feature-vehicle-sets,0
DGC96,fusion-factory-cars,0
DGC96,fusion-factory,10
DGC96,ages-5-7,0
DGD00,sale,0
DGD00,refill-packs,0
DGD00,fusion-factory,20
DGD00,ages-5-7,0
DGD00,fusion-factory-cars,0
DGD01,sale,0
DGD01,refill-packs,0
DGD01,fusion-factory,30
DGD01,ages-5-7,0
DGD01,fusion-factory-cars,0
DGD02,sale,0
DGD02,refill-packs,0
DGD02,fusion-factory,40
DGD02,ages-5-7,0
DGD02,fusion-factory-cars,0
DGL37,ages-3-5,0
DHH82,csr_hw_nla_,0
DJC18,hotwheels-promo5,0
DJC18,track-sets-all,0
DJC18,splash-rides-cars,0
DJC18,ages-3-5,0
DJC18,feature-vehicle-sets,0
DJC25,csr_hw_nla_,0
DJC26,csr_hw_nla_,0
DJC27,ages-3-5,0
DJC28,ages-3-5,0
DJC51,hotwheels-promo5,0
DJC51,splash-rides-cars,0
DJC51,ages-3-5,0
DJC52,splash-rides-cars,0
DJC52,ages-3-5,0
DJC53,splash-rides-cars,0
DJC53,ages-3-5,0
DJC54,splash-rides-cars,0
DJC54,ages-3-5,0
DJC69,csr_hw_nla_,0
DJD72,csr_hw_nla_,0
DJD73,csr_hw_nla_,0
DJD99,sale,0
DJD99,track-sets-all,0
DJD99,ages-3-5,0
DJL56,ages-3-5,0
DJL57,ages-3-5,0
DJL58,ages-3-5,0
DJL59,ages-3-5,0
DJL68,csr_hw_nla_,0
DJM05,ages-3-5,0
DJW82,ages-3-5,0
DJW83,csr_hw_nla_,0
DJX60,ages-3-5,0
DKF90,ages-3-5,0
DKF91,ages-3-5,0
DKF92,ages-3-5,0
DKF93,ages-3-5,0
DKF95,ages-3-5,0
DKM38,ages-3-5,0
DKM39,ages-3-5,0
DKM41,ages-3-5,0
DKR44,sale,0
DKR44,track-sets-all,0
DKR44,ages-3-5,0
DMB61,splash-rides-cars,0
DMB61,ages-3-5,0
DMB62,splash-rides-cars,0
DMB62,ages-3-5,0
DMH74,ages-3-5,0
DMH75,ages-3-5,0
DMH76,ages-3-5,0
DMH77,ages-3-5,0
DMH78,ages-3-5,0
DMH79,ages-3-5,0
DMK69,ages-3-5,0
DMK72,ages-3-5,0
DMP60,ages-3-5,0
DMP62,star-wars-starships,0
DMP62,ages-3-5,0
