CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
BHR21,csr_sm_nla_,0
CDK81,csr_sm_nla_,0
CDL85,shop-all-clearance,0
CDL86,shop-all-clearance,0
CGW61,toys-for-collectors,0
CGW61,collectible-toys,0
CGW61,collectible-toy-vehicles,0
CGW61,hot-wheels-collectibles,0
CGW61,star-wars-toys,0
CGW70,toys-for-collectors,0
CGW70,collectible-toys,0
CGW70,collectible-toy-vehicles,0
CGW70,hot-wheels-collectibles,0
CGW70,hot-wheels,0
CGW70,hot-wheels-cars-vehicles,0
CGW70,star-wars-hot-wheels,0
CGW70,star-wars-toys,0
CKJ65,toys-for-collectors,0
CKJ65,collectible-toys,0
CKJ65,collectible-toy-vehicles,0
CKJ65,hot-wheels-collectibles,0
CKJ65,hot-wheels,0
CKJ65,hot-wheels-cars-vehicles,0
CKJ65,star-wars-hot-wheels,0
CKJ65,star-wars-toys,0
CKJ68,toys-for-collectors,0
CKJ68,collectible-toys,0
CKJ68,collectible-toy-vehicles,0
CKJ68,hot-wheels-collectibles,0
CKJ68,hot-wheels,0
CKJ68,hot-wheels-cars-vehicles,0
CKJ68,star-wars-hot-wheels,0
CKJ68,star-wars-toys,0
CKJ69,toys-for-collectors,0
CKJ69,collectible-toys,0
CKJ69,collectible-toy-vehicles,0
CKJ69,hot-wheels-collectibles,0
CKJ69,hot-wheels,0
CKJ69,hot-wheels-cars-vehicles,0
CKJ69,star-wars-hot-wheels,0
CKJ69,star-wars-toys,0
CKJ70,toys-for-collectors,0
CKJ70,collectible-toys,0
CKJ70,collectible-toy-vehicles,0
CKJ70,hot-wheels-collectibles,0
CKJ70,hot-wheels,0
CKJ70,hot-wheels-cars-vehicles,0
CKJ70,star-wars-hot-wheels,0
CKJ70,star-wars-toys,0
CMP58,mattelshop-promo2,0
CMP58,csr_sm_nla_,0
CMP58,star-wars-hot-wheels,0
CMP58,hot-wheels-single-cars,0
CMP58,hot-wheels-cars-vehicles,0
CMP58,hot-wheels,0
CMP58,all-brands,0
CMP58,holiday-savings,0
CNB53,toys-for-collectors,0
CNB53,collectible-toys,0
CNB53,collectible-toy-vehicles,0
CNB53,hot-wheels-collectibles,0
CNB53,hot-wheels,0
CNB53,hot-wheels-cars-vehicles,0
CNB53,star-wars-hot-wheels,0
CNB53,star-wars-toys,0
DGC96,shop-all-clearance,0
DGD00,shop-all-clearance,0
DGD01,shop-all-clearance,0
DGD02,shop-all-clearance,0
DHH82,shop-all-clearance,0
DJC18,csr_sm_nla_,0
DJC26,csr_sm_nla_,0
DJC51,mattelshop-promo6,0
DJD72,shop-all-clearance,0
DJL56,toys-for-collectors,0
DJL56,collectible-toys,0
DJL56,collectible-toy-vehicles,0
DJL56,hot-wheels-collectibles,0
DJL56,star-wars-toys,0
DJL56,vehicles-remote-control-cars,0
DJL56,star-wars-hot-wheels,0
DJL56,hot-wheels-single-cars,0
DJL56,hot-wheels-cars-vehicles,0
DJL56,hot-wheels,0
DJL57,toys-for-collectors,0
DJL57,collectible-toys,0
DJL57,collectible-toy-vehicles,0
DJL57,hot-wheels-collectibles,0
DJL57,star-wars-toys,0
DJL57,vehicles-remote-control-cars,0
DJL57,star-wars-hot-wheels,0
DJL57,hot-wheels-single-cars,0
DJL57,hot-wheels-cars-vehicles,0
DJL57,hot-wheels,0
DJL58,toys-for-collectors,0
DJL58,collectible-toys,0
DJL58,collectible-toy-vehicles,0
DJL58,hot-wheels-collectibles,0
DJL58,star-wars-toys,0
DJL58,vehicles-remote-control-cars,0
DJL58,star-wars-hot-wheels,0
DJL58,hot-wheels-single-cars,0
