CatalogEntryParentProductRelationship
PartNumber,ParentPartNumber,Sequence
DKL83-OC,DKL83,0
FMD27.PRI.S,FMD27,0
FMD27.PRI.M,FMD27,0
FMD27.PRI.L,FMD27,0
FMD28.PUR.XS,FMD28,0
FMD28.PUR.S,FMD28,0
FMD28.PUR.M,FMD28,0
FMD28.PUR.L,FMD28,0
FMD27.PRI.XS,FMD27,0
FMD28.PUR.XL,FMD28,0
FMD29.PUR.XL,FMD29,0
FMD29.PUR.M,FMD29,0
FMD29.PUR.S,FMD29,0
FMD29.PUR.L,FMD29,0
FNX46.PUR.L,FNX46,0
FNX46.PUR.M,FNX46,0
FNX46.PUR.S,FNX46,0
FNX46.PUR.XL,FNX46,0
FNX46.PUR.XS,FNX46,0
FLW44.COR.XS,FLW44,0
FLW44.COR.M,FLW44,0
FLW44.COR.L,FLW44,0
FLW44.COR.S,FLW44,0
FLW72.STR.XS,FLW72,0
FLW72.STR.S,FLW72,0
FLW72.STR.M,FLW72,0
FLW62.AQU.XS,FLW62,0
FLW62.AQU.S,FLW62,0
FLW62.AQU.L,FLW62,0
FLY25.COR.8,FLY25,0
FLY25.COR.7,FLY25,0
FLW62.AQU.M,FLW62,0
FLY25.COR.14,FLY25,0
FLY25.COR.12,FLY25,0
FLY25.COR.10,FLY25,0
FLW76.AQU.8,FLW76,0
FLW76.AQU.7,FLW76,0
FLW76.AQU.6,FLW76,0
FLW76.AQU.16,FLW76,0
FLW76.AQU.14,FLW76,0
FLW76.AQU.12,FLW76,0
FLW76.AQU.10,FLW76,0
FLW69.PRI.L,FLW69,0
FLW69.PRI.S,FLW69,0
FLW69.PRI.M,FLW69,0
FLW69.PRI.XS,FLW69,0
FLW72.STR.L,FLW72,0
FLY25.COR.6,FLY25,0
FLY25.COR.16,FLY25,0
FMN37.WHI.9-11,FMN37,0
FMN38.WHI.L,FMN38,0
FMN38.WHI.M,FMN38,0
FMN37.WHI.1/2,FMN37,0
FMN38.WHI.S,FMN38,0
FMN38.WHI.XL,FMN38,0
FMN37.WHI.12/13,FMN37,0
DWL25.TUR.S,DWL25,0
DWL25.TUR.L,DWL25,0
DWL25.TUR.M,DWL25,0
DWL25.TUR.XL,DWL25,0
DYL72.BUR.M/L,DYL72,0
DYL72.BUR.XS/S,DYL72,0
DXP91.ORC.L,DXP91,0
DXP91.ORC.M,DXP91,0
DXP91.ORC.S,DXP91,0
DXP91.ORC.XL,DXP91,0
DNJ88.PRI.9-11,DNJ88,0
FGJ65.CRM.10,FGJ65,0
FGJ65.CRM.6,FGJ65,0
FGJ65.CRM.14,FGJ65,0
FGJ65.CRM.16,FGJ65,0
FGJ65.CRM.7,FGJ65,0
FGJ65.CRM.8,FGJ65,0
CLF60,DKH67,0
CLF61,DKH67,0
CLF62,DKH67,0
CLF63,DKH67,0
CLF64,DKH67,0
CLF65,DKH72,0
CLF66,DKH72,0
CLF67,DKH72,0
CLF68,DKH72,0
CLF69,DKH72,0
DNH57.PRI.3,DNH57,0
DNH57.PRI.4,DNH57,0
DNH58.YEL.3,DNH58,0
DNH58.YEL.4,DNH58,0
DNH58.YEL.5,DNH58,0
DNH58.YEL.6,DNH58,0
DRH70.WHI.XS,DRH70,0
DRH70.WHI.L,DRH70,0
DRH70.WHI.M,DRH70,0
DRH70.WHI.S,DRH70,0
CKT18CB.BLU.S,CKT18,0
CKT18CB.BLU.L,CKT18,0
CKJ02B.PUR.8,CCKJ02,0
CHG96A.PLA.12,CHG96,0
G0437.WHI.L/XL,G0437,0
G0490.YEL.S,G0490,0
F6627.STR.XS,F6627,0
FDY27.BLU.XS,FDY27,0
FDY27.BLU.M,FDY27,0
FDY27.BLU.S,FDY27,0
FDY27.BLU.L,FDY27,0
FDY28.PRI.XS,FDY28,0
FDY28.PRI.S,FDY28,0
FDY28.PRI.M,FDY28,0
FDY28.PRI.L,FDY28,0
FDY30.PRI.6,FDY30,0
FDY30.PRI.12,FDY30,0
FDY30.PRI.14,FDY30,0
FDY30.PRI.10,FDY30,0
FDY30.PRI.7,FDY30,0
FDY30.PRI.8,FDY30,0
FDY31.CRE.L,FDY31,0
FDY31.CRE.S,FDY31,0
FDY31.CRE.XS,FDY31,0
FDY30.PRI.16,FDY30,0
FDY31.CRE.M,FDY31,0
FDY32.PRI.XS,FDY32,0
FDY32.PRI.S,FDY32,0
FDY32.PRI.L,FDY32,0
FDY32.PRI.M,FDY32,0
FDY29.TUR.XS,FDY29,0
FDY29.TUR.M,FDY29,0
FDY29.TUR.L,FDY29,0
FDY29.TUR.S,FDY29,0
CGP55.CRE.6,CGP55,0
CGP55.CRE.6X,CGP55,0
BKH40.PLA.12,BKH40,0
BKH40.PLA.7,BKH40,0
BKH40.PLA.10,BKH40,0
BKH40.PLA.14,BKH40,0
BKH40.PLA.16,BKH40,0
BKH40.PLA.8,BKH40,0
BKG63A.MUL.M/L,BKG63,0
BKG63A.MUL.XS/S,BKG63,0
DXF26.BLU.L,DXF26,0
DXF26.BLU.M,DXF26,0
DXF26.BLU.S,DXF26,0
FDH30.TUR.L,FDH30,0
FDH30.TUR.XS,FDH30,0
FDH30.TUR.M,FDH30,0
FDH30.TUR.S,FDH30,0
DNX55.BLA.L,DNX55,0
DNX55.BLA.XL,DNX55,0
F7297.CRE.XL,F7297,0
DGX02A.PRI.XL,DGX02,0
BKG48A.PIN.10,BKG48,0
BKG48A.PIN.16,BKG48,0
DRK75.RED.L,DRK75,0
DRK75.RED.M,DRK75,0
DRK75.RED.XL,DRK75,0
BKG55A.TEA.10,BKG55,0
BKG55A.TEA.16,BKG55,0
BKG55A.TEA.6,BKG55,0
BKG55A.TEA.8,BKG55,0
CMN75C.BLA.12,CMN75,0
CMN73B.AQU.M,CMN73,0
CMN73B.AQU.S,CMN73,0
F8793.BER.XL,F8793,0
F7038.BER.XS,F7038,0
F7038.BER.M,F7038,0
F8711.BER.XS,F8711,0
F8725.BER.XS,F8725,0
F8775.BER.M,F8775,0
F8725.BER.XL,F8725,0
F8775.BER.XS,F8775,0
F8711.BER.S,F8711,0
F8775.BER.S,F8775,0
F0989.LIL.XS,F0989,0
F0989.LIL.L,F0989,0
F0989.LIL.M,F0989,0
DGN66.BER.M,DGN66,0
DGN66.BER.S,DGN66,0
DGN66.BER.XL,DGN66,0
DGN66.BER.XS,DGN66,0
CGP55.CRE.4,CGP55,0
CGP55.CRE.5,CGP55,0
CKR56.PUR.L,CKR56,0
CKJ02A.PUR.16,CKJ02,0
DGY80.MUL.S/M,DGY80,0
DGY80.MUL.L/XL,DGY80,0
CKJ05.IND.XS,CKJ05,0
CKJ05.IND.S,CKJ05,0
FGK48.RED.6,FGK48,0
FGK48.RED.4,FGK48,0
FGK48.RED.5,FGK48,0
FGK48.RED.3,FGK48,0
FGK47.PUR.6,FGK47,0
FGK47.PUR.5,FGK47,0
FGK47.PUR.4,FGK47,0
FGK47.PUR.3,FGK47,0
G0644.PIN.S,G0644,0
G0644.PIN.L,G0644,0
CMV18.RED.M,CMV18,0
CMV18.RED.XL,CMV18,0
G0644.PIN.XL,G0644,0
DNX51.BLU.12,DNX51,0
DNX51.BLU.14,DNX51,0
DNX50.PLA.16,DNX50,0
CHD53A.PRI.7,CHD53,0
CMV17.RED.XL,CMV17,0
CMV17.RED.XS,CMV17,0
CHD53A.PRI.6,CHD53,0
CMV19.RED.14,CMV19,0
CMV20.GOL.14,CMV20,0
CMV20.GOL.10,CMV20,0
CMV21.BLA.14,CMV21,0
CMV21.BLA.16,CMV21,0
CMV21.BLA.12,CMV21,0
DNX48.WHI.XS,DNX48,0
DNX48.WHI.M,DNX48,0
DNX48.WHI.L,DNX48,0
F5227.RED.L,F5227,0
F5227.RED.S,F5227,0
F5227.RED.XS,F5227,0
F5229.PRI.12,F5229,0
G0616.STR.10,G0616,0
G0616.STR.14,G0616,0
G0616.STR.8,G0616,0
G0616.STR.16,G0616,0
G0642A.TUR.L,G0642,0
G0642A.TUR.S,G0642,0
BKK09.BER.XS,BKK09,0
BKK09.BER.L,BKK09,0
CCHC97.PUR.L,CHC97,0
CCHC97.PUR.S,CHC97,0
CCHC97.PUR.M,CHC97,0
CCHC97.PUR.XS,CHC97,0
DGN66.BER.L,DGN66,0
DGN64.BER.S,DGN64,0
DGN64.BER.XL,DGN64,0
F8775.BER.XL,F8775,0
F9270.PIN.3,F9270,0
F9270.PIN.6,F9270,0
F9270.PIN.4,F9270,0
F9270.PIN.5,F9270,0
F9270.PIN.6X,F9270,0
F9270.PIN.7,F9270,0
F2314.GRE.5,F2314,0
V5955.PRI.L,V5955,0
V5955.PRI.S,V5955,0
V5955.PRI.XL,V5955,0
V5961.PIN.XL,V5961,0
V5961.PIN.L,V5961,0
V5961.PIN.M,V5961,0
V5961.PIN.S,V5961,0
F2744.PIN.L,F2744,0
F2744.PIN.XL,F2744,0
F8812.BER.S,F8812,0
F8812.BER.XS,F8812,0
V5982.GRA.4,V5982,0
V5982.GRA.6,V5982,0
V5982.GRA.6X,V5982,0
V5982.GRA.7,V5982,0
F9380.MIN.10,F9380,0
F9380.MIN.12,F9380,0
F9380.MIN.14,F9380,0
F9380.MIN.16,F9380,0
F9380.MIN.6,F9380,0
F9380.MIN.7,F9380,0
F9380.MIN.8,F9380,0
DLB46.BER.S,DLB46,0
DLB46.BER.XL,DLB46,0
DKH98.PIN.M,DKH98,0
DKH98.PIN.XS,DKH98,0
F6627.STR.M,F6627,0
BKH21.PIN.XS,BKH21,0
F1382.IVO.S,F1382,0
BKK12.BER.XS,BKK12,0
BKK12.BER.M,BKK12,0
F8120.PRI.14,F8120,0
G0613.CHA.6,G0613,0
BKH21.PIN.L,BKH21,0
DKG62.GRE.M,DKG62,0
DRT24.PLA.6,DRT24,0
CGP55.CRE.7,CGP55,0
DNX46.TEA.L,DNX46,0
DNX49.IND.6,DNX49,0
G0613.CHA.12,G0613,0
DGX01.PRI.12,DGX01,0
DGX01.PRI.16,DGX01,0
DGX01.PRI.10,DGX01,0
DGX01.PRI.14,DGX01,0
DGX01.PRI.7,DGX01,0
DGX02.PRI.M,DGX02,0
DGX01.PRI.8,DGX01,0
DGX02.PRI.L,DGX02,0
DGX02.PRI.S,DGX02,0
DLK01A.WHI.10,DLK01,0
DGX02.PRI.XS,DGX02,0
DLK01A.WHI.12,DLK01,0
DLK01A.WHI.14,DLK01,0
DLK01A.WHI.16,DLK01,0
DLK01A.WHI.8,DLK01,0
DLK02.WHI.L,DLK02,0
DLK02.WHI.M,DLK02,0
DLK02.WHI.S,DLK02,0
DLK01A.WHI.6,DLK01,0
DLK01A.WHI.7,DLK01,0
DLK02.WHI.XS,DLK02,0
G0903.CRE.M,G0903,0
G0879.PRI.3,G0879,0
G0879.PRI.4,G0879,0
G0879.PRI.5,G0879,0
G0879.PRI.6X,G0879,0
G0881.BER.S,G0881,0
G0881.BER.XL,G0881,0
CKJ01.MAG.S,CKJ01,0
DRH73.MAG.8,DRH73,0
BKG61A.TAN.6,BKG61,0
G0493.PRI.7,G0493,0
DNX50.PLA.8,DNX50,0
DNX51.BLU.10,DNX51,0
CLF89A.BLU.XS,CLF89,0
CLF87A.BLU.6,CLF87,0
BKK12.BER.S,BKK12,0
CGP61.WHI.5,CGP61,0
G0435.BER.3,G0435,0
G0493.PRI.16,G0493,0
DTM88.PIN.8/9,DTM88,0
DTM88.PIN.10/11,DTM88,0
DTM88.PIN.1/2,DTM88,0
DTM88.PIN.12/13,DTM88,0
DNX49.IND.16,DNX49,0
F9703.WHI.M,F9703,0
CKJ02B.PUR.7,CCKJ02,0
DRH73.MAG.12,DRH73,0
DRH73.MAG.10,DRH73,0
DRH73.MAG.16,DRH73,0
DNJ87A.PRI.7,DNJ87,0
DNJ87A.PRI.5,DNJ87,0
BKG64A.BLU.10,BKG64,0
BKG64A.BLU.14,BKG64,0
BKG64A.BLU.12,BKG64,0
BKG64A.BLU.16,BKG64,0
BKG64A.BLU.6,BKG64,0
BKG64A.BLU.7,BKG64,0
BKG64A.BLU.8,BKG64,0
BKG43A.WHI.M,BKG43,0
BKG43A.WHI.XS,BKG43,0
BKG44A.DEN.10,BKG44,0
BKG44A.DEN.14,BKG44,0
BKG44A.DEN.12,BKG44,0
BKG44A.DEN.16,BKG44,0
BKG45A.PRI.M,BKG45,0
BKG44A.DEN.6,BKG44,0
BKG45A.PRI.S,BKG45,0
BKG44A.DEN.7,BKG44,0
BKG44A.DEN.8,BKG44,0
BKG45A.PRI.XS,BKG45,0
DKB21.WHI.M,DKB21,0
DKB21.WHI.S,DKB21,0
BKG43A.WHI.S,BKG43,0
BKG57A.PUR.14,BKG57,0
BKG57A.PUR.6,BKG57,0
BKG57A.PUR.7,BKG57,0
BKG57A.PUR.10,BKG57,0
BKG57A.PUR.12,BKG57,0
BKG57A.PUR.16,BKG57,0
BKG57A.PUR.8,BKG57,0
CGL91.PIN.L,SIZESKU6,0
CGL91.PIN.XL,SIZESKU6,0
CGL91.PIN.XS,SIZESKU6,0
DKG61.PRI.3,DKG61,0
DKG63.PIN.3,DKG63,0
DKG64.DOT.3,DKG64,0
DKG65.WHI.S/M,DKG65,0
DKG63.PIN.6X,DKG63,0
DKG63.PIN.6,DKG63,0
DKG62.GRE.L,DKG62,0
DKG64.DOT.4,DKG64,0
DKG64.DOT.5,DKG64,0
DKG64.DOT.6X,DKG64,0
DKG65.WHI.L/XL,DKG65,0
DKG64.DOT.7,DKG64,0
DRT24.PLA.4,DRT24,0
DRT24.PLA.3,DRT24,0
DRT24.PLA.5,DRT24,0
DKG62.GRE.S,DKG62,0
DKG63.PIN.5,DKG63,0
DKG63.PIN.4,DKG63,0
DKG63.PIN.7,DKG63,0
DGX03.GRE.S,DGX03,0
DKG61.PRI.5,DKG61,0
G0493.PRI.8,G0493,0
G0612.PUR.S,G0612,0
G0493.PRI.10,G0493,0
DKG61.PRI.6X,DKG61,0
F5798.WHI.L,F5798,0
F5798.WHI.S,F5798,0
F5798.WHI.M,F5798,0
F5798.WHI.XS,F5798,0
DXP90.LAV.L,DXP90,0
DXP90.LAV.M,DXP90,0
DXP90.LAV.S,DXP90,0
DXP90.LAV.XS,DXP90,0
DXP90.LAV.XL,DXP90,0
DYG62.RAS.XS,DYG62,0
DYG62.RAS.S,DYG62,0
DYG62.RAS.M,DYG62,0
DYG62.RAS.XL,DYG62,0
DYG62.RAS.L,DYG62,0
CGD29.PIN.16,SIZESKU5,0
DYP32.PRI.12,DYP32,0
DYP32.PRI.14,DYP32,0
DYP32.PRI.16,DYP32,0
DYP32.PRI.7,DYP32,0
DYP32.PRI.8,DYP32,0
DYP32.PRI.6,DYP32,0
DYP32.PRI.10,DYP32,0
FDT56.BLU.S,FDT56,0
DRK73.WHI.XS,DRK73,0
FFC36.PIN.XL,FFC36,0
FFC36.PIN.M,FFC36,0
FFC36.PIN.L,FFC36,0
FFC36.PIN.S,FFC36,0
FFC36.PIN.XS,FFC36,0
FDH29.PRI.6,FDH29,0
FDH29.PRI.7,FDH29,0
FDH29.PRI.8,FDH29,0
FDH29.PRI.10,FDH29,0
FDH29.PRI.12,FDH29,0
FDH29.PRI.14,FDH29,0
FDH29.PRI.16,FDH29,0
DNX54.DEN.12,DNX54,0
DNX54.DEN.14,DNX54,0
DNX54.DEN.16,DNX54,0
DNP59.MUL.XS,DNP59,0
DNP59.MUL.M,DNP59,0
DNP59.MUL.XL,DNP59,0
DNP59.MUL.L,DNP59,0
DNP59.MUL.S,DNP59,0
FRJ37.WHI.12/13,FRJ37,0
FRJ37.WHI.9-11,FRJ37,0
FRJ37.WHI.1/2,FRJ37,0
FGG21.BLU.7,FGG21,0
FGG21.BLU.6,FGG21,0
FGG21.BLU.8,FGG21,0
FGG21.BLU.14,FGG21,0
FGG21.BLU.12,FGG21,0
FGG21.BLU.10,FGG21,0
FGG21.BLU.16,FGG21,0
FFC35.COR.12,FFC35,0
FFC35.COR.7,FFC35,0
FFC35.COR.6,FFC35,0
FFC35.COR.16,FFC35,0
FFC35.COR.10,FFC35,0
FFC35.COR.8,FFC35,0
FFC35.COR.14,FFC35,0
FGG22.MUL.XS,FGG22,0
FGG19.BLU.8,FGG19,0
FGG19.BLU.7,FGG19,0
FGG18.YEL.S,FGG18,0
FGG18.YEL.M,FGG18,0
FGG19.BLU.12,FGG19,0
FGG18.YEL.XS,FGG18,0
FGG18.YEL.L,FGG18,0
FGG22.MUL.S,FGG22,0
FGG22.MUL.L,FGG22,0
FGG22.MUL.M,FGG22,0
FGG19.BLU.6,FGG19,0
FGG19.BLU.16,FGG19,0
FGG23.PIN.S,FGG23,0
FGG23.PIN.M,FGG23,0
FGG23.PIN.L,FGG23,0
FGG20.CRE.M/L,FGG20,0
FGG20.CRE.XS/S,FGG20,0
FGG19.BLU.14,FGG19,0
FGG19.BLU.10,FGG19,0
FGG23.PIN.XS,FGG23,0
CKW12A.COR.XL,CKW12,0
CKW12A.COR.L,CKW12,0
CKW12B.COR.S,CKW12,0
DRK73.WHI.M,DRK73,0
DRK73.WHI.L,DRK73,0
DRK73.WHI.S,DRK73,0
DRK73.WHI.XL,DRK73,0
FDT56.BLU.M,FDT56,0
FDT56.BLU.XL,FDT56,0
FDT56.BLU.L,FDT56,0
DYL71.PUR.XS,DYL71,0
DYL71.PUR.S,DYL71,0
DYL71.PUR.M,DYL71,0
DYL71.PUR.L,DYL71,0
CGD29.PIN.8,SIZESKU5,0
FGJ66.BLU.6,FGJ66,0
FGJ66.BLU.12,FGJ66,0
FGJ66.BLU.16,FGJ66,0
FGJ66.BLU.8,FGJ66,0
FGJ66.BLU.14,FGJ66,0
FGJ66.BLU.10,FGJ66,0
DNJ78.PRI.6,DNJ78,0
DNK51.PRI.4,DNK51,0
DNK51.PRI.5,DNK51,0
DNK51.PRI.6,DNK51,0
DNK51.PRI.7,DNK51,0
DNJ74.PIN.4,DNJ74,0
DNJ74.PIN.5,DNJ74,0
DNJ77.COR.5,DNJ77,0
DNJ74.PIN.6,DNJ74,0
DNJ76.PIN.4,DNJ76,0
DNJ84.BLU.4,DNJ84,0
DNJ77.COR.6,DNJ77,0
DNJ73.PRI.6,DNJ73,0
DNJ73.PRI.7,DNJ73,0
DNJ75.PRI.4,DNJ75,0
DNJ75.PRI.5,DNJ75,0
DNJ75.PRI.6,DNJ75,0
DNJ75.PRI.7,DNJ75,0
DNJ78.PRI.4,DNJ78,0
DNJ78.PRI.5,DNJ78,0
DNJ78.PRI.7,DNJ78,0
DNJ79.PRI.4,DNJ79,0
DNJ79.PRI.5,DNJ79,0
DNJ79.PRI.6,DNJ79,0
DNJ79.PRI.7,DNJ79,0
DNJ84.BLU.5,DNJ84,0
DNJ84.BLU.6,DNJ84,0
DNJ85.PRI.4,DNJ85,0
DNJ85.PRI.5,DNJ85,0
CCHD51.PCH.12,SIZESKU8,0
F2325.TUR.3,F2325,0
F2325.TUR.4,F2325,0
