CatalogEntryUpdate
PartNumber,Type,ParentGroupIdentifier,CurrencyCode,ListPrice,Name,ShortDescription,LongDescription,Thumbnail,FullImage,Buyable,Published,Available,Delete
00BUN03,BundleBean,00,USD,,,,,00BUN03_Coconut_PJs_Girls_Dolls_WellieWishers_FMN36_FMN02_FMN03_1,00BUN03_Viewer,1,1,1,0
01650,ItemBean,FP_MarketingProducts,USD,,Classic Little Snoopy,,,01650_Viewer,,0,1,1,0
01694,ItemBean,FP_MarketingProducts,USD,,Fisher-Price Classic Chatter Telephone,,,01694_Viewer,,0,1,1,0
01696,ItemBean,FP_MarketingProducts,USD,,Classic Two Tune TV,,,01696_Viewer,,0,1,1,0
01697,ItemBean,FP_MarketingProducts,USD,,Classic Music Box Record Player,,,01697_Viewer,,0,1,1,0
01702,ItemBean,FP_MarketingProducts,USD,,Classic Pull-A-Tune Xylophone,,,01702_Viewer,,0,1,1,0
01703,ItemBean,FP_MarketingProducts,USD,,Classic TV Radio,,,01703_Viewer,,0,1,1,0
01806,ItemBean,unassigned,USD,4.99,HW ESS BSC 5CR GFT PK AST,,,,,1,1,0,0
02070,ItemBean,FP_MarketingProducts,USD,,Classic See N Say Farmer Says,,,02070_Viewer,,0,1,1,0
02BUN01,BundleBean,02,USD,,,,,02BUN01_Felicity_Doll_Book_and_Accessories_DYL15_DXN99_1,02BUN01_Viewer,1,1,1,0
02BUN02,BundleBean,02,USD,,,,,02BUN02_Nanea_Doll_Book_and_Accessories_FGD75_FFC18_FNY27_1,02BUN02_Viewer,1,1,1,0
02BUN03,BundleBean,02,USD,,Melody's Christmas Travel Set,,,02BUN03_Melodys_Christmas_Travel_Set_1,02BUN03_Viewer,1,1,1,0
02BUN04,BundleBean,02,USD,,Julie's Zigzag Pajamas for Dolls & Girls,,,02BUN04_Zigzag_Pajamas_outfit_set_1,02BUN04_Viewer,1,1,1,0
02BUN05,BundleBean,02,USD,,Blue Bow Top & Pleated Plaid Skort for Girls,,,02BUN05_Blue_Bow_Top_and_Pleated_Plaid_Skort_for_Girls_DKH96_DKH97_1,02BUN05_Viewer,1,1,1,0
02BUN06,BundleBean,02,USD,,Starry Pajamas for Girls & Dolls,,,02BUN06_Starry_Pajamas_for_Dolls_and_Girls_DKH83_DKH98_1,02BUN06_Viewer,1,1,1,0
02BUN07,BundleBean,02,USD,,,,,02BUN07_Naneas_Tropical_PJs_for_Girls_and_Dolls_FFC13_FFC36_1,02BUN07_Viewer,1,1,1,0
02BUN08,BundleBean,02,USD,,Kit's Puppy Print Pajamas for Dolls & Girls,,,02BUN08_Puppy_Print_Pajamas_outfit_set_1,02BUN08_Viewer,1,1,1,0
02BUN09,BundleBean,02,USD,,,,,02BUN09_Merry_Magenta_Outfit_Dolls_Girls_1,02BUN09_Viewer,1,1,1,0
02BUN11,BundleBean,02,USD,,Josefina's Desert Dreams Pajamas for Dolls & Girls,,,02BUN11_Desert_Dreams_Pajamas_outfit_set_1,02BUN11_Viewer,1,1,1,0
02BUN12,BundleBean,02,USD,,Rebecca's Satin Pajamas for Dolls & Girls,,,02BUN12_Satin_Pajamas_outfit_set_1,02BUN12_Viewer,1,1,1,0
02BUN13,BundleBean,02,USD,,,,,02BUN13_Sunny_Striped_Tee_and_Flower_Shorts_Girls_1,02BUN13_Viewer,1,1,1,0
02BUN15,BundleBean,02,USD,,Kaya's Pow-Wow Dress & Blue Patterned Pajamas for Dolls & Girls,,,02BUN15_Blue_Patterned_Pajamas_set_1,02BUN15_Viewer,1,1,1,0
02BUN16,BundleBean,02,USD,,"Maryellen Doll, Book & Accessories",,,02BUN16_Maryellen_Doll_Accessories_1,02BUN16_Viewer,1,1,1,0
02BUN17,BundleBean,02,USD,,Maryellen's Ice Skating Outfit & Accessories,,,02BUN17_Maryellen_Ice_Skating_set_1,02BUN17_Viewer,1,1,1,0
02BUN19,BundleBean,02,USD,,,,,02BUN19_Deer_Print_Dress_and_Fuzzy_Vest_Girls_1,02BUN19_Viewer,1,1,1,0
02BUN20,BundleBean,02,USD,,,,,02BUN20_Striped_Tee_and_Polka_Dot_Skirt_Girls_1,02BUN20_Viewer,1,1,1,0
02BUN37,BundleBean,02,USD,,"Melody Doll, Book & Accessories",,,02BUN37_Melody_Doll_Book_and_Accessories_DKM86_DKH82_1,02BUN37_Viewer,1,1,1,0
02BUN38,BundleBean,02,USD,,"Julie Doll, Book & Accessories",,,02BUN38_julie_starter_collection_1,02BUN38_Viewer,1,1,1,0
02BUN40,BundleBean,02,USD,,"Kit Doll, Book & Accessories",,,02BUN40_Kit_doll_book_accessories_1,02BUN40_Viewer,1,1,1,0
02BUN41,BundleBean,02,USD,,"Rebecca Doll, Book & Accessories",,,02BUN41_Rebecca_Doll_Book_Accessories_1,02BUN41_Viewer,1,1,1,0
02BUN42,BundleBean,02,USD,,"Kaya Doll, Book & Accessories",,,02BUN42_Kaya_starter_collection_1,02BUN42_Viewer,1,1,1,0
02BUN43,BundleBean,02,USD,,"Addy Doll, Book & Accessories",,,02BUN43_addy_starter_collection_1,02BUN43_Viewer,1,1,1,0
02BUN44,BundleBean,02,USD,,"Josefina Doll, Book & Accessories",,,02BUN44_josefina_starter_collection_01,02BUN44_Viewer,1,1,1,0
02BUN45,BundleBean,02,USD,,"Samantha Doll, Book & Accessories",,,02BUN45_starter_collection_01,02BUN45_Viewer,1,1,1,0
04BUN01,BundleBean,04,USD,,Bitty's Double Stroller & Toy Garden,,,04BUN01_Bittys_Double_Stroller_Toy_Garden_1,04BUN01_Viewer,1,1,1,0
04BUN09,BundleBean,04,USD,,,,,04BUN09_Colorful_Dots_Outfit_Little_Girls_FGK49_FGK50_1,04BUN09_Viewer,1,1,1,0
04BUN10,BundleBean,04,USD,,,,,04BUN10_Colorful_Dots_Outfit_Bitty_Baby_Little_Girls_FGM99_FGK49_FGK50_1,04BUN10_Viewer,1,1,1,0
04BUN11,BundleBean,04,USD,,,,,04BUN11_Bitty_Kitty_PJs_Slippers_Girls_DNJ97_DNJ98_1,04BUN11_Viewer,1,1,1,0
04BUN12,BundleBean,04,USD,,,,,04BUN12_Holiday_Promotion_Bitty_Kitty_PJs_Dolls_Little_Girls_1,04BUN24_Viewer,1,1,1,0
04BUN13,BundleBean,04,USD,,,,,04BUN13_Pleats_Petals_Outfit_Bitty_Baby_Dolls_Little_Girls_FNK82_FNK93_FNL41_1,04BUN13_Viewer,1,1,1,0
04BUN14,BundleBean,04,USD,,,,,04BUN14_Pleats_Petals_Outfit_Little_Girls_FNK93_FNL41_1,04BUN14_Viewer,1,1,1,0
04BUN18,BundleBean,04,USD,,,,,04BUN18_Comfy_and_Cozy_Outfit_for_Girls_FDX22_FDX23_1,04BUN18_Viewer,1,1,1,0
04BUN42,BundleBean,04,USD,,,,,04BUN42_Bitty_Bathtub_set_01,04BUN42_Viewer,1,1,1,0
04BUN48,BundleBean,04,USD,,,,,04BUN48_Mommys_Diaper_Bag_for_Little_Girls_1,04BUN48_Viewer,1,1,1,0
04BUN49,BundleBean,04,USD,,,,,04BUN49_Mommys_Purse_for_Little_Girls_1,04BUN49_Viewer,1,1,1,0
04TBUN11,BundleBean,04,USD,,Load Testing Bundle,,,,,1,1,1,0
04TBUN12,BundleBean,04,USD,,Load Testing Bundle 2,,,,,1,1,1,0
04TBUN13,BundleBean,04,USD,,Load Testing Bundle 3,,,,,1,1,1,0
05BUN01,BundleBean,05,USD,,,,,05BUN01_Gabriela_Doll_Book_Accessories_1,05BUN01_Viewer,1,1,1,0
05BUN03,BundleBean,05,USD,,GOTY Bundle,,,05BUN03_Tenney_Doll_Book_Accessories_DVM11_DVM05_1,05BUN03_Viewer,1,1,1,0
05BUN04,BundleBean,05,USD,,,,,05BUN04_Tenneys_Picnic_Outfit_and_Set_DVL99_DVM04_1,05BUN04_Viewer,1,1,1,0
05BUN05,BundleBean,05,USD,,,,,05BUN05_Tenneys_Meet_Outfit_for_Girls_DWL21_DWL22_DWL23_1,05BUN05_Viewer,1,1,1,0
05BUN06,BundleBean,05,USD,,,,,05BUN06_Holiday_Promotion_Tenney_Grants_Pajamas_Girls_18_inch_Dolls_1,05BUN06_Viewer,1,1,1,0
05BUN07,BundleBean,05,USD,,,,,05BUN07_Z_Doll_Book_Accessories_FFD93_FFD96_1,05BUN07_Viewer,1,1,1,0
05BUN08,BundleBean,05,USD,,GOTY BUNDLE,,,05BUN08_Z_Yang_Outfit_Girls_FFG93_FFG94_FFG95_1,05BUN08_Viewer,1,1,1,0
05BUN13,BundleBean,05,USD,,,,,05BUN13_Luciana_Doll_Book_and_Accessories_FMR54_FMC76_1,05BUN13_Viewer,1,1,1,0
05BUN14,BundleBean,05,USD,,,,,05BUN14_Comfy_Space_PJs_and_Slippers_Girls_FMD28_FMD29_1,05BUN14_Viewer,1,1,1,0
05BUN15,BundleBean,05,USD,,,,,05BUN15_Luciana_PJs_for_Dolls_and_Girls_FMC72_FMD28_FMD29_1,05BUN15_Viewer,1,1,1,0
