CatalogGroup
GroupIdentifier,TopGroup,ParentGroupIdentifier,Sequence,Name,ShortDescription,LongDescription,Thumbnail,FullImage,Keyword,Delete,Field 1,Published
dollscat,true,,,Dolls,,,,,dolls,0,,1
bookstorecat,true,,,Books,,,,,bookstore,0,,1
clothingcat,true,,,Clothing,,,,,clothing,0,,1
furnaccesscat,true,,,Furniture & Accessories,,,,,furniture-accessories,0,,1
giftguidecat,true,,,Gifts,,,,,gift-guide,0,FALSE,1
new,true,,,New,,,,,new,0,,1
sale,true,,,Sale,,,,,sale,0,,1
dollzsub,false,dollscat,5,Z Yang,,,,,z-yang,0,FALSE,1
dolltenneysub,false,dollscat,4,Tenney & Logan,,,,,tenney,0,,1
clothinglogoshop,false,clothingcat,12,AG Logo Shop Clothing,,,,,american-girl-logo-shop-clothing,0,FALSE,1
reflektiontemplate,false,AG_Promotions_NOTFORDISPLAY,0,Welcome to American Girl,,,,,welcome-to-american-girl,0,FALSE,1
furnaccesshairspa,false,furnaccesscat,10,Hair & Spa,,,,,hair-spa,0,,1
bookadviceactivity,false,bookstorecat,3,Advice & Activities,,,,,advice-activities,0,,1
bookearlyreader,false,bookstorecat,7,Early Readers,,,,,early-readers,0,,1
dollcustomsub,false,dollscat,2,Create Your Own,,,,,create-your-own--1,0,,1
clothingcustom,false,clothingcat,1,Create Your Own,,,,,create-your-own-clothing,0,,1
booksummerreading,false,bookstorecat,9,Summer Reading,,,,,summer-reading,0,,1
dollgotylucianasub,false,dollscat,1,Girl of the Year: Luciana,,,,,girl-of-the-year:-luciana,0,,1
csr_nla_canada,false,csr_nla_cat,0,CSR NLA Canada,,,,,csr-nla-canada,0,,1
magazinecat,false,bookstorecat,4,AG Magazine,,,,,magazine,0,FALSE,1
logoshop,false,furnaccesscat,9,AG Logo Shop,,,,,american-girl-logo-shop,0,FALSE,1
dollbfsub,false,dollscat,3,BeForever,,,,,beforever,0,,1
dollgotysub,false,dollscat,7,Girl of the Year: Gabriela,,,,,girl-of-the-year-gabriela,0,,1
dollbbsub,false,dollscat,9,Bitty Baby,,,,,bitty-baby,0,,1
dollcaresub,false,dollscat,10,Doll Care,,,,,doll-care,0,,1
dollnew,false,new,1,New Dolls,,,,,new-dolls,0,,1
dolltrulymesub,false,dollscat,6,Truly Me,,,,,truly-me,0,,1
booknew,false,new,2,New Books & Movies,,,,,new-books,0,,1
bookcontemp,false,bookstorecat,2,Contemporary Fiction,,,,,contemporary-fiction,0,,1
bookhistfict,false,bookstorecat,1,Historical Fiction,,,,,historical-fiction,0,,1
bookmystery,false,bookstorecat,6,Mysteries,,,,,mysteries,0,,1
clothingbb,false,clothingcat,11,Bitty Baby Doll Clothes,,,,,bitty-baby-clothing,0,,1
clothingnew,false,new,3,New Clothing,,,,,new-clothing,0,,1
clothingcasual,false,clothingcat,6,Casual,,,,,casual,0,,1
clothingactive,false,clothingcat,5,Sports & Hobbies,,,,,activewear,0,,1
clothingspec,false,clothingcat,4,Special Occasion,,,,,special-occasion,0,,1
clothingbed,false,clothingcat,7,Pajamas,,,,,pajamas,0,,1
clothingmatch,false,clothingcat,2,Matching Doll-Girl Clothes,,,,,matching-doll-girl-sets,0,,1
csrservice,false,csrservicecat,1,Service Requests,,,,,service-requests,0,FALSE,1
exclusions,false,AG_Promotions_NOTFORDISPLAY,0,Exclusions,,,,,exclusions,0,,1
allgirlclothing,false,clothingcat,3,Girl Clothing,,,,,girl-clothing,0,,1
megabloks,false,bookstorecat,8,Mega Construx,,,,,mega-construx,0,,1
csr_rparts ,false,csr_rp_cat,1,Replacement Parts,,,,,replacement-parts-csr-rparts-,0,FALSE,1
csr_souvenir,false,csr_retailcat,1,AG Souvenir,,,,,ag-souvenir,0,FALSE,1
