CatalogGroup
GroupIdentifier,TopGroup,ParentGroupIdentifier,Sequence,Name,ShortDescription,LongDescription,Thumbnail,FullImage,Keyword,Delete,Field 1,Published
new-barbies,true,,,NEW,,,,,new-barbies,0,,1
signature,true,,,SIGNATURE,,,,,signature,0,,1
tst-8536423406384,true,,,tst,tst,tst,,,tst,1,,1
lifestyle,true,,,LIFESTYLE,,,,images/barbie/categoryLanding/Barbie_Lifestyle_HeaderBanner.jpg,lifestyle,0,,1
barbie-playsets,true,,,PLAYSETS,,,,images/barbie/categoryLanding/2017/barbie-playsets.png,barbie-playsets,0,,1
barbie-dolls,true,,,DOLLS,,,,,barbie-dolls,0,,1
barbie-promo1,false,,10,barbie-promo1,,,,,,0,,1
top-10-holiday-picks,false,,30,Top 10 Holiday Picks,,,,,top-10-holiday-picks,0,,1
barbie-story,false,,40,Barbie Story,,,,,barbie-story,0,,1
barbie-promo5,false,,50,promo5,,,,images/barbie/categoryLanding/WK50_40OFF_Category Banner.jpg,barbie-promo5,0,,1
barbie-promo6,false,,60,barbie-promo6,,,,images/barbie/categoryLanding/test/Barbie_Categories_Careers.jpg,barbie-promo6,0,,1
barbie-promo7,false,,70,All Dolls,,,,images/barbie/categoryLanding/test/Barbie_Categories_Chelsea.jpg,barbie-promo7,0,,1
barbie-promo8,false,,80,Barbie Dolls,,"From fashion to fantasy to amazing careers, there’s a Barbie for every imagination. Inspire your kids to be anything with Barbie!",,images/barbie/categoryLanding/test/Barbie_Categories_Dolls.jpg,barbie-promo8,0,,1
new-playsets,false,,50,Playsets,,,,,new-playsets,0,,1
new-gift-sets,false,,70,Gift Sets,,,,,new-gift-sets,0,,1
barbie-fashionistas,false,,10,Barbie&#174; Fashionistas&#174;,,,,images/barbie/categoryLanding/2017/barbie-fashionistas.png,barbie-fashionistas,0,,1
fantasy-dolls,false,,40,Fantasy Dolls,,,,images/barbie/categoryLanding/2018/11_Barbie_FantasyDolls_Banner-D-V3.jpg,fantasy-dolls,0,,1
careers-places,false,,40,Careers & Places,,,,images/barbie/categoryLanding/2018/21_Barbie_Careers&Places_Banner-D-V2.jpg,careers-places,0,,1
all-barbie-dolls,false,,5,All Dolls,,,,images/barbie/categoryLanding/2018/03_Barbie_AllDolls_Banner-D-V2.jpg,all-barbie-dolls,0,,1
all-new,false,,10,All New,,,,images/barbie/categoryLanding/2017/all-new.png,all-new,0,,1
barbie-birthday,false,,0,Barbie Birthday Party,,,,,barbie-birthday,0,,1
games-activities,false,,100,Games & Activities,,,,,games-activities,0,,1
best-sellers,false,,30,Best Sellers,,,,,best-sellers,0,,1
new-dolls,false,,40,Dolls,,,,,new-dolls,0,,1
fashion-dolls,false,,25,Fashion Dolls,,,,images/barbie/categoryLanding/2018/04_Barbie_FashionDolls_Banner-D-V5.jpg,fashion-dolls,0,,1
career-dolls,false,,30,Career Dolls,,,,images/barbie/categoryLanding/2018/06_Barbie_CareerDolls_Banner-D-V2.jpg,career-dolls,0,,1
