CatalogGroup
GroupIdentifier,TopGroup,ParentGroupIdentifier,Sequence,Name,ShortDescription,LongDescription,Thumbnail,FullImage,Keyword,Delete,Field 1,Published
FPStoreNew-7156994050900,true,,, What's New,,,,,,1,,1
shop-by-child-age,true,,,Age,,"From newborn to school-age, discover toys to help kids stay safe, practice motor skills and develops skills through play. Shop gift ideas for kids at any age and stage of development",,images/fisherPrice/categoryLanding/2018/April_2018_ShopByAge_Banner.jpg,shop-by-child-age,0,,1
shop-by-category,true,,,Categories,,"Find gift ideas for babies, toddlers and preschoolers in any category from baby gear to early learning toys. Shop our extensive collection of baby gear, baby toys, vehicles, playsets, outdoor toys and ride-on toys. ",,images/fisherPrice/categoryLanding/Category_headers_Fall2017/shop_categories_fall2017.png,shop-by-category,0,,1
shop-by-brand,true,,,Brands,,"Find everything you need for a baby, or want for big kids. Shop all Fisher-Price brands to get gift ideas for any age, stage and interest. Browse our collection of the best baby gear and newest toys for babies, toddlers and preschoolers. ",,images/fisherPrice/categoryLanding/Category_headers_Fall2017/shop_brands_fall2017.png,shop-by-brand,0,,1
csrfpservice,false,csrfpservicecat,99,FP Service Requests,,,,,fp-service-requests,0,,1
loving-family,false,shop-by-brand,70,Loving Family&#8482; ,,,http://s7d2.scene7.com/is/image/Mattel/loving%2Dfamily,images/fisherPrice/categoryLanding/category_Headers_new Format/loving_family/loving_family_header.png,loving-family,0,,1
power-wheels,false,shop-by-brand,80,Power Wheels&#174; ,,"Get the fun rolling with Fisher-Price battery-powered ride-on vehicles! From cars, trucks &amp; SUVs to ATVs for toddlers and big kids, you’re sure to find the perfect ride for your little one to drive. ",http://s7d2.scene7.com/is/image/Mattel/power%2Dwheels,images/fisherPrice/categoryLanding/category_Headers_new%20Format/power_wheels_header.png,power-wheels,0,,1
bright-beats,false,shop-by-brand,90,Bright Beats&#8482; ,,,http://s7d2.scene7.com/is/image/Mattel/bright%2Dbeats,images/fisherPrice/categoryLanding/Category_headers_Fall2017/bright_beats_fall2017.png,bright-beats,0,,1
laugh-learn,false,shop-by-brand,50,Laugh & Learn&#174;,,,http://s7d2.scene7.com/is/image/Mattel/laugh%2Dlearn,images/fisherPrice/categoryLanding/Category_headers_Fall2017/laugh-and-learn_fall2017.png,laugh-learn,0,,1
for-baby,false,FP_PROMOTIONAL_CATEGORY,0,Gifts for New Baby,,,images/fisherPrice/deptLanding/HolidayGifts/DHW02-3-in-1-sit-stride-and-ride-lion-2.png,images/fisherPrice/categoryLanding/category_Headers_new Format/gifts_for_new_baby_header.png,for-baby,0,,1
