CatalogGroup
GroupIdentifier,TopGroup,ParentGroupIdentifier,Sequence,Name,ShortDescription,LongDescription,Thumbnail,FullImage,Keyword,Delete,Field 1,Published
Apparel,true,,,Apparel,The latest styles for the entire family.,,images/catalog/apparel/women/category/catr_wcl_pants.png,images/catalog/apparel/women/category/catr_wcl_pants.png,,0,,1
agproduct,true,,,American Girl Products,AG: Master Product Catalog ,AG: Master Product Catalog ,,,american-girl-products,0,,1
Hardware,true,,,Hardware,An extensive selection of lighting and fasteners,,images/catalog/hardware/fasteners/category/catr_fbo_bolts.png,images/catalog/hardware/fasteners/category/catr_fbo_bolts.png,,0,,1
FP_Products,true,,,Fisher-Price Products,FP: Master Product Catalog ,FP: Master Product Catalog ,,,,0,,1
ShopMattel_Products,true,,,ShopMattel_Products,,,,,,0,,1
csrfpservicecat-9771912690161,true,,,FP CS Service Only,,,,,,1,FALSE,1
FPStoreAge-6241912748747,true,,, Age,,,,,,1,,1
FPStoreExclusive-9591912690558,true,,,Exclusives,,,,,,1,,1
FPStoreGifts-7081912689159,true,,, Gifts,,,,,,1,,1
FPStoreNew-1831912689403,true,,, What's New,,,,,,1,,1
FPStoreSale-211912688138,true,,,Clearance,,,,,,1,,1
FPStoreBrands-2181912829300,true,,, Brands,,,,,,1,,1
FPStoreCategory-8471912792539,true,,, Categories,,,,,,1,,1
FP_Promotions_NOTFORDISPLAY-5401912689704,true,,,Promotions,,,,,,1,FALSE,1
NewslettersAndMagazines,true,,,Newsletters & Magazines,Newsletters & Magazines,,images/catalog/newslettersmagazines/category/catr_nma_magazines.png,images/catalog/newslettersmagazines/category/catr_nma_magazines.png,,0,,1
Grocery,true,,,Grocery,Grocery,,images/catalog/grocery/category/catr_gda_dairy.png,images/catalog/grocery/category/catr_gda_dairy.png,,0,,1
Health,true,,,Health,Health,,images/catalog/health/category/catr_hme_medicine.png,images/catalog/health/category/catr_hme_medicine.png,,0,,1
Home Furnishings,true,,,Home & Furnishing,Home & Furnishing,,images/catalog/homefurnishings/category/catr_hap_appliances.png,images/catalog/homefurnishings/category/catr_hap_appliances.png,,0,,1
Electronics,true,,,Electronics,Electronics,,images/catalog/electronics/category/catr_cta_tablets.png,images/catalog/electronics/category/catr_cta_tablets.png,,0,,1
Women,false,Apparel,3,Women,Women,,images/catalog/apparel/women/category/catr_app_women.png,images/catalog/apparel/women/category/catr_app_women.png,,0,,1
Men,false,Apparel,4,Men,Men,,images/catalog/apparel/men/category/catr_app_men.png,images/catalog/apparel/men/category/catr_app_men.png,,0,,1
