SalesCatalogGroup
GroupIdentifier,TopGroup,ParentGroupIdentifier,Sequence,Name,ShortDescription,LongDescription,Thumbnail,FullImage,Keyword,Delete,Field 1,Published
LOADTESTING,TRUE,,,LOADTESTING_DONOTUSE,,,,,loadtesting-donotuse,0,,0
FPStoreCategory,TRUE,,, Categories,,,,,-categories,0,,1
BrandsLaughLearn,FALSE,FPStoreBrands,80,Laugh & Learn&#8482;,,,,,laugh---learn--8482;,0,,1
BrandsLovingFamily,FALSE,FPStoreBrands,50,Loving Family&#8482;,,,,,loving-family--8482;,0,,1
SpongeBob,FALSE,BrandsImaginext,60,SpongeBob SquarePants&#8482;,,,,,lg-girl-carousel-top-cgp55cre3,0,,1
ExclusiveHardToFind,FALSE,FPStoreExclusive,20,Hard to Find,,,,,hard-to-find,0,,1
20-toys-for-10,FALSE,FP_Promotions_NOTFORDISPLAY,0,20 Toys for $10 Each,,,,,josefinas-nightgown-for-dolls-cckb91,0,FALSE,1
10-toys-for-10,FALSE,FP_Promotions_NOTFORDISPLAY,0,10 Toys for $10 Each,,,,,10-toys-for-$10-each,0,FALSE,1
CategoryConstruction,FALSE,FPStoreCategory,70,Building Toys,,Construction,,,sequined-star-tee-for-dolls---ny-chk06,0,,1
CategoryPlaysets,FALSE,FPStoreCategory,4000,Playsets,,,,,isabelles-sparkly-skort-f7347,0,FALSE,1
HighChairs_Boosters,FALSE,BrandsBabyGear,30,High Chairs & Boosters,,,,,ceramic-vase-add-d-ic-f8474-a09a,0,FALSE,1
Dinosaurs,FALSE,BrandsImaginext,20,Dinosaurs,,,,,slippers-bt-d-campgirl-f8522-g03a,0,,1
Pirate,FALSE,BrandsImaginext,30,Pirate,,,,,slippers-bt-d-campboy-f8526-g01a,0,,1
Dolls,FALSE,BrandsLovingFamily,10,Dolls,,,,,plate-bt-d-games-f8551-g05a,0,,1
Halloween_sale,FALSE,FP_Promotions_NOTFORDISPLAY,0,"Buy More, Save More Sale!",,,,,buy-more--save-more-sale!,0,FALSE,0
TakeNPlay,FALSE,BrandsThomasFriends,50,Take-N-Play&#8482;,,,,,racquet-myag-d-tennis-f8553-r07a,0,,1
TrackMaster,FALSE,BrandsThomasFriends,60,TrackMaster&#8482;,,,,,ball-myag-d-tennis-f8553-r08a,0,,1
FPStoreFanFaves,FALSE,FPStoreGifts,10,Fan Faves,,,,,fan-faves,0,,1
Cat_Sleepers,FALSE,CategoryBabyGear,60,Sleepers & Play Yards,,,,,hole-in-one-outfit-for-dolls-ccgp75,0,,1
TodaySales,FALSE,FP_Promotions_NOTFORDISPLAY,0,Today's Sale,,,,,todays-sale,0,FALSE,1
BooksVideosPuzzles,FALSE,BrandsThomasFriends,80,"Books, Videos & Puzzles",,,,,books--videos---puzzles,0,,1
CategoryTrainSetsAccessories,FALSE,CategoryVehicles,5,Toy Train Sets & Accessories,,,,,toy-train-sets---accessories,0,,1
BrandsFPBabyGear,FALSE,BrandsFPBrand,10,Fisher-Price&#174; Baby Gear,,,,,15in-doll-limbs-11005-44911,0,,1
CategoryWalkersPush,FALSE,CategoryBabyToys,30,Walkers & Push Toys,,,,,15in-doll-limbs-11005-44936,0,,1
FPEasterBlaze,FALSE,FPEasterSale,100,Blaze,,,,,blaze,0,FALSE,0
FPEasterSpiinyos,FALSE,FPEasterSale,100,Spinnyos,,,,,spinnyos,0,FALSE,0
Dora_Explorer,FALSE,BrandsNickelodeon,10,Dora the Explorer&#8482;,,,,,dora-the-explorer--8482;,0,FALSE,1
FisherPrice,TRUE,,,Fisher Price,,,,,fisher-price,0,,0
SMGifts,TRUE,,,Gifts,,,,,gifts-smgifts,0,,1
SMDolls,FALSE,SMCategory,0,Dolls,,,,,dolls,0,,1
HWGifts,TRUE,,,Gifts,,,,,gifts-hwgifts,0,,0
HWHotWheels,FALSE,HWBrand,0,Hot Wheels,,,,,hot-wheels-hwhotwheels,0,,1
HWEverAfterHigh,FALSE,HWBrand,0,Ever After High,,,,,ever-after-high-hweverafterhigh,0,,1
HWActionFigues,FALSE,HWCategory,0,Power Wheels&#174;,,,,,action-figues-test,0,,1
HW6to7,FALSE,HWAges,0,6to7,,,,,6to7-hw6to7,0,,1
star-light-adventures,TRUE,,,Star Light Adventures,,,,,star-light-adventures,0,,1
barbie-fashionistas-new,TRUE,,,Barbie&#174; Fashionistas&#174;,,,,,barbie--174;-fashionistas--174;,0,,1
campers-cars,TRUE,,,Campers & Cars,,,,,campers---cars,0,,1
sale-playsets,TRUE,,,Sale,,,,,sale-sale-playsets,0,,1
sale-lifestyle,TRUE,,,Sale,,,,,sale-sale-lifestyle,0,,1
vintage-looks,FALSE,gallery,17,Vintage Looks,,,,,vintage-looks,0,,1
