AttachmentAsset
attachmentIdentifier,assetPath,directoryPath,mimeType,delete
1651,http://www.fisher-price.com/en_US/Images/LP_RightTile_v4_GIF_tcm169-260943.gif,,,0
1652,http://www.fisher-price.com/en_US/Images/LP_RightTile_v4_GIF_tcm169-260943.gif,,,0
1653,http://www.fisher-price.com/en_US/Images/see-the-products_tcm169-234001.jpg,,,0
1654,UAT/FP_ShopLanding/FPShopLandingSlot1Espot_COMP.jpg,UAT/FP_ShopLanding,image/jpeg,0
2151,UAT/FP_ShopLanding/FPShopLandingSlot3Espot_COMP.jpg,UAT/FP_ShopLanding,image/jpeg,0
2152,UAT/FP_ShopLanding/FPShopLandingSlot4Espot_COMP.jpg,UAT/FP_ShopLanding,image/jpeg,0
2153,UAT/FP_ShopLanding/FPShopLandingSlot3Espot_COMP2.jpg,UAT/FP_ShopLanding,image/jpeg,0
2154,UAT/SM_ShopLanding/SMShopLandingSlot1Espot_COMP.jpg,UAT/SM_ShopLanding,image/jpeg,0
2155,UAT/SM_ShopLanding/SMShopLandingSlot2Espot_COMP.jpg,UAT/SM_ShopLanding,image/jpeg,0
2156,UAT/SM_ShopLanding/SMShopLandingSlot3Espot_COMP.jpg,UAT/SM_ShopLanding,image/jpeg,0
2157,UAT/SM_ShopLanding/SMShopLandingSlot4Espot_COMP.jpg,UAT/SM_ShopLanding,image/jpeg,0
2158,UAT/SM_ShopLanding/SMShopLandingSlot3Espot_COMP.jpg,UAT/SM_ShopLanding,image/jpeg,0
2159,UAT/SM_ShopLanding/SMShopLandingSlot3Espot_COMP.jpg,UAT/SM_ShopLanding,image/jpeg,0
2160,UAT/FP_DeptPage/DepartmentLayoutSlot9Espot_UAT.jpg,UAT/FP_DeptPage,image/jpeg,0
2161,UAT/FP_DeptPage/DepartmentLayoutSlot8Espot_UAT.jpg,UAT/FP_DeptPage,image/jpeg,0
2162,UAT/FP_DeptPage/DepartmentLayoutSlot7Espot_UAT.jpg,UAT/FP_DeptPage,image/jpeg,0
2163,UAT/FP_DeptPage/DepartmentLayoutSlot6Espot_UAT.jpg,UAT/FP_DeptPage,image/jpeg,0
FP background,http://www.fisher-price.com/en_US/Images/RMA%20DRM39%20Smart%20Scan%20Color%20Chameleon_tcm169-287634.jpg,,,0
3651,UAT/HW_ShopLanding/HWShopLandingSlot1Espot.jpg,UAT/HW_ShopLanding,image/jpeg,0
3652,UAT/HW_ShopLanding/HWShopLandingSlot2Espot.jpg,UAT/HW_ShopLanding,image/jpeg,0
3653,UAT/HW_ShopLanding/HWShopLandingSlot3Espot.jpg,UAT/HW_ShopLanding,image/jpeg,0
3654,UAT/HW_ShopLanding/HWShopLandingSlot6Espot.jpg,UAT/HW_ShopLanding,image/jpeg,0
3655,UAT/BA_ShopLanding/BAShopLandingSlot1Espot.jpg,UAT/BA_ShopLanding,image/jpeg,0
3656,UAT/BA_ShopLanding/BAShopLandingSlot2Espot.jpg,UAT/BA_ShopLanding,image/jpeg,0
3657,UAT/BA_ShopLanding/BAShopLandingSlot3Espot.jpg,UAT/BA_ShopLanding,image/jpeg,0
3658,UAT/BA_ShopLanding/BAShopLandingSlot4Espot.jpg,UAT/BA_ShopLanding,image/jpeg,0
3659,UAT/BA_ShopLanding/BAShopLandingSlot8Espot.jpg,UAT/BA_ShopLanding,image/jpeg,0
3660,UAT/BA_ShopLanding/BAShopLandingSlot9Espot.jpg,UAT/BA_ShopLanding,image/jpeg,0
