MarketingContentDescription
contentName,location,marketingText,langId,field1,field2,delete
ProductPageTab1,,Description,-1,,,0
ProductPageTab1,,Description,-2,,,0
ProductPageTab1,,Beschreibung,-3,,,0
ProductPageTab1,,Descrizione,-4,,,0
ProductPageTab1,,Descripción,-5,,,0
ProductPageTab1,,Descrição,-6,,,0
ProductPageTab1,,描述,-7,,,0
ProductPageTab1,,說明,-8,,,0
ProductPageTab1,,설명,-9,,,0
ProductPageTab1,,説明 ,-10,,,0
ProductPageTab1,,Описание,-20,,,0
ProductPageTab1,,Descriere,-21,,,0
ProductPageTab1,,Opis,-22,,,0
ProductPageTab2,,Other Customers Also Purchased,-1,,,0
ProductPageTab2,,D'autres clients ont également acheté,-2,,,0
ProductPageTab2,,Andere Kunden haben auch gekauft,-3,,,0
ProductPageTab2,,Altri clienti hanno acquistato anche,-4,,,0
ProductPageTab2,,Otros clientes también compraron,-5,,,0
ProductPageTab2,,Outros Clientes Também Compraram,-6,,,0
ProductPageTab2,,其他客户也已购买,-7,,,0
ProductPageTab2,,其他客戶也購買 ,-8,,,0
ProductPageTab2,,다른 고객들은 다음 상품들도 같이 구매,-9,,,0
ProductPageTab2,,他のお客様はこんな商品もご購入されています,-10,,,0
ProductPageTab2,,Другие также покупают,-20,,,0
ProductPageTab2,,Clienţii au mai cumpărat de asemenea şi,-21,,,0
ProductPageTab2,,Inni klienci kupili również,-22,,,0
SearchPageTab1,,"Products (<span id=""searchTabProdCount"">[productTotalCount]</span>)",-1,,,0
SearchPageTab1,,"Produits (<span id=""searchTabProdCount"">[productTotalCount]</span>)",-2,,,0
SearchPageTab1,,"Produkte (<span id=""searchTabProdCount"">[productTotalCount]</span>)",-3,,,0
SearchPageTab1,,"Prodotti (<span id=""searchTabProdCount"">[productTotalCount]</span>)",-4,,,0
SearchPageTab1,,"Productos (<span id=""searchTabProdCount"">[productTotalCount]</span>)",-5,,,0
SearchPageTab1,,"Produtos (<span id=""searchTabProdCount"">[productTotalCount]</span>)",-6,,,0
SearchPageTab1,,"产品 (<span id=""searchTabProdCount"">[productTotalCount]</span>)",-7,,,0
SearchPageTab1,,"產品 (<span id=""searchTabProdCount"">[productTotalCount]</span>)",-8,,,0
SearchPageTab1,,"제품(<span id=""searchTabProdCount"">[productTotalCount]</span>)",-9,,,0
SearchPageTab1,,"商品 (<span id=""searchTabProdCount"">[productTotalCount]</span>)",-10,,,0
SearchPageTab1,,"Продукты (<span id=""searchTabProdCount"">[productTotalCount]</span>)",-20,,,0
SearchPageTab1,,"Produse (<span id=""searchTabProdCount"">[productTotalCount]</span>)",-21,,,0
SearchPageTab1,,"Produkty (<span id=""searchTabProdCount"">[productTotalCount]</span>)",-22,,,0
SearchPageTab2,,"Articles & Videos (<span id=""searchTabContentCount"">[contentTotalCount]</span>)",-1,,,0
SearchPageTab2,,"Articles & Vidéos (<span id=""searchTabContentCount"">[contentTotalCount]</span>)",-2,,,0
SearchPageTab2,,"Artikel & Videos (<span id=""searchTabContentCount"">[contentTotalCount]</span>)",-3,,,0
SearchPageTab2,,"Articoli e video (<span id=""searchTabContentCount"">[contentTotalCount]</span>)",-4,,,0
SearchPageTab2,,"Artículos & y vídeos (<span id=""searchTabContentCount"">[contentTotalCount]</span>)",-5,,,0
SearchPageTab2,,"Artigos & Vídeos (<span id=""searchTabContentCount"">[contentTotalCount]</span>)",-6,,,0
SearchPageTab2,,"文章 & 视频 (<span id=""searchTabContentCount"">[contentTotalCount]</span>)",-7,,,0
