MarketingContentAttachmentDescription
contentName,attachmentIdentifier,usageName,relationName,relationShortDescription,relationLongDescription,languageId,delete
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,marka1,Wyświetl markę,,-22,0
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,Brand1,Afişaţi o marcă,,-21,0
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,Brand1,Показать бренд,,-20,0
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,Brand1,ブランドの表示,,-10,0
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,브랜드1,브랜드 표시,,-9,0
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,Brand1,顯示品牌,,-8,0
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,Brand1,显示品牌,,-7,0
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,Brand1,Exibir uma marca,,-6,0
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,Marca1,Mostrar una marca,,-5,0
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,Marchio1,Visualizza un marchio,,-4,0
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,Brand1,Eine Marke anzeigen,,-3,0
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,Marque1,Afficher une marque,,-2,0
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,Brand1,Display a brand,,-1,0
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,marka2,Wyświetl markę,,-22,0
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,brand2,Afişaţi o marcă,,-21,0
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,brand2,Показать бренд,,-20,0
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,brand2,ブランドの表示,,-10,0
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,브랜드2,브랜드 표시,,-9,0
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,brand2,顯示品牌,,-8,0
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,brand2,显示品牌,,-7,0
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,brand2,Exibir uma marca,,-6,0
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,marca2,Mostrar una marca,,-5,0
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,marchio2,Visualizza un marchio,,-4,0
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,brand2,Eine Marke anzeigen,,-3,0
